study_id,doi,pmid,pmcid,species,strain,drug,drug_class,mono_or_combo,n_exposure_levels,concentration_range,MIC_reported,exposure_type,duration_h,n_sampling_times,sampling_times,readout,n_replicates,inoculum_cfu_ml,LOD_cfu_ml,system,growth_state,published_pd_model,published_params,data_source,data_availability,role,verified_by,verified_date,repository,record_url,licence,licence_class,redistributable,has_time_series,has_starting_density,has_floor_or_volume,headroom_computable,n_series,acquisition,permission_status,notes
TSUJI2012,10.1128/AAC.05453-11,22526313,PMC3393439,Staphylococcus aureus,USA300 / USA100 / USA400 / ATCC 29213,linezolid,oxazolidinone,mono,5,600 q12h + 4 front-loaded arms,yes,dynamic,240,8,0;24;48;72;96;144;192;240,log10 CFU/mL,quintuplicate plating,1e6,1e2,HFIM,log-phase,4-param Hill + mechanism-based 2-subpopulation,yes (MC-PEM),figure_digitization,none stated,TRAIN,claude-audit,2026-08-21,,,,ASK_FIRST,no,,,,yes,,,,
DRUSANO2018,10.1128/AAC.00221-18,29866864,PMC6105790,Mycobacterium tuberculosis,NOT_STATED_IN_ABSTRACT,linezolid,oxazolidinone,mono,6,300/600/900 q24h + 600/1200/1800 q48h,yes,dynamic,696,UNVERIFIED,days 1;21;24;29 cited in text; full list not in Methods,log10 CFU/mL,1 (single run per arm),NOT_STATED,NOT_STATED,HFIM,acid-phase AND non-replicating-persister,none,no,figure_digitization,none stated,TRAIN,claude-audit,2026-08-21,,,"Free in PMC, no open-access licence",USE_OK_FACTS_ONLY,no,,,,no: neither reported,,,,
BROWN2015,10.1128/mBio.01741-15,26530386,PMC4631805,Mycobacterium tuberculosis,UNVERIFIED,linezolid,oxazolidinone,mono,UNVERIFIED,300 q12h vs 600 q24h,UNVERIFIED,dynamic,UNVERIFIED,UNVERIFIED,UNVERIFIED,log10 CFU/mL,UNVERIFIED,UNVERIFIED,UNVERIFIED,HFIM,log-phase,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,CANDIDATE,claude-audit,2026-08-21,,,,ASK_FIRST,no,,,,no: neither reported,,,,
FERRO2014,10.1093/jac/dku431,25344808,none,Mycobacterium abscessus,ATCC type strain,linezolid; moxifloxacin; amikacin; cefoxitin; clarithromycin,multiple,mono,7,0.25x-32x MIC,yes,static,120,UNVERIFIED,UNVERIFIED,log10 CFU/mL,UNVERIFIED,UNVERIFIED,UNVERIFIED,broth (30 C),log-phase,sigmoid Emax,yes (Emax + Hill slope),figure_digitization,UNVERIFIED,TRAIN,claude-audit,2026-08-21,,,"Taverne Article 25fa, institutional deposit",USE_OK_FACTS_ONLY,no,,,,no: neither reported,,,,
FERRO2015,10.1128/AAC.02282-15,26643339,PMC4775936,Mycobacterium abscessus,UNVERIFIED,amikacin,aminoglycoside,mono,8,66.7-6400 mg human-equivalent,yes,dynamic,336,8,days 0;1;2;3;5;7;10;14,log10 CFU/mL,12 HFS units total,1e6,NOT_STATED,HFS,log-phase,Emax/Hill,EC50=2.22+-0.44; Emax=2.40+-0.22 log10CFU/mL; Hill=3.79+-2.44,figure_digitization,none stated,TRAIN,claude-audit,2026-08-21,,,,ASK_FIRST,no,,,,no: floor not reported,,,,
GUMBO2004,10.1086/424849,15478070,none,Mycobacterium tuberculosis,UNVERIFIED,moxifloxacin,fluoroquinolone,mono,UNVERIFIED,UNVERIFIED,yes,dynamic,UNVERIFIED,UNVERIFIED,UNVERIFIED,log10 CFU/mL,UNVERIFIED,UNVERIFIED,UNVERIFIED,in vitro PD infection model,log-phase,yes (resistance suppression; AUC/MIC=53),partial,figure_digitization,UNVERIFIED,TRAIN,claude-audit,2026-08-21,,,paywalled,USE_OK_FACTS_ONLY,no,,,,no: neither reported,,,,
NGUYEN2021,10.3389/fmicb.2021.785573,34975808,PMC8715871,Staphylococcus aureus,18 clinical isolates + ATCC 25923,moxifloxacin,fluoroquinolone,mono,broad,0.001-1000 mg/L,yes,static,24,2,0;24,log10 CFU + crystal violet,2-6 independent experiments,1e7,NOT_STATED,biofilm + stationary-phase planktonic,stationary-phase persister assay (100x MIC 5 h),Hill (slope fixed to 1),Emax; EC50; C-1log; C20% in Table 1; MDK 1/2/3-log in Fig 5,supp_table (Supp Table 2 = non-normalized CFU) + main Table 1,on request from authors,TRAIN,claude-audit,2026-08-21,,,CC BY 4.0,USE_OK_REDIST_OK,yes,,,,no: floor not reported,,,,
DESTEENWINKEL2010,10.1093/jac/dkq374,20947621,none,Mycobacterium tuberculosis,UNVERIFIED,rifampicin; isoniazid; ethambutol; amikacin,multiple,mono,UNVERIFIED,UNVERIFIED,yes,static,UNVERIFIED,UNVERIFIED,UNVERIFIED,log10 CFU/mL,UNVERIFIED,UNVERIFIED,UNVERIFIED,broth,metabolically HIGH vs LOW activity,none,no,figure_digitization,UNVERIFIED,EXTERNAL_VALIDATION_CANDIDATE,claude-audit,2026-08-21,,,paywalled,USE_OK_FACTS_ONLY,no,,,,no: neither reported,,,,
MAURER2014,10.1128/AAC.02448-14,24752273,PMC4068550,Mycobacterium abscessus,clinical isolates + M. smegmatis + E. coli,amikacin; moxifloxacin; tigecycline; linezolid,multiple,mono,UNVERIFIED,UNVERIFIED,yes,static,UNVERIFIED,UNVERIFIED,UNVERIFIED,log10 CFU/mL,UNVERIFIED,UNVERIFIED,UNVERIFIED,broth,log-phase,none,no,figure_digitization,UNVERIFIED,EXTERNAL_VALIDATION_CANDIDATE,claude-audit,2026-08-21,,,,ASK_FIRST,no,,,,no: neither reported,,,,
SOEORG2026,Dataset DOI 10.5281/zenodo.19889677 (concept DOI 10.5281/zenodo.19889676); article DOI 10.1128/aac.00274-26,,,Acinetobacter baumannii,,"Meropenem, colistin, polymyxin B, meropenem+polymyxin combinations, plus no-drug controls, as binary arm indicator colum",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,journal-source-data (verification pass),https://zenodo.org/records/19889677 (article: https://pmc.ncbi.nlm.nih.gov/articles/PMC13321832/),"CC BY 4.0 — read from the repository record itself (Zenodo API metadata.license.id = ""cc-by-4.0""), not from the article. IMPORTANT: the ASM supplemental-material caveat does NOT apply here, because th",USE_OK_REDIST_OK,yes,YES — verified by re-downloading and parsing with csv.DictRe,YES — verified. INOC_TH gives target starting inoculum as lo,"YES — verified by my own parse, and it is the standout feature of the whole corpus. A per-record LOD column takes exactly four values: 10 (1",no: neither reported,"data.csv 222,153 bytes: 2,636 rows, 2,257 observation rows, 60 culture IDs, 37 columns. mo",deposit,not requested,"A flat CSV (data.csv, one row per reading) plus the NONMEM model file. Columns: ID, TIME, DV (log10 CFU/mL), EVID, AMT, RATE, ADDL, II, MDV, CMT, INOC_TH, OCC, per-drug PK parameter columns (CSET/KE/V1/V2/K12/K21/SRC for each of colistin-PMB and meropenem), MIC_colpmb, MIC_meropenem, BLOD, LOD, and the arm indicator co"
BRAETZ2025,"10.1371/journal.ppat.1013498 — S1 Data ppat.1013498.s009.xlsx, S2 Data ppat.1013498.s010.xlsx",,,"Salmonella enterica serovar Typhimurium (ATCC 14028 background); strains 8640 (wild type), 10752 (ΔtisAB), 11126, 11588,",,Ciprofloxacin (persister/time-kill assays); UV exposure as an additional stressor in some sheets.,,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,journal-source-data (verification pass),https://pmc.ncbi.nlm.nih.gov/articles/PMC12626290/,"CC BY 4.0 — Europe PMC licence field ""cc by"", and the PLOS article licence covers Supporting Information (unlike ASM). Redistributable with attribution.",USE_OK_REDIST_OK,yes,YES — verified by opening the workbook with openpyxl. Sheet ,YES — verified. The t0 block gives raw triplicate counts and,"YES — I re-opened the sheet and read the headers myself. Every timepoint block is headed with the dilution and the plated volume: ""103->10µl",no: neither reported,"S1 Data: 21 sheets, ~926 rows, 133,857 bytes. S2 Data: ~4,389 rows, 230,045 bytes. Order o",deposit,not requested,"Two xlsx of raw experimental data. S1 Data has 21 sheets covering Figs 1-5 (""Fig1 OD = 0.5/1.0/2.0"", ""Fig1 over-night"", ""Fig2 microscope"", ""Fig2 sulA expression"", ""Fig3 t0"", ""Fig3 t2"", ""Fig4 A) Persister assay"", ""Fig4 B)"" through ""Fig4 G)"", ""Fig5 A)"" through ""Fig5 F)""). NOTE FOR HIERARCHICAL MODELLING: this paper and t"
PEPPER2026,"10.1038/s41467-026-72496-4 (Source Data 41467_2026_72496_MOESM7_ESM.xlsx); Zenodo 10.5281/zenodo.19355216 (197,648,651-byte repo archive); Zenodo 10.5281/zenodo",,,"Mycobacterium smegmatis mc2 155 for all the kill-curve work (a model mycobacterium, NOT M. tuberculosis — flagging this ",,Isoniazid — 1 mg/mL (100x wild-type MIC) for the tolerance kill curves; 2x IC50 (8.0 ug/mL) for the enrichment experimen,,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tb-consortia,"https://pmc.ncbi.nlm.nih.gov/articles/PMC13153227/ — Source Data retrieved as 41467_2026_72496_MOESM7_ESM.xlsx (9,281,388 bytes) via https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13153227/supplementaryFiles ; code+data archive at https://zenodo.org/records/19355215","CC BY 4.0 — Europe PMC core record for PMC13153227 returns 'cc by'; the Zenodo companions 19355215 and 19207253 both return license {'id':'cc-by-4.0'}, access_right 'open'. Fully redistributable.",USE_OK_REDIST_OK,yes,"YES — six timepoints (0, 6, 24, 30, 48, 72 h) per culture, 1","YES, twice over — the t = 0 columns carry counts at every di","YES — and this is the single best floor in the whole corpus, because it is fully DERIVABLE rather than merely asserted. Methods, verbatim: '",no: neither reported,896 raw colony counts in the tolerance kill curves (288 culture-timepoint series x up to 1,deposit,not requested,"The sheet index in the workbook states plainly: ""Fig. 1G :: Tolerance assay kill curve colony counts across multiple dilutions."" I parsed it. Layout: 13 dilution rows with EXPLICIT dilution factors (1, 0.2, 0.04, 0.008, 0.0016, 3.2e-4, 6.4e-5, 1.28e-5, 2.56e-6, 5.12e-7, 1.02e-7, 2.05e-8, 4.1e-9) x 288 sample columns = "
BUCHHOLZ2026,10.1038/s41467-026-71178-5 — Source Data file 41467_2026_71178_MOESM18_ESM.xlsx,,,Pseudomonas aeruginosa PA14 and clinical isolates (e.g. strain 1260),,"Carbenicillin (CAR), gentamicin (GEN), chloramphenicol (CAM), plus a clinical antibiotic panel in Fig.2A including piper",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,Data attached to journal articles rather,https://pmc.ncbi.nlm.nih.gov/articles/PMC13187417/ ; file at https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-71178-5/MediaObjects/41467_2026_71178_MOESM18_ESM.xlsx,"CC BY 4.0. Read from the creativecommons.org/licenses/by/4.0 statement inside the PMC JATS XML for PMC13187417, and corroborated by the Europe PMC license field. Nature Source Data is covered by the a",USE_OK_REDIST_OK,yes,YES. Verified by opening the workbook. Sheets are tidy long-,"YES. cfu_ml is recorded at time_h = 0 for every culture, e.g","NO. This is a clean example of the omission your paper is about. The Methods say only that survival was ""evaluated as colony forming units (",no: neither reported,"26 sheets, 26,610 rows, 3,451,709 bytes. The CFU time-kill sheets are Fig.1B-D (313 rows),",deposit,not requested,"One Source Data xlsx with 26 sheets, including a self-documenting ""Overview"" sheet that defines every column of every data sheet in prose. Data are per-reading CFU/mL in tidy long format."
MOLECULAR2026,10.1038/s41467-026-74323-2 — Source data file 41467_2026_74323_MOESM4_ESM.xlsx,,,Escherichia coli clinical isolates B50 and K35,,"Amoxicillin (AMX) and clavulanate (CLV), alone and in combination, across dosing regimens: AMX 500 mg / CLV 125 mg, AMX ",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,Data attached to journal articles rather,https://pmc.ncbi.nlm.nih.gov/articles/PMC13408132/ ; file at https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-74323-2/MediaObjects/41467_2026_74323_MOESM4_ESM.xlsx,"CC BY 4.0. Read from the creativecommons.org/licenses/by/4.0 statement inside the PMC JATS XML for PMC13408132, and corroborated by the Europe PMC license field. Redistributable with attribution.",USE_OK_REDIST_OK,yes,"YES. Verified by opening the workbook. Sheets ""Figure 1"", ""F","YES, as absolute counts. t=0 rows give 1,110,000 / 1,240,000","PARTIAL / NOT STATED. The drug-arm CFU columns bottom out at repeated constant values of 1, 10 and 50 CFU/mL, which is the unmistakable sign",no: neither reported,"17 sheets, 5,283 rows, 2,962,815 bytes. Roughly 200-300 culture-timepoint CFU readings acr",deposit,not requested,"One Source Data xlsx, 17 sheets. Kill-curve sheets are ""Figure 1"", ""Figure 4"" and ""Figure 7""; supporting sheets include ""Supplementary figure S1"", ""S2"", ""S4"", ""S5"", ""S7"" (PK concentration-time profiles for AMX and CLV) and ""Supplementary Figure 8"" (an AMX x CLV concentration grid with an annotated MIC of 4 mg/L). Also "
