dataset,organism,state,state_numeric,drug,dose_value,dose_unit,dose_xmic,unit_group,n0_log10,time_days,y_log10,censored,limit_log10,notes
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,1.0,2.11394335230684,False,1.0,plated_volume_uL=100; plating_condition=0; n0_source_days=1
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,1.0,2.0,False,2.0,plated_volume_uL=10; plating_condition=1; n0_source_days=1
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,1.0,2.30102999566398,False,2.0,plated_volume_uL=10; plating_condition=2; n0_source_days=1
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,1.0,2.90308998699194,False,2.6020599913279625,plated_volume_uL=2.5; plating_condition=3; n0_source_days=1
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,2.0,1.90308998699194,False,1.0,plated_volume_uL=100; plating_condition=0; n0_source_days=1
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,2.0,,True,2.0,plated_volume_uL=10; plating_condition=1; below_limit_of_quantification; n0_source_days=1; bql_contradicted_by_another_plating_of_same_sample_by_0.6_log10
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,2.0,2.60205999132796,False,2.0,plated_volume_uL=10; plating_condition=2; n0_source_days=1
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,2.0,,True,2.6020599913279625,plated_volume_uL=2.5; plating_condition=3; below_limit_of_quantification; n0_source_days=1
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,3.0,1.0,False,1.0,plated_volume_uL=100; plating_condition=0; n0_source_days=1
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,3.0,,True,2.0,plated_volume_uL=10; plating_condition=1; below_limit_of_quantification; n0_source_days=1; bql_contradicted_by_another_plating_of_same_sample_by_1.08_log10
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,3.0,,True,2.0,plated_volume_uL=10; plating_condition=2; below_limit_of_quantification; n0_source_days=1; bql_contradicted_by_another_plating_of_same_sample_by_1.08_log10
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,3.0,3.07918124604762,False,2.6020599913279625,plated_volume_uL=2.5; plating_condition=3; n0_source_days=1
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,7.0,,True,1.0,plated_volume_uL=100; plating_condition=0; below_limit_of_quantification; n0_source_days=1; bql_contradicted_by_another_plating_of_same_sample_by_1.0_log10
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,7.0,,True,2.0,plated_volume_uL=10; plating_condition=1; below_limit_of_quantification; n0_source_days=1
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,7.0,2.0,False,2.0,plated_volume_uL=10; plating_condition=2; n0_source_days=1
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,7.0,,True,2.6020599913279625,plated_volume_uL=2.5; plating_condition=3; below_limit_of_quantification; n0_source_days=1
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,10.0,,True,1.0,plated_volume_uL=100; plating_condition=0; below_limit_of_quantification; n0_source_days=1
era4tb,M. tuberculosis,standard,,isoniazid,10.0,xMIC,10.0,era4tb_A_INH10x_r1,2.11394335230684,10.0,,True,2.0,plated_volume_uL=10; plating_condition=1; below_limit_of_quantification; n0_source_days=1
