dataset,organism,state,state_numeric,drug,dose_value,dose_unit,dose_xmic,unit_group,n0_log10,time_days,y_log10,censored,limit_log10,notes
kaur2024_apramycin,M. tuberculosis,planktonic,,none,,,,kaur_kk_none_untreated_r1,6.963787827345556,0.0,6.963787827345556,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; untreated cell control at t=0; this single day-0 row is the only baseline in the sheet and is shared by every arm"
kaur2024_apramycin,M. tuberculosis,planktonic,,none,,,,kaur_kk_none_untreated_r2,7.049218022670182,0.0,7.049218022670182,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; untreated cell control at t=0; this single day-0 row is the only baseline in the sheet and is shared by every arm"
kaur2024_apramycin,M. tuberculosis,planktonic,,none,,,,kaur_kk_none_untreated_r3,7.033423755486949,0.0,7.033423755486949,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; untreated cell control at t=0; this single day-0 row is the only baseline in the sheet and is shared by every arm"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,128.0,ug/mL,,kaur_kk_apramycin_128ugmL_r1,6.963787827345556,3.0,5.924279286061882,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,128.0,ug/mL,,kaur_kk_apramycin_128ugmL_r2,7.049218022670182,3.0,5.94,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,128.0,ug/mL,,kaur_kk_apramycin_128ugmL_r3,7.033423755486949,3.0,5.5,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,32.0,ug/mL,,kaur_kk_apramycin_32ugmL_r1,6.963787827345556,3.0,5.8,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,32.0,ug/mL,,kaur_kk_apramycin_32ugmL_r2,7.049218022670182,3.0,6.2,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,32.0,ug/mL,,kaur_kk_apramycin_32ugmL_r3,7.033423755486949,3.0,6.033423755486949,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,8.0,ug/mL,,kaur_kk_apramycin_8ugmL_r1,6.963787827345556,3.0,6.477121254719663,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
