dataset,organism,state,state_numeric,drug,dose_value,dose_unit,dose_xmic,unit_group,n0_log10,time_days,y_log10,censored,limit_log10,notes,isolate_index,sample_id,mpn_raw,MIC_INH,MIC_RIF,INH-Suceptibility,Time_to_0.4,Time_point,Tolerant_level_D5_15,Tolerant_level_D5_60
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_001_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,1,IR1,230000.0,3.2,0.12,IR,13.0,0M,Medium,Low
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_001_age15d,5.361727836017593,2.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,1,IR1,230.0,3.2,0.12,IR,13.0,0M,Medium,Low
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_001_age15d,5.361727836017593,5.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,1,IR1,230.0,3.2,0.12,IR,13.0,0M,Medium,Low
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_002_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,2,IR2,230000.0,3.2,0.03,IR,14.0,0M,Medium,Low
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_002_age15d,5.361727836017593,2.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,2,IR2,230.0,3.2,0.03,IR,14.0,0M,Medium,Low
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_002_age15d,5.361727836017593,5.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,2,IR2,230.0,3.2,0.03,IR,14.0,0M,Medium,Low
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_003_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,3,IR3,230000.0,0.4,0.06,IR,11.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_003_age15d,5.361727836017593,2.0,3.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,3,IR3,2300.0,0.4,0.06,IR,11.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_003_age15d,5.361727836017593,5.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,3,IR3,230.0,0.4,0.06,IR,11.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_004_age15d,6.361727836017593,0.0,6.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,4,IR4,2300000.0,6.4,0.06,IR,35.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_004_age15d,6.361727836017593,2.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,4,IR4,23000.0,6.4,0.06,IR,35.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_004_age15d,6.361727836017593,5.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,4,IR4,23000.0,6.4,0.06,IR,35.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_005_age15d,4.361727836017593,0.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,5,IR5,23000.0,3.2,0.12,IR,24.0,0M,High,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_005_age15d,4.361727836017593,2.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,5,IR5,23000.0,3.2,0.12,IR,24.0,0M,High,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_005_age15d,4.361727836017593,5.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,5,IR5,23000.0,3.2,0.12,IR,24.0,0M,High,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_006_age15d,4.361727836017593,0.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,6,IR6,23000.0,3.2,0.06,IR,15.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_006_age15d,4.361727836017593,2.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,6,IR6,230.0,3.2,0.06,IR,15.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_006_age15d,4.361727836017593,5.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,6,IR6,230.0,3.2,0.06,IR,15.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_007_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,7,IR7,230000.0,1.6,0.06,IR,11.0,0M,Medium,High
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_007_age15d,5.361727836017593,2.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,7,IR7,23000.0,1.6,0.06,IR,11.0,0M,Medium,High
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_007_age15d,5.361727836017593,5.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,7,IR7,230.0,1.6,0.06,IR,11.0,0M,Medium,High
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_008_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,8,IR8,230000.0,3.2,0.12,IR,19.0,0M,Low,
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_008_age15d,5.361727836017593,2.0,3.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,8,IR8,2300.0,3.2,0.12,IR,19.0,0M,Low,
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_008_age15d,5.361727836017593,5.0,,True,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit; at assay floor 23 MPN/mL,8,IR8,23.0,3.2,0.12,IR,19.0,0M,Low,
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_009_age15d,6.361727836017593,0.0,6.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,9,IR9,2300000.0,3.2,0.12,IR,19.0,0M,Low,
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_009_age15d,6.361727836017593,2.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,9,IR9,23000.0,3.2,0.12,IR,19.0,0M,Low,
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_009_age15d,6.361727836017593,5.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,9,IR9,230.0,3.2,0.12,IR,19.0,0M,Low,
