dataset,organism,state,state_numeric,drug,dose_value,dose_unit,dose_xmic,unit_group,n0_log10,time_days,y_log10,censored,limit_log10,notes
windels2024,E. coli,nutrient_0,0.0,amikacin,12.5,ug/mL,6.25,windels_nut0_ab12.5_r1,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0.25,0.25,amikacin,12.5,ug/mL,6.25,windels_nut0.25_ab12.5_r1,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0.5,0.5,amikacin,12.5,ug/mL,6.25,windels_nut0.5_ab12.5_r1,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0.8,0.8,amikacin,12.5,ug/mL,6.25,windels_nut0.8_ab12.5_r1,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0.9,0.9,amikacin,12.5,ug/mL,6.25,windels_nut0.9_ab12.5_r1,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0.95,0.95,amikacin,12.5,ug/mL,6.25,windels_nut0.95_ab12.5_r1,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0,0.0,amikacin,12.5,ug/mL,6.25,windels_nut0_ab12.5_r2,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0.25,0.25,amikacin,12.5,ug/mL,6.25,windels_nut0.25_ab12.5_r2,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0.5,0.5,amikacin,12.5,ug/mL,6.25,windels_nut0.5_ab12.5_r2,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0.8,0.8,amikacin,12.5,ug/mL,6.25,windels_nut0.8_ab12.5_r2,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0.9,0.9,amikacin,12.5,ug/mL,6.25,windels_nut0.9_ab12.5_r2,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0.95,0.95,amikacin,12.5,ug/mL,6.25,windels_nut0.95_ab12.5_r2,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0,0.0,amikacin,12.5,ug/mL,6.25,windels_nut0_ab12.5_r3,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0.25,0.25,amikacin,12.5,ug/mL,6.25,windels_nut0.25_ab12.5_r3,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
windels2024,E. coli,nutrient_0.5,0.5,amikacin,12.5,ug/mL,6.25,windels_nut0.5_ab12.5_r3,,0.0,0.0,False,,"t=0h; y_log10 = log10(surviving fraction) RELATIVE to t=0, NOT absolute log10 CFU/mL; surv_frac == 1.0 at t=0 by construction; no absolute density exists anywhere in this deposit so n0_log10 is absent; deposit names no drug and no units; amikacin, ug/mL and ancestral MIC 2 ug/mL are from Windels 2024 ISME J wrae070, not from these files; nutrient_conc is dimensionless and unresolved; time read as hours"
