Time;TimeMin;Column;Conc;Replicates_Row;N_of_colonies;Dilution_factor;Vol_plated_mL;CFU_mL
0;60;1;128;1;13;1000;0,005;2,60E+06
0;60;1;128;2;3;10000;0,005;6,00E+06
0;60;1;128;3;2;10000;0,005;4,00E+06
0;60;1;128;4;6;10000;0,005;1,20E+07
0;60;1;128;5;5;10000;0,005;1,00E+07
0;60;1;128;6;4;10000;0,005;8,00E+06
0;60;1;128;7;3;10000;0,005;6,00E+06
0;60;1;128;8;4;10000;0,005;8,00E+06
0;60;2;64;1;16;1000;0,005;3,20E+06
0;60;2;64;2;13;1000;0,005;2,60E+06
0;60;2;64;3;2;10000;0,005;4,00E+06
0;60;2;64;4;9;1000;0,005;1,80E+06
0;60;2;64;5;14;1000;0,005;2,80E+06
0;60;2;64;6;8;1000;0,005;1,60E+06
0;60;2;64;7;6;1000;0,005;1,20E+06
0;60;2;64;8;10;1000;0,005;2,00E+06
0;60;3;32;1;8;1000;0,005;1,60E+06
0;60;3;32;2;11;1000;0,005;2,20E+06
0;60;3;32;3;13;1000;0,005;2,60E+06
0;60;3;32;4;14;1000;0,005;2,80E+06
0;60;3;32;5;13;1000;0,005;2,60E+06
0;60;3;32;6;8;1000;0,005;1,60E+06
0;60;3;32;7;11;1000;0,005;2,20E+06
0;60;3;32;8;4;10000;0,005;8,00E+06
0;60;4;16;1;12;1000;0,005;2,40E+06
0;60;4;16;2;11;1000;0,005;2,20E+06
0;60;4;16;3;10;1000;0,005;2,00E+06
0;60;4;16;4;12;1000;0,005;2,40E+06
0;60;4;16;5;16;1000;0,005;3,20E+06
0;60;4;16;6;13;1000;0,005;2,60E+06
0;60;4;16;7;3;10000;0,005;6,00E+06
0;60;4;16;8;10;1000;0,005;2,00E+06
0;60;5;8;1;4;10000;0,005;8,00E+06
0;60;5;8;2;2;10000;0,005;4,00E+06
0;60;5;8;3;23;1000;0,005;4,60E+06
0;60;5;8;4;22;1000;0,005;4,40E+06
0;60;5;8;5;19;1000;0,005;3,80E+06
0;60;5;8;6;3;10000;0,005;6,00E+06
0;60;5;8;7;5;10000;0,005;1,00E+07
0;60;5;8;8;16;1000;0,005;3,20E+06
0;60;6;4;1;3;10000;0,005;6,00E+06
0;60;6;4;2;3;10000;0,005;6,00E+06
0;60;6;4;3;1;10000;0,005;2,00E+06
0;60;6;4;4;14;1000;0,005;2,80E+06
0;60;6;4;5;17;1000;0,005;3,40E+06
0;60;6;4;6;12;1000;0,005;2,40E+06
0;60;6;4;7;2;10000;0,005;4,00E+06
0;60;6;4;8;4;10000;0,005;8,00E+06
0;60;7;2;1;11;1000;0,005;2,20E+06
0;60;7;2;2;15;1000;0,005;3,00E+06
0;60;7;2;3;1;10000;0,005;2,00E+06
0;60;7;2;4;2;10000;0,005;4,00E+06
0;60;7;2;5;1;10000;0,005;2,00E+06
0;60;7;2;6;1;100000;0,005;2,00E+07
0;60;7;2;7;;;0,005;0,00E+00
0;60;7;2;8;12;1000;0,005;2,40E+06
0;60;8;0;1;15;1000;0,005;3,00E+06
0;60;8;0;2;16;1000;0,005;3,20E+06
0;60;8;0;3;1;10000;0,005;2,00E+06
0;60;8;0;4;1;10000;0,005;2,00E+06
0;60;8;0;5;3;10000;0,005;6,00E+06
0;60;8;0;6;2;10000;0,005;4,00E+06
0;60;8;0;7;22;1000;0,005;4,40E+06
0;60;8;0;8;1;10000;0,005;2,00E+06
1;150;1;128;1;3;10;0,005;6,00E+03
1;150;1;128;2;11;1;0,005;2,20E+03
1;150;1;128;3;2;10;0,005;4,00E+03
1;150;1;128;4;10;1;0,005;2,00E+03
1;150;1;128;5;6;1;0,005;1,20E+03
1;150;1;128;6;3;10;0,005;6,00E+03
1;150;1;128;7;4;10;0,005;8,00E+03
1;150;1;128;8;2;10;0,005;4,00E+03
1;150;2;64;1;2;100;0,005;4,00E+04
1;150;2;64;2;5;100;0,005;1,00E+05
1;150;2;64;3;4;100;0,005;8,00E+04
1;150;2;64;4;5;100;0,005;1,00E+05
1;150;2;64;5;5;100;0,005;1,00E+05
1;150;2;64;6;2;100;0,005;4,00E+04
1;150;2;64;7;1;100;0,005;2,00E+04
1;150;2;64;8;2;100;0,005;4,00E+04
1;150;3;32;1;1;1000;0,005;2,00E+05
1;150;3;32;2;3;1000;0,005;6,00E+05
1;150;3;32;3;2;1000;0,005;4,00E+05
1;150;3;32;4;17;100;0,005;3,40E+05
1;150;3;32;5;13;100;0,005;2,60E+05
1;150;3;32;6;2;1000;0,005;4,00E+05
1;150;3;32;7;1;1000;0,005;2,00E+05
