Time,Temp,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9
00:00:00,36.9,0.087,0.088,0.09,0.088,0.088,0.09,0.088,0.088,0.088,0.088,0.087,0.087,0.09,0.088,0.09,0.089,0.088,0.088,0.09,0.088,0.089,0.087,0.089,0.089,0.087,0.088,0.088,0.087,0.089,0.088,0.088,0.088,0.088,0.088,0.088,0.087,0.088,0.089,0.09,0.088,0.089,0.088,0.09,0.09,0.09,0.089,0.091,0.088,0.088,0.089,0.09,0.089,0.09,0.09,0.091,0.09,0.089,0.091,0.09,0.088,0.09,0.089,0.091,0.089,0.089,0.087,0.088,0.087,0.091,0.089,0.09,0.088
00:20:00,37,0.086,0.087,0.09,0.098,0.088,0.089,0.087,0.087,0.087,0.087,0.087,0.086,0.089,0.087,0.089,0.088,0.087,0.087,0.089,0.087,0.089,0.087,0.088,0.088,0.086,0.087,0.086,0.086,0.088,0.088,0.087,0.087,0.087,0.087,0.088,0.086,0.087,0.088,0.089,0.087,0.088,0.086,0.088,0.089,0.089,0.088,0.089,0.088,0.087,0.088,0.089,0.088,0.089,0.089,0.089,0.089,0.088,0.089,0.089,0.086,0.088,0.088,0.09,0.088,0.087,0.088,0.086,0.085,0.089,0.088,0.089,0.086
00:40:00,37,0.087,0.088,0.09,0.095,0.089,0.089,0.088,0.088,0.088,0.088,0.087,0.087,0.09,0.087,0.09,0.089,0.087,0.088,0.089,0.088,0.089,0.087,0.088,0.089,0.087,0.087,0.087,0.087,0.088,0.088,0.088,0.088,0.088,0.087,0.088,0.087,0.088,0.088,0.09,0.088,0.089,0.087,0.089,0.089,0.09,0.088,0.09,0.089,0.087,0.088,0.089,0.088,0.09,0.089,0.09,0.09,0.088,0.09,0.089,0.087,0.089,0.089,0.091,0.089,0.087,0.088,0.086,0.086,0.09,0.088,0.089,0.087
01:00:00,37,0.086,0.087,0.09,0.094,0.088,0.089,0.088,0.087,0.087,0.088,0.087,0.087,0.09,0.088,0.09,0.089,0.088,0.088,0.089,0.088,0.09,0.088,0.089,0.089,0.087,0.087,0.087,0.087,0.089,0.088,0.088,0.088,0.088,0.087,0.089,0.087,0.088,0.089,0.09,0.089,0.089,0.087,0.089,0.09,0.09,0.089,0.09,0.089,0.088,0.089,0.09,0.089,0.09,0.09,0.09,0.09,0.089,0.09,0.089,0.087,0.09,0.09,0.092,0.089,0.087,0.088,0.086,0.086,0.089,0.088,0.089,0.087
01:20:00,37,0.086,0.087,0.089,0.094,0.088,0.088,0.088,0.087,0.087,0.088,0.087,0.087,0.09,0.087,0.091,0.089,0.088,0.089,0.09,0.089,0.091,0.089,0.09,0.09,0.088,0.088,0.088,0.088,0.09,0.09,0.089,0.089,0.089,0.088,0.089,0.089,0.09,0.09,0.091,0.09,0.09,0.088,0.09,0.091,0.091,0.09,0.091,0.09,0.089,0.09,0.091,0.09,0.091,0.09,0.091,0.091,0.09,0.091,0.09,0.088,0.091,0.09,0.093,0.09,0.087,0.088,0.086,0.086,0.089,0.088,0.089,0.087
01:40:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.088,0.087,0.088,0.088,0.088,0.087,0.09,0.087,0.091,0.089,0.089,0.09,0.091,0.09,0.092,0.091,0.092,0.091,0.089,0.09,0.089,0.09,0.092,0.092,0.091,0.091,0.09,0.089,0.09,0.09,0.092,0.092,0.092,0.091,0.091,0.089,0.091,0.091,0.092,0.092,0.093,0.091,0.09,0.091,0.092,0.091,0.093,0.092,0.093,0.093,0.091,0.092,0.092,0.089,0.092,0.092,0.095,0.092,0.087,0.088,0.086,0.086,0.089,0.088,0.089,0.087
02:00:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.086,0.087,0.088,0.087,0.087,0.09,0.087,0.091,0.089,0.09,0.09,0.091,0.091,0.093,0.091,0.093,0.091,0.091,0.091,0.09,0.091,0.093,0.094,0.092,0.092,0.092,0.091,0.092,0.092,0.094,0.094,0.094,0.093,0.093,0.09,0.092,0.093,0.094,0.094,0.094,0.093,0.093,0.093,0.093,0.093,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.091,0.093,0.094,0.097,0.094,0.087,0.086,0.086,0.086,0.089,0.088,0.089,0.087
02:20:00,36.9,0.086,0.087,0.089,0.094,0.087,0.088,0.087,0.087,0.087,0.087,0.087,0.087,0.09,0.087,0.091,0.089,0.09,0.091,0.092,0.091,0.094,0.092,0.094,0.092,0.093,0.092,0.092,0.093,0.095,0.096,0.095,0.095,0.094,0.094,0.094,0.094,0.096,0.097,0.098,0.096,0.096,0.093,0.095,0.096,0.097,0.097,0.096,0.096,0.095,0.095,0.096,0.095,0.097,0.097,0.097,0.097,0.096,0.097,0.097,0.094,0.096,0.097,0.1,0.097,0.087,0.086,0.086,0.086,0.089,0.088,0.089,0.087
02:40:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.087,0.087,0.09,0.087,0.091,0.088,0.09,0.09,0.091,0.091,0.094,0.091,0.093,0.091,0.094,0.094,0.093,0.094,0.098,0.097,0.097,0.096,0.097,0.095,0.097,0.097,0.099,0.1,0.1,0.099,0.099,0.096,0.098,0.099,0.101,0.1,0.1,0.098,0.099,0.099,0.098,0.098,0.101,0.101,0.101,0.1,0.1,0.101,0.1,0.097,0.1,0.101,0.105,0.101,0.087,0.086,0.086,0.086,0.089,0.088,0.089,0.087
03:00:00,37,0.086,0.087,0.089,0.093,0.088,0.088,0.087,0.087,0.087,0.087,0.087,0.087,0.09,0.087,0.09,0.088,0.089,0.09,0.091,0.091,0.093,0.091,0.092,0.091,0.094,0.093,0.094,0.096,0.098,0.098,0.097,0.095,0.098,0.097,0.098,0.098,0.101,0.102,0.103,0.099,0.101,0.099,0.1,0.102,0.104,0.103,0.104,0.101,0.104,0.105,0.104,0.103,0.107,0.107,0.107,0.105,0.106,0.106,0.106,0.103,0.106,0.106,0.112,0.107,0.087,0.086,0.087,0.087,0.089,0.088,0.089,0.088
03:20:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.089,0.087,0.09,0.088,0.088,0.089,0.09,0.089,0.092,0.09,0.091,0.089,0.092,0.093,0.093,0.095,0.097,0.096,0.096,0.094,0.097,0.097,0.099,0.099,0.102,0.101,0.102,0.099,0.101,0.101,0.101,0.103,0.106,0.104,0.105,0.102,0.109,0.112,0.11,0.111,0.114,0.114,0.113,0.111,0.115,0.114,0.113,0.11,0.113,0.113,0.121,0.115,0.087,0.086,0.086,0.086,0.089,0.088,0.089,0.087
03:40:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.089,0.087,0.09,0.088,0.088,0.088,0.089,0.089,0.092,0.09,0.091,0.089,0.09,0.091,0.092,0.093,0.096,0.094,0.094,0.092,0.096,0.096,0.099,0.099,0.101,0.101,0.101,0.098,0.101,0.101,0.101,0.104,0.106,0.104,0.105,0.102,0.115,0.121,0.12,0.12,0.123,0.124,0.122,0.117,0.125,0.125,0.124,0.12,0.124,0.124,0.134,0.126,0.087,0.087,0.086,0.086,0.089,0.088,0.089,0.087
04:00:00,37,0.088,0.086,0.089,0.093,0.087,0.088,0.087,0.087,0.087,0.087,0.086,0.086,0.09,0.087,0.089,0.088,0.087,0.088,0.089,0.089,0.091,0.09,0.09,0.088,0.09,0.09,0.091,0.092,0.094,0.094,0.093,0.091,0.096,0.095,0.098,0.1,0.102,0.1,0.1,0.097,0.1,0.1,0.101,0.106,0.106,0.104,0.104,0.102,0.122,0.134,0.129,0.132,0.135,0.137,0.134,0.124,0.138,0.138,0.136,0.133,0.137,0.137,0.148,0.14,0.087,0.086,0.086,0.086,0.089,0.088,0.089,0.087
