Group,Replicate,Time,CFU,CFUlog10,Condition,Volume,AQL,BQL,Institute,Sample,Comments
0,1,0,NA,NA,0,100,1,0,A,untreated,100µl quad
0,2,0,NA,NA,0,100,1,0,A,untreated,100µl quad
0,3,0,NA,NA,0,100,1,0,A,untreated,100µl quad
0,1,0,2700,3.43136376415899,1,10,0,0,A,untreated,10µl 4 drops
0,2,0,3000,3.47712125471966,1,10,0,0,A,untreated,10µl 4 drops
0,3,0,3500,3.54406804435028,1,10,0,0,A,untreated,10µl 4 drops
0,1,0,1700,3.23044892137827,2,10,0,0,A,untreated,10µl single drop
0,2,0,1400,3.14612803567824,2,10,0,0,A,untreated,10µl single drop
0,3,0,1400,3.14612803567824,2,10,0,0,A,untreated,10µl single drop
0,1,0,1600,3.20411998265592,3,2.5,0,0,A,untreated,2.5µl single drop
0,2,0,1600,3.20411998265592,3,2.5,0,0,A,untreated,2.5µl single drop
0,3,0,1600,3.20411998265592,3,2.5,0,0,A,untreated,2.5µl single drop
0,1,1,9700,3.98677173426624,0,100,0,0,A,untreated,100µl quad
0,2,1,8500,3.92941892571429,0,100,0,0,A,untreated,100µl quad
0,3,1,NA,NA,0,100,0,0,A,untreated,100µl quad
0,1,1,5100,3.70757017609794,1,10,0,0,A,untreated,10µl 4 drops
0,2,1,5700,3.75587485567249,1,10,0,0,A,untreated,10µl 4 drops
0,3,1,5200,3.7160033436348,1,10,0,0,A,untreated,10µl 4 drops
0,1,1,1700,3.23044892137827,2,10,0,0,A,untreated,10µl single drop
0,2,1,1100,3.04139268515822,2,10,0,0,A,untreated,10µl single drop
0,3,1,1900,3.27875360095283,2,10,0,0,A,untreated,10µl single drop
0,1,1,2000,3.30102999566398,3,2.5,0,0,A,untreated,2.5µl single drop
0,2,1,2000,3.30102999566398,3,2.5,0,0,A,untreated,2.5µl single drop
0,3,1,2000,3.30102999566398,3,2.5,0,0,A,untreated,2.5µl single drop
1,1,1,5400,3.73239375982297,0,100,0,0,A,MXF 1X MIC,100µl quad
1,2,1,5100,3.70757017609794,0,100,0,0,A,MXF 1X MIC,100µl quad
1,3,1,3600,3.55630250076729,0,100,0,0,A,MXF 1X MIC,100µl quad
1,1,1,4000,3.60205999132796,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,2,1,3000,3.47712125471966,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,3,1,4700,3.67209785793572,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,1,1,1200,3.07918124604762,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,2,1,1200,3.07918124604762,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,3,1,1100,3.04139268515822,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,1,1,2000,3.30102999566398,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
1,2,1,2000,3.30102999566398,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
1,3,1,1600,3.20411998265592,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
2,1,1,NA,NA,0,100,1,0,A,MXF 10X MIC,100µl quad
2,2,1,260,2.41497334797082,0,100,0,0,A,MXF 10X MIC,100µl quad
