AB_conc,nutrient_conc,population,time,surv_frac
12.5,0.25,1,1,0.875
12.5,0.25,2,1,1.09
12.5,0.25,3,1,0.842
12.5,0.25,1,2,0.667
12.5,0.25,2,2,0.958
12.5,0.25,3,2,0.417
12.5,0.25,4,2,0.457
12.5,0.25,5,2,0.0721
12.5,0.25,6,2,0.0988
12.5,0.25,7,2,0.121
12.5,0.25,8,2,0.107
12.5,0.25,9,2,0.415
12.5,0.25,10,2,0.5
12.5,0.25,11,2,0.37
12.5,0.25,12,2,0.714
12.5,0.25,13,2,0.296
12.5,0.25,14,2,0.129
12.5,0.25,15,2,0.581
12.5,0.25,16,2,0.556
12.5,0.25,17,2,0.567
12.5,0.25,18,2,0.433
12.5,0.25,19,2,0.18
12.5,0.25,20,2,0.111
12.5,0.25,21,2,0.195
12.5,0.25,22,2,0.167
12.5,0.25,1,5,0.879
12.5,0.25,2,5,1.11
12.5,0.25,3,5,0.9
12.5,0.25,4,5,0.917
12.5,0.25,5,5,0.863
12.5,0.25,6,5,0.97
12.5,0.25,7,5,0.857
12.5,0.25,8,5,1.23
12.5,0.25,9,5,0.698
12.5,0.25,10,5,0.745
12.5,0.25,11,5,1
12.5,0.25,12,5,0.889
12.5,0.25,13,5,1.07
12.5,0.25,14,5,1.21
12.5,0.25,15,5,1.02
12.5,0.25,16,5,0.818
12.5,0.25,17,5,0.97
12.5,0.25,18,5,1.41
12.5,0.25,19,5,1.05
12.5,0.25,20,5,1.08
12.5,0.25,21,5,0.813
12.5,0.25,22,5,1.25
12.5,0.25,1,8,0.567
12.5,0.25,2,8,0.941
12.5,0.25,4,8,0.553
12.5,0.25,5,8,0.343
12.5,0.25,6,8,0.481
12.5,0.25,7,8,0.381
12.5,0.25,8,8,0.376
12.5,0.25,9,8,0.706
12.5,0.25,10,8,0.757
12.5,0.25,11,8,1.12
12.5,0.25,12,8,1.03
12.5,0.25,13,8,0.456
12.5,0.25,14,8,0.566
12.5,0.25,15,8,0.513
12.5,0.25,16,8,0.702
