AB_conc,nutrient_conc,MIC,pers_frac
12.5,0.25,4,0.0035928
12.5,0.25,4,0.024260333
12.5,0.25,8,0.002538667
12.5,0.25,4,0.000406333
12.5,0.25,2,0.094935667
12.5,0.25,2,0.023094333
12.5,0.25,2,0.001078667
12.5,0.25,2,0.100845333
12.5,0.25,1,0.000302333
12.5,0.25,8,0.026236333
12.5,0.25,2,0.001034667
12.5,0.25,4,0.053265333
12.5,0.25,2,0.001293
12.5,0.25,2,0.003948667
12.5,0.25,1,0.004986
12.5,0.25,4,0.000812
12.5,0.25,4,0.00034
12.5,0.25,2,0.000524667
12.5,0.25,2,0.000581667
12.5,0.25,2,0.056527333
12.5,0.5,2,0.166
12.5,0.5,2,0.183211
12.5,0.5,2,0.135517
12.5,0.5,8,0.005178333
12.5,0.5,8,0.1148975
12.5,0.5,2,0.001163333
12.5,0.5,4,0.335494667
12.5,0.5,4,0.008899
12.5,0.5,4,0.202933667
12.5,0.5,4,0.016436667
12.5,0.5,4,0.061981333
12.5,0.5,1,0.000954333
12.5,0.5,2,0.020650333
12.5,0.5,16,0.210639667
12.5,0.5,2,0.286156
12.5,0.5,2,0.030479333
12.5,0.5,2,0.000651
12.5,0.5,1,0.268468667
12.5,0.5,2,0.021848
12.5,0.8,8,0.000274987
12.5,0.8,1,0.0010595
12.5,0.8,2,0.000590667
12.5,0.8,32,0.000219933
12.5,0.8,4,0.00169
12.5,0.8,16,0.0013855
12.5,0.8,8,0.002764333
12.5,0.8,16,0.000306833
12.5,0.8,8,0.000537667
12.5,0.8,4,0.000147368
12.5,0.8,32,0.0032819
12.5,0.8,8,0.0001042
12.5,0.8,8,0.0015
12.5,0.8,32,0.0023745
25,0.25,1,0.145875779
25,0.25,2,0.129555561
25,0.25,2,0.085255439
25,0.25,4,0.446377128
25,0.25,8,1.063833672
25,0.5,1,0.01289736
25,0.5,8,0.535340611
25,0.5,16,0.079682607
25,0.5,16,0.163727778
25,0.5,0.5,0.071968376
25,0.5,4,0.122571618
25,0.5,8,0.168385439
25,0.5,8,0.257477707
25,0.5,8,0.09346779
25,0.5,8,0.020359059
25,0.5,16,0.275759056
25,0.5,8,0.198496747
25,0.5,8,0.085390909
25,0.5,8,0.05644304
25,0.5,2,0.008008368
25,0.5,4,0.077664451
25,0.5,2,0.015653383
25,0.5,4,0.178652308
25,0.5,4,0.18141051
25,0.5,16,0.466104874
25,0.5,8,0.019616285
25,0.5,2,0.442105898
25,0.5,8,0.124293053
25,0.5,4,0.206734554
25,0.8,32,0.000241467
25,0.8,64,0.000674
50,0.25,4,0.016179433
50,0.25,4,0.218537333
50,0.25,4,0.264102333
50,0.25,8,0.278980333
50,0.25,8,0.023650667
50,0.25,8,0.208388
50,0.25,4,0.104623
50,0.25,8,0.605417667
50,0.25,16,0.350261
50,0.25,16,0.204675667
50,0.25,2,0.335331667
50,0.25,8,0.06663
50,0.25,2,0.401882667
50,0.25,4,0.291763333
50,0.25,4,0.444836667
50,0.25,4,0.098728
50,0.25,2,0.274153667
50,0.25,4,0.414069
50,0.25,8,0.209523
50,0.25,1,0.027337667
50,0.25,2,0.224552
50,0.5,16,0.263474624
50,0.5,8,0.002298066
50,0.5,16,0.613310058
50,0.5,8,0.000674545
50,0.5,32,0.000628485
50,0.5,4,0.221892658
50,0.5,8,0.000380067
50,0.5,8,0.013342796
50,0.5,8,0.646218966
50,0.5,8,0.224049775
100,0.25,4,6.77E-05
100,0.25,16,0.396884313
100,0.25,8,0.082878457
100,0.25,8,0.016906541
100,0.25,8,0.000181421
100,0.25,16,0.004375607
100,0.25,16,0.001025439
100,0.25,32,0.537934641
100,0.25,16,0.182346873
100,0.25,8,0.006645695
100,0.25,4,0.002336609
