AB_conc,nutrient_conc,population,time,clone,MIC,pers_frac
12.5,0.5,1,1,1,2,0.000736
12.5,0.5,1,1,2,1,0.000318
12.5,0.5,1,1,3,8,0.000376
12.5,0.5,1,3,1,2,0.203
12.5,0.5,1,3,2,1,0.000745
12.5,0.5,1,3,3,8,0.000303
12.5,0.5,1,5,1,2,0.0152
12.5,0.5,1,5,2,8,0.127
12.5,0.5,1,5,3,8,0.102
12.5,0.5,1,7,1,4,0.0585
12.5,0.5,1,7,2,4,0.186
12.5,0.5,1,7,3,8,0.506
12.5,0.5,1,9,1,4,0.379
12.5,0.5,1,9,2,4,0.232
12.5,0.5,1,9,3,4,0.131
12.5,0.5,1,11,1,4,0.244
12.5,0.5,1,11,2,NA,0.233
12.5,0.5,1,11,3,NA,0.146
12.5,0.5,2,1,1,2,0.000384767
12.5,0.5,2,1,2,2,0.000543321
12.5,0.5,2,1,3,4,0.000359727
12.5,0.5,2,3,1,2,0.000503947
12.5,0.5,2,3,2,2,0.000477171
12.5,0.5,2,3,3,4,0.000495737
12.5,0.5,2,5,1,4,0.000247619
12.5,0.5,2,5,2,4,0.0004752
12.5,0.5,2,5,3,8,0.000320213
12.5,0.5,2,7,1,4,0.6255087
12.5,0.5,2,7,2,4,0.000996633
12.5,0.5,2,7,3,8,0.000175852
12.5,0.5,2,9,1,8,0.001111333
12.5,0.5,2,9,2,4,0.003254574
12.5,0.5,2,9,3,8,0.089506173
12.5,0.5,2,11,1,8,0.001552973
12.5,0.5,2,11,2,8,0.001631579
12.5,0.5,2,11,3,4,0.002461389
12.5,0.8,1,1,1,1,0.000624242
12.5,0.8,1,1,2,2,0.000195625
12.5,0.8,1,1,3,1,0.000227996
12.5,0.8,1,3,1,1,7.00E-06
12.5,0.8,1,3,2,1,0.000266399
12.5,0.8,1,3,3,2,0.000357045
12.5,0.8,1,5,1,1,0.000235312
12.5,0.8,1,5,2,1,0.000661458
12.5,0.8,1,5,3,2,0.001546875
12.5,0.8,1,7,1,1,0.000224266
12.5,0.8,1,7,2,0.5,0.000302497
12.5,0.8,1,7,3,2,0.000330552
12.5,0.8,1,9,1,16,3.33E-05
12.5,0.8,1,9,2,0.25,7.61E-06
12.5,0.8,1,9,3,0.25,1.61E-05
12.5,0.8,1,11,1,16,0.000190018
12.5,0.8,1,11,2,8,1.27E-05
12.5,0.8,1,11,3,32,5.67E-05
12.5,0.8,2,1,1,1,0.000293057
12.5,0.8,2,1,2,2,0.000284136
12.5,0.8,2,1,3,2,0.000379578
12.5,0.8,2,3,1,1,0.000458128
12.5,0.8,2,3,2,2,0.00053099
12.5,0.8,2,3,3,16,0.000988636
12.5,0.8,2,5,1,32,4.03E-05
12.5,0.8,2,5,2,32,4.00E-05
12.5,0.8,2,5,3,32,0.000146192
12.5,0.8,2,7,1,32,0.000155652
12.5,0.8,2,7,2,32,0.000186927
12.5,0.8,2,7,3,32,8.14E-06
12.5,0.8,2,9,1,64,0.000457143
12.5,0.8,2,9,2,64,0.000459225
12.5,0.8,2,9,3,32,0.00032791
12.5,0.8,2,11,1,32,5.97E-05
12.5,0.8,2,11,2,16,7.49E-05
12.5,0.8,2,11,3,4,5.99E-05
25,0.25,1,1,1,1,0.000831227
25,0.25,1,1,2,1,0.001976064
25,0.25,1,1,3,1,0.001403045
25,0.25,1,3,1,1,0.000370022
25,0.25,1,3,2,1,0.000258746
25,0.25,1,3,3,2,0.000718777
25,0.25,1,5,1,2,0.001674286
25,0.25,1,5,2,2,0.000789702
25,0.25,1,5,3,4,0.079865122
25,0.25,1,7,1,2,0.001053719
25,0.25,1,7,2,1,0.000530008
25,0.25,1,7,3,1,0.001435556
25,0.25,1,9,1,1,0.00070495
25,0.25,1,9,2,2,0.000820513
25,0.25,1,9,3,2,0.000340103
25,0.25,1,11,1,1,0.000683726
25,0.25,1,11,2,2,0.000486468
