AB_conc,nutrient_conc,time,repl,surv_frac
12.5,0,0,1,1.00E+00
12.5,0.25,0,1,1.00E+00
12.5,0.5,0,1,1.00E+00
12.5,0.8,0,1,1.00E+00
12.5,0.9,0,1,1.00E+00
12.5,0.95,0,1,1.00E+00
12.5,0,0,2,1.00E+00
12.5,0.25,0,2,1.00E+00
12.5,0.5,0,2,1.00E+00
12.5,0.8,0,2,1.00E+00
12.5,0.9,0,2,1.00E+00
12.5,0.95,0,2,1.00E+00
12.5,0,0,3,1.00E+00
12.5,0.25,0,3,1.00E+00
12.5,0.5,0,3,1.00E+00
12.5,0.9,0,3,1.00E+00
12.5,0.95,0,3,1.00E+00
12.5,0,1,1,8.67E-01
12.5,0.25,1,1,7.43E-01
12.5,0.5,1,1,2.97E-03
12.5,0.8,1,1,3.04E-05
12.5,0.9,1,1,1.75E-05
12.5,0.95,1,1,8.94E-06
12.5,0,1,2,9.36E-01
12.5,0.25,1,2,2.50E-01
12.5,0.5,1,2,7.43E-04
12.5,0.8,1,2,6.58E-05
12.5,0.9,1,2,2.96E-05
12.5,0.95,1,2,1.13E-05
12.5,0,1,3,9.84E-01
12.5,0.25,1,3,8.53E-01
12.5,0.5,1,3,2.45E-03
12.5,0.8,1,3,7.12E-05
12.5,0.9,1,3,2.39E-05
12.5,0.95,1,3,1.35E-05
12.5,0,2,1,7.01E-01
12.5,0.25,2,1,5.53E-01
12.5,0.5,2,1,1.43E-03
12.5,0.8,2,1,4.22E-05
12.5,0.9,2,1,2.64E-05
12.5,0.95,2,1,8.94E-06
12.5,0,2,2,9.11E-01
12.5,0.25,2,2,6.41E-02
12.5,0.5,2,2,8.95E-04
12.5,0.8,2,2,8.42E-05
12.5,0.9,2,2,2.71E-05
12.5,0.95,2,2,8.56E-06
12.5,0,2,3,7.38E-01
12.5,0.25,2,3,4.98E-01
12.5,0.5,2,3,8.21E-04
12.5,0.8,2,3,9.05E-05
12.5,0.9,2,3,3.82E-06
12.5,0.95,2,3,4.94E-07
12.5,0,3,1,8.86E-01
12.5,0.25,3,1,5.42E-01
12.5,0.5,3,1,8.99E-04
12.5,0.8,3,1,1.30E-05
12.5,0.9,3,1,6.91E-06
12.5,0.95,3,1,2.09E-07
12.5,0,3,2,1.05E+00
12.5,0.25,3,2,5.32E-02
12.5,0.5,3,2,7.74E-04
12.5,0.8,3,2,9.58E-05
12.5,0.9,3,2,1.39E-05
12.5,0.95,3,2,1.39E-06
12.5,0,3,3,9.94E-01
12.5,0.25,3,3,5.46E-01
12.5,0.5,3,3,9.08E-04
12.5,0.8,3,3,7.24E-05
12.5,0.9,3,3,1.92E-05
12.5,0.95,3,3,2.96E-06
12.5,0,5,1,7.91E-01
12.5,0.25,5,1,4.85E-01
12.5,0.5,5,1,2.18E-04
12.5,0.8,5,1,2.68E-05
12.5,0.9,5,1,1.48E-06
12.5,0.95,5,1,4.76E-07
