floor_regime,floor_stated_rows,floor_derived_rows,study_id,rows,series,timepoints,has_time_zero,with_a_count,with_a_floor,censored_rows,floor_unknown_rows,organisms,drugs
none,0,0,GOORMAGHTIGH2021,28880,239,292,True,108,0,0,28880,,
none,0,0,BUCHHOLZ2026,8735,696,52,True,3339,0,0,8735,P. aeruginosa,CIP; GEN; Gentamicin; car; cip; ctz; gen; mer; pit
derived from a stated plated volume,0,383,KOLLEROVA2024,5640,136,76,True,384,383,38,5257,Escherichia coli,Ampicillin
none,0,0,LEON2025,3203,611,17,True,0,0,0,3203,,CIP
none,0,0,GEERTS2022,2554,882,16,True,2554,0,0,2554,S. pneumoniae,Amoxicillin; Cefuroxime; Moxifloxacin; Vancomycin; amoxicill
stated by the source,2257,0,SOEORG2026,2257,369,13,True,2257,2257,127,0,Acinetobacter baumannii,colistin; meropenem; meropenem + colistin; meropenem + polym
none,0,0,BIOENERGETIC2025,1984,154,114,True,24,0,0,1984,E. coli,ampicillin; ciprofloxacin; gentamicin; piceatannol
none,0,0,ENOBLOCK,1152,8,72,True,0,0,0,1152,,Col; Col + ENO; Enoblock
none,0,0,XU2026,1145,296,11,True,1145,0,0,1145,Mtb; Mycobacterium tuberculosis,BDQ; INH; QM; RFP
none,0,0,PEPPER2026,896,48,6,True,0,0,0,896,,
none,0,0,SEBASTIAN2025,771,250,5,True,771,0,0,771,,BDQ; Emb; H2O2; INH; Mox; Q203; RIF; Rif; Rifampicin
none,0,0,AGUILAR2025,756,756,10,True,756,0,0,756,,BCZ; BCZT; BPaC; BPaCJ; BPaJ; BPaL; BPaL/B; BPaL/BJ; BPaL/BP
none,0,0,STRYDOM2024,659,171,25,True,659,0,0,659,,LZD; TBI-223
none,0,0,STEWART2012,658,6,5,True,658,0,0,658,,ampicillin; norfloxacin; streptomycin
none,0,0,NOREL2023,544,157,9,True,544,0,0,544,,ampicillin; ciprofloxacin; ciprofloxaxin
none,0,0,RIVANI2022,504,9,7,True,252,0,0,504,Acinetobacter baumannii,meropenem + amikacin; meropenem + ampicillin-sulbactam
derived from a stated plated volume,0,408,ALEXANDER2020,408,48,16,False,330,408,38,0,,streptomycin
none,0,0,MOLECULAR2026,394,74,10,True,394,0,0,394,E. coli,AMX; AMX + CLV; CLV
none,0,0,JOVANOVIC2026,390,130,3,True,390,0,0,390,,Bedaquiline; Bedaquiline-Clofazimine-Delamanid-Pyrazinamide;
none,0,0,MIYAHARA2026,371,52,64,True,262,0,0,371,,
none,0,0,STEPANYAN2015,348,9,15,True,348,0,0,348,,
stated by the source,324,0,PRETOMANID,324,21,6,True,324,324,31,0,Mycobacterium tuberculosis,ND-011992; Q203; pretomanid; pretomanid + Q203; pretomanid +
none,0,0,OFORI2024,308,22,2,True,20,0,0,308,,BDQ
none,0,0,EDOO2026,288,27,6,True,288,0,0,288,,Alpibectir; Eto; Eto + Alpibectir; INH
none,0,0,ZHU2022,252,72,3,True,252,0,20,232,,CEFEPIME; CIP; Cipro; Gentamicin; Meropenem; SXT; VAN
none,0,0,WALTER2025,234,151,6,True,234,0,0,234,,BTZ-043; INH
none,0,0,HAO2026,216,60,4,False,216,0,0,216,A. baumannii,CP; Contezolid; PBNP
derived from a stated plated volume,0,108,PIRANFAR2026,108,9,6,True,108,108,22,0,Escherichia coli,ciprofloxacin
none,0,0,RIVANI2022_2,36,9,1,False,0,0,0,36,,MEM + AK; MEM + SAM
none,0,0,BENZBROMARONE2025,0,0,0,False,0,0,0,0,,
none,0,0,MICHIELS2022,0,0,0,False,0,0,0,0,,
none,0,0,SALMONELLA2023,0,0,0,False,0,0,0,0,,
none,0,0,SOEORG2026_2,0,0,0,False,0,0,0,0,,
none,0,0,SOU,0,0,0,False,0,0,0,0,,
