bql_arm,deposit,state_label,drug,dose_value,dose_unit,n0_stratum,plated_volume_uL,limit_log10,V_mL,P_T_ext_infinite,n_series,b_tail_median_log10_per_day,b_tail_q05_log10_per_day,b_tail_q95_log10_per_day,b_tail_identified,censored_fraction,H_log10_cells,Delta_median_days,Delta_q05_days,Delta_q95_days,Delta_units,T_ext_0368_days,T_ext_p95_days,T_ext_p99_days,extrapolation_depth_log10,terminal_variant,rate_units,V_source,scale_tag
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,100.0,1.0,1.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,1.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,1.0,linear,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,100.0,1.0,1.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,1.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,1.0,decelerating,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,100.0,1.0,1.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,1.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,1.0,plateau,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,100.0,1.0,10.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,2.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,2.0,linear,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,100.0,1.0,10.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,2.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,2.0,decelerating,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,100.0,1.0,10.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,2.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,2.0,plateau,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,100.0,1.0,100.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,3.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,3.0,linear,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,100.0,1.0,100.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,3.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,3.0,decelerating,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,100.0,1.0,100.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,3.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,3.0,plateau,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,100.0,1.0,1000.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,4.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,4.0,linear,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,100.0,1.0,1000.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,4.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,4.0,decelerating,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,100.0,1.0,1000.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,4.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,4.0,plateau,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,10.0,2.0,1.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,2.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,1.0,linear,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
censored,era4tb,standard,isoniazid,1.0,xMIC,observed,10.0,2.0,1.0,1.0,16,-0.2235940481234121,-0.3499813926027994,-0.08656067924658195,True,0.22125813449023862,2.0,,,,"days, conditional on b_tail>0, mean is undefined",,,,1.0,decelerating,log10 per day,SCENARIO - no deposit records a culture volume; T_ext is conditional on this declared value,absolute_cfu_per_ml
