plated_volume_uL,limit_log10,V_mL,H_log10_cells,H_cells,units,V_source
100.0,1.0,1.0,1.0,10.0,H is log10 cells in the whole culture at the instant the plate first reads blank,SCENARIO - hypothetical vessel volume; no deposit in this corpus records one
100.0,1.0,10.0,2.0,100.0,H is log10 cells in the whole culture at the instant the plate first reads blank,SCENARIO - hypothetical vessel volume; no deposit in this corpus records one
100.0,1.0,100.0,3.0,1000.0,H is log10 cells in the whole culture at the instant the plate first reads blank,SCENARIO - hypothetical vessel volume; no deposit in this corpus records one
100.0,1.0,1000.0,4.0,10000.0,H is log10 cells in the whole culture at the instant the plate first reads blank,SCENARIO - hypothetical vessel volume; no deposit in this corpus records one
10.0,2.0,1.0,2.0,100.0,H is log10 cells in the whole culture at the instant the plate first reads blank,SCENARIO - hypothetical vessel volume; no deposit in this corpus records one
10.0,2.0,10.0,3.0,1000.0,H is log10 cells in the whole culture at the instant the plate first reads blank,SCENARIO - hypothetical vessel volume; no deposit in this corpus records one
10.0,2.0,100.0,4.0,10000.0,H is log10 cells in the whole culture at the instant the plate first reads blank,SCENARIO - hypothetical vessel volume; no deposit in this corpus records one
10.0,2.0,1000.0,5.0,100000.0,H is log10 cells in the whole culture at the instant the plate first reads blank,SCENARIO - hypothetical vessel volume; no deposit in this corpus records one
2.5,2.60206,1.0,2.6020599913279625,400.0000000000001,H is log10 cells in the whole culture at the instant the plate first reads blank,SCENARIO - hypothetical vessel volume; no deposit in this corpus records one
2.5,2.60206,10.0,3.6020599913279625,4000.000000000001,H is log10 cells in the whole culture at the instant the plate first reads blank,SCENARIO - hypothetical vessel volume; no deposit in this corpus records one
2.5,2.60206,100.0,4.6020599913279625,40000.00000000001,H is log10 cells in the whole culture at the instant the plate first reads blank,SCENARIO - hypothetical vessel volume; no deposit in this corpus records one
2.5,2.60206,1000.0,5.6020599913279625,400000.0000000001,H is log10 cells in the whole culture at the instant the plate first reads blank,SCENARIO - hypothetical vessel volume; no deposit in this corpus records one
