true_b_tail_log10_per_day,true_a_log10,sigma_log10,pi_misread,n_rep,n_rep_with_profile_interval,mean_censored_fraction,n_estimable,bias_log10_per_day,median_b_tail_log10_per_day,interval_width_90_log10_per_day,coverage_90,units
0.02,7.0,0.45,0.12,200,20,0.11265625,200,0.00027072173526367094,0.02353213373052921,0.15794711542712714,0.85,all rates log10 per day
0.02,6.0,0.45,0.12,200,20,0.11890625,200,0.0011302606510762633,0.020574363555481746,0.15865234375,0.9,all rates log10 per day
0.02,5.0,0.45,0.12,200,20,0.1928125,200,0.015822464150181802,0.02677692921644949,0.175625,0.9,all rates log10 per day
0.02,4.0,0.45,0.12,200,20,0.368125,200,0.37143035531540547,0.03145490609877244,0.240390625,0.7,all rates log10 per day
0.02,3.0,0.45,0.12,200,20,0.58484375,200,0.8076079656049501,1.888754997459733,5.1362586896837605,0.95,all rates log10 per day
0.02,2.0,0.45,0.12,200,20,0.816875,197,-0.3244720135813486,-0.7024667871682083,6.0,0.75,all rates log10 per day
0.05,7.0,0.45,0.12,200,20,0.12140625,200,0.0016147726635560161,0.05067478076676082,0.15681579550391275,0.95,all rates log10 per day
0.05,6.0,0.45,0.12,200,20,0.12953125,200,0.00623446838759717,0.05626998480031013,0.1507421875,1.0,all rates log10 per day
0.05,5.0,0.45,0.12,200,20,0.19390625,200,0.04956318256188623,0.045342535804164655,0.19312500000000002,0.85,all rates log10 per day
0.05,4.0,0.45,0.12,200,20,0.374375,200,0.7545983108802304,0.08329280200328815,0.252098384338956,0.9,all rates log10 per day
0.05,3.0,0.45,0.12,200,20,0.60359375,200,0.8619767299675527,1.8995570781153255,5.187550062731482,0.95,all rates log10 per day
0.05,2.0,0.45,0.12,200,20,0.81328125,197,-1.033755619253443,-0.5827935587312703,6.0,0.8,all rates log10 per day
0.1,7.0,0.45,0.12,200,20,0.1178125,200,0.0026011237519096703,0.10401928826770117,0.15743706169520855,0.95,all rates log10 per day
0.1,6.0,0.45,0.12,200,20,0.1375,200,-0.002691024914513118,0.09512711854512271,0.15994785943084944,1.0,all rates log10 per day
0.1,5.0,0.45,0.12,200,20,0.21703125,200,0.1726363593170708,0.11400887305356606,0.2085136057394568,0.7,all rates log10 per day
0.1,4.0,0.45,0.12,200,20,0.3840625,200,0.998733769728014,1.9378689553604334,0.2601892615176633,0.95,all rates log10 per day
0.1,3.0,0.45,0.12,200,20,0.60828125,200,1.261205570432381,1.9620566346109798,5.152610370033091,1.0,all rates log10 per day
0.1,2.0,0.45,0.12,200,20,0.8225,195,-1.6903121818561961,-0.5492408434928671,6.0,0.75,all rates log10 per day
0.2,7.0,0.45,0.12,200,20,0.12171875,200,0.006409785239046423,0.2095171202177296,0.1541987609140989,0.85,all rates log10 per day
0.2,6.0,0.45,0.12,200,20,0.15984375,200,0.041645474237044955,0.21856582325213905,0.17012528319165343,0.85,all rates log10 per day
0.2,5.0,0.45,0.12,200,20,0.24171875,200,0.6217780533114676,0.22145583862002935,0.23362374757806603,0.85,all rates log10 per day
0.2,4.0,0.45,0.12,200,20,0.39296875,200,1.5599369982776568,2.070683181724198,5.080421364329686,1.0,all rates log10 per day
0.2,3.0,0.45,0.12,200,20,0.61046875,200,-32.727400117410795,1.9585236930632828,5.1961266887816855,0.9,all rates log10 per day
0.2,2.0,0.45,0.12,200,20,0.81625,197,-1.763751933619818,-0.8095139876018248,6.0,0.7368421052631579,all rates log10 per day
