unit_group,time_days,plated_volume_uL,limit_log10,observed_blank,observed_y_log10,predicted_p_blank,mu_median,mu_q05,mu_q95,fold
era4tb_A_INH10x_r1,1.0,100.0,1.0,0,2.11394335230684,0.02348407608855707,2.677194566181813,2.3065300413410452,3.101893090822863,in-sample
era4tb_A_INH10x_r1,1.0,10.0,2.0,0,2.0,0.1292865300972316,2.677194566181813,2.3065300413410452,3.101893090822863,in-sample
era4tb_A_INH10x_r1,1.0,10.0,2.0,0,2.30102999566398,0.1292865300972316,2.677194566181813,2.3065300413410452,3.101893090822863,in-sample
era4tb_A_INH10x_r1,1.0,2.5,2.6020599913279625,0,2.90308998699194,0.37070677610535036,2.677194566181813,2.3065300413410452,3.101893090822863,in-sample
era4tb_A_INH10x_r1,2.0,100.0,1.0,0,1.90308998699194,0.09933603126404379,1.7563736684856013,1.4934318595370688,2.0342247086872116,in-sample
era4tb_A_INH10x_r1,2.0,10.0,2.0,1,,0.5259207742632321,1.7563736684856013,1.4934318595370688,2.0342247086872116,in-sample
era4tb_A_INH10x_r1,2.0,10.0,2.0,0,2.60205999132796,0.5259207742632321,1.7563736684856013,1.4934318595370688,2.0342247086872116,in-sample
era4tb_A_INH10x_r1,2.0,2.5,2.6020599913279625,1,,0.7962419447148871,1.7563736684856013,1.4934318595370688,2.0342247086872116,in-sample
era4tb_A_INH10x_r1,3.0,100.0,1.0,0,1.0,0.19595995215497927,1.443399801185481,1.097256971673039,1.6877079702703848,in-sample
era4tb_A_INH10x_r1,3.0,10.0,2.0,1,,0.6873791617971129,1.443399801185481,1.097256971673039,1.6877079702703848,in-sample
era4tb_A_INH10x_r1,3.0,10.0,2.0,1,,0.6873791617971129,1.443399801185481,1.097256971673039,1.6877079702703848,in-sample
era4tb_A_INH10x_r1,3.0,2.5,2.6020599913279625,0,3.07918124604762,0.8869125277103541,1.443399801185481,1.097256971673039,1.6877079702703848,in-sample
era4tb_A_INH10x_r1,7.0,100.0,1.0,1,,0.7942462407681379,0.2346163742916283,-0.4308263634046579,0.46479548668524434,in-sample
era4tb_A_INH10x_r1,7.0,10.0,2.0,1,,0.9705823365582827,0.2346163742916283,-0.4308263634046579,0.46479548668524434,in-sample
era4tb_A_INH10x_r1,7.0,10.0,2.0,0,2.0,0.9705823365582827,0.2346163742916283,-0.4308263634046579,0.46479548668524434,in-sample
era4tb_A_INH10x_r1,7.0,2.5,2.6020599913279625,1,,0.9922803345942838,0.2346163742916283,-0.4308263634046579,0.46479548668524434,in-sample
era4tb_A_INH10x_r1,10.0,100.0,1.0,1,,0.8170612404630003,-0.012797602731689839,-0.7926489127774978,0.594689405911656,in-sample
