scenario,arm,alpha,min_value,replicate,simulation_id,final_mic,extinct
published,low,5e-05,-0.5,0,1,19.34121582728943,False
calibrated,low,5e-05,-3.5824,0,3,23.649447646359434,False
published,low,5e-05,-0.5,2,9,19.80855987502307,False
published,low,5e-05,-0.5,1,5,22.43403408972729,False
calibrated,low,5e-05,-3.5824,1,7,21.860572214173533,False
calibrated,high,0.8,-3.5824,1,6,13.504091782769283,False
calibrated,high,0.8,-3.5824,0,2,8.149685506950085,False
published,low,5e-05,-0.5,3,13,28.828985180274287,False
calibrated,low,5e-05,-3.5824,4,19,2.0,True
calibrated,high,0.8,-3.5824,2,10,8.360060958170134,False
calibrated,low,5e-05,-3.5824,2,11,26.423703991643144,False
published,high,0.8,-0.5,3,12,8.757758654565377,False
published,high,0.8,-0.5,1,4,7.477652803792005,False
published,high,0.8,-0.5,0,0,7.760649747998523,False
published,high,0.8,-0.5,2,8,12.359775815015123,False
published,low,5e-05,-0.5,6,25,2.0,False
calibrated,low,5e-05,-3.5824,3,15,16.868392485152693,False
published,low,5e-05,-0.5,7,29,2.0,False
calibrated,low,5e-05,-3.5824,7,31,2.0,True
calibrated,high,0.8,-3.5824,3,14,11.767566089390565,False
calibrated,low,5e-05,-3.5824,5,23,21.869204366499385,False
published,high,0.8,-0.5,4,16,13.729437678071843,False
calibrated,low,5e-05,-3.5824,8,35,2.0,True
published,low,5e-05,-0.5,4,17,17.95102411563476,False
published,low,5e-05,-0.5,5,21,15.835354071391727,False
calibrated,low,5e-05,-3.5824,6,27,18.32755484509753,False
calibrated,low,5e-05,-3.5824,9,39,2.0,True
calibrated,high,0.8,-3.5824,4,18,24.72092838442542,False
calibrated,high,0.8,-3.5824,5,22,10.939017310327324,False
published,high,0.8,-0.5,5,20,8.350161109506843,False
calibrated,low,5e-05,-3.5824,10,43,2.0,True
calibrated,high,0.8,-3.5824,6,26,15.863670628199717,False
published,high,0.8,-0.5,6,24,7.421691288961869,False
published,high,0.8,-0.5,7,28,7.067702270102997,False
calibrated,low,5e-05,-3.5824,11,47,2.0,True
calibrated,high,0.8,-3.5824,7,30,11.580859842794686,False
published,low,5e-05,-0.5,8,33,27.350849709264764,False
calibrated,high,0.8,-3.5824,8,34,6.9106984349062035,False
published,high,0.8,-0.5,8,32,11.543830319687045,False
published,low,5e-05,-0.5,9,37,18.420592042293077,False
published,low,5e-05,-0.5,10,41,22.537522252239,False
calibrated,high,0.8,-3.5824,9,38,9.46114355695265,False
published,high,0.8,-0.5,9,36,14.281400077044092,False
published,low,5e-05,-0.5,12,49,16.70368074838472,False
