AB_conc,nutrient_conc,boccarella_arm,alpha_simulated,n_points,alpha_hat,alpha_ci_low,alpha_ci_high,persister_kill_rate_per_h,kill_rate_stderr,r_squared,ratio_simulated_over_fitted
12.5,0.0,,,12,0.9537128366897178,0.6870812106167161,1.3238146536569246,0.043335608205768684,0.029143551801120212,0.18107174583665223,
25.0,0.0,,,12,2.9469832173324795,1.058153319256614,8.207421292540642,0.5048738448859618,0.09103250679475355,0.7546556388667023,
50.0,0.0,,,12,0.8205602403413808,0.5270468597764113,1.2775317707323905,0.13977204521959136,0.03934550149374803,0.5579083049375966,
100.0,0.0,,,12,0.9711992897418186,0.6227908603690385,1.5145181479318712,0.1654568380274712,0.039489753611715306,0.6370893291544845,
200.0,0.0,,,12,0.9318890741285673,0.6839107451211257,1.269781550699858,0.1412673474661988,0.027497222871141248,0.725229755262365,
400.0,0.0,,,12,0.4093103281115243,0.24524197436340836,0.683141395895404,0.4912490910739372,0.04552512837983251,0.9209109304328191,
12.5,0.25,high persistence,0.8,12,0.5963130258620046,0.05094971069952998,6.97921970371424,0.3406199432973421,0.21863003151553587,0.1953189148494028,1.34157726781761
25.0,0.25,high persistence,0.8,12,0.03267743975955612,0.006718399416912177,0.15893890835835336,0.5267623920766055,0.14058818798288947,0.5840069024200966,24.48172212653379
50.0,0.25,high persistence,0.8,9,0.005894556954173965,0.00237867240298408,0.014607224451089406,0.4591483462951967,0.06772523766717813,0.8678313639069776,135.71842739317603
100.0,0.25,high persistence,0.8,12,0.0020139577821943013,0.0009547962008629361,0.004248054134269898,0.37586308346764913,0.06633390220416568,0.7625050113343476,397.22779050927403
200.0,0.25,high persistence,0.8,12,0.0011382969913075528,0.0006346292865396934,0.002041695944233398,0.35525871279183285,0.051925961014632205,0.8239685569399049,702.8042822822947
400.0,0.25,high persistence,0.8,12,0.0006716991204761409,0.0003768234792678239,0.0011973237690100231,0.315765462797414,0.05137369222983225,0.7907019754086224,1191.0094499348336
12.5,0.5,,,12,0.002415841930219265,0.0015265681349016546,0.0038231455893591886,0.41487394010210465,0.04079666341652207,0.9118281460003541,
25.0,0.5,,,12,0.00284006851992977,0.0012165328067222383,0.0066303096417339134,0.3007940934318982,0.07535169399066273,0.6144209396400601,
50.0,0.5,,,12,0.00015324662495402137,8.665325064233647e-05,0.0002710172773175179,0.26596048535373856,0.05067159974390838,0.7336809467401573,
100.0,0.5,,,12,0.00039262285370437403,0.00028307930735423564,0.0005445566003807718,0.2041318421645538,0.029073541382287682,0.8313590661623216,
200.0,0.5,,,12,0.00018857001259677713,0.0001251990261038113,0.00028401698285787386,0.3154464505761303,0.03640073497952066,0.882489049191334,
400.0,0.5,,,12,0.00016990394149553169,3.577439955786833e-05,0.0008069275709022461,0.6789381722893969,0.1384698758511845,0.7062353166601074,
12.5,0.8,low persistence,5e-05,12,9.646519134033938e-05,3.514502647567936e-05,0.0002647752491171914,0.18255316828378815,0.08973867133667666,0.2927001977477256,0.5183216796159634
25.0,0.8,low persistence,5e-05,12,0.000130390946778088,8.001197666590706e-05,0.0002124906758981573,0.017848805762807337,0.043403877962292024,0.016629471524249376,0.3834622052794422
50.0,0.8,low persistence,5e-05,12,0.00010564485821665275,7.839113313819066e-06,0.0014237370504572176,0.4781535384690136,0.23116436588317177,0.2996470149941631,0.473283800499422
100.0,0.8,low persistence,5e-05,12,3.087505730140145e-06,1.8125139094946822e-06,5.259375712215022e-06,0.3060625147027962,0.04734003684764116,0.8069450790175403,16.19430192854426
200.0,0.8,low persistence,5e-05,12,8.459291700503563e-06,3.905028845050589e-06,1.8324990394093084e-05,0.6795478560858366,0.06870167217081455,0.9072679052879808,5.910660344887222
400.0,0.8,low persistence,5e-05,11,6.404510303008237e-08,2.3962196541213124e-08,1.7117692925517617e-07,0.2310683595245098,0.08598497664930747,0.4451855509235034,780.6998136378156
12.5,0.9,,,12,4.442911306120948e-05,2.5030586805599106e-06,0.0007886135881417616,0.3398171904613319,0.2556431409328626,0.15016155999760786,
25.0,0.9,,,12,8.926879096225142e-05,1.1535596011931407e-05,0.0006908110366919738,0.34028177029931,0.1818606717687403,0.25931751893653165,
50.0,0.9,,,12,0.00022945760675978887,2.9498960255704245e-05,0.0017848355617804774,0.8141232459074565,0.18231828819482598,0.6659959431131358,
100.0,0.9,,,12,8.117387428743052e-06,2.5523351825985982e-06,2.5816350108542338e-05,0.7174663391474695,0.10283024944633545,0.8295876726184894,
200.0,0.9,,,11,9.25354950468206e-07,1.985564883669186e-07,4.312534893212186e-06,0.5163990173807215,0.1450553609717455,0.584750082379475,
12.5,0.95,,,12,4.32849479878127e-06,3.451156561509473e-07,5.428866204459232e-05,0.1909701198470967,0.22477752996260625,0.06732196754046822,
25.0,0.95,,,11,0.00017547348386787583,2.734496804703032e-05,0.0011260186330359816,0.7893381808285862,0.17520030548013915,0.6928133909023871,
50.0,0.95,,,12,5.884573874325954e-05,8.013266786195841e-06,0.00043213598905819916,0.5624150482209165,0.17720411538477351,0.5018226361122168,
100.0,0.95,,,9,2.373331475503013e-05,7.5103794509554785e-06,7.499890424173854e-05,1.0548663417723592,0.13671894632461076,0.894784650910001,
