nutrient_conc,AB_conc,kill_rate_per_h,n_intervals
0.0,12.5,0.17576191380512213,5
0.0,25.0,1.3172780694122466,5
0.0,50.0,0.6997242611354147,5
0.0,100.0,0.418725493387431,5
0.0,200.0,0.40926362026004903,5
0.0,400.0,2.299074246734928,5
0.25,12.5,0.7315046891993576,5
0.25,25.0,3.1584236432727697,5
0.25,50.0,3.994781073248702,5
0.25,100.0,6.574442040961421,5
0.25,200.0,7.367329276319349,5
0.25,400.0,7.359001936469124,5
0.5,12.5,6.345225031279848,5
0.5,25.0,5.911506978159516,5
0.5,50.0,9.092066251587775,5
0.5,100.0,6.9503668088696715,5
0.5,200.0,8.770216781895115,5
0.5,400.0,9.820881679422,5
0.8,12.5,9.859992136243815,5
0.8,25.0,5.430967532614548,5
0.8,50.0,10.365679650422292,5
0.8,100.0,10.494387931761052,5
0.8,200.0,11.70679466321603,5
0.8,400.0,14.717085028300952,5
0.9,12.5,10.674225990898625,5
0.9,25.0,8.792399759886719,5
0.9,50.0,9.888044514354515,5
0.9,100.0,9.931552047952243,5
0.9,200.0,12.135068079814275,5
0.9,400.0,15.679570241690044,2
0.95,12.5,11.409501224514907,5
0.95,25.0,8.645057869179569,5
0.95,50.0,9.137323271724505,5
0.95,100.0,8.999514447341904,4
