stratum,endpoint,n,spearman_rho,p_value,detectable_rho_at_95pct,bh_critical_value,survives_bh,independent
baseline only,MDK99.99 (15d),162,-0.2057543694767139,0.008621407974391862,0.15419824492891146,0.0020833333333333333,False,True
INH-susceptible,MDK99.99 (15d),119,-0.2181883292384874,0.01713369036681062,0.17999878354539486,0.004166666666666667,False,True
INH-susceptible,MDK99 (60d),117,-0.1980043133039638,0.03235605093217732,0.18153623459718365,0.006250000000000001,False,True
all isolates,MDK99.99 (60d),187,-0.1533493142054566,0.036138173902890806,0.14349585630200515,0.008333333333333333,False,True
INH-susceptible,MDK99.99 (60d),117,-0.17864582569101675,0.05396272822457503,0.18153623459718365,0.010416666666666666,False,True
baseline only,MDK99.99 (60d),156,-0.14931276448254874,0.06283462321385629,0.15714359152264082,0.012500000000000002,False,True
all isolates,MDK99.99 (15d),193,-0.12006406644517321,0.09627845218533394,0.14124269945004728,0.014583333333333335,False,True
baseline only,MDK99 (60d),156,-0.10847528993794098,0.17767750163654059,0.15714359152264082,0.016666666666666666,False,True
all isolates,MDK90 (15d),193,0.09048942382480309,0.210744041262623,0.14124269945004728,0.01875,False,True
INH-resistant,MDK99.99 (60d),64,-0.15170250909845234,0.23144649699321587,0.24581361512996794,0.020833333333333332,False,True
INH-susceptible,MDK90 (15d),119,0.08378716281753158,0.364958759967551,0.17999878354539486,0.02291666666666667,False,True
INH-susceptible,MDK90 (60d),117,-0.08300569732109254,0.37360510381204703,0.18153623459718365,0.025000000000000005,False,True
all isolates,MDK99 (60d),187,-0.06430307667674703,0.3819327862591899,0.14349585630200515,0.027083333333333334,False,True
all isolates,MDK99 (15d),193,0.05731632980338254,0.4285108568089232,0.14124269945004728,0.02916666666666667,False,True
baseline only,MDK90 (60d),156,-0.03533043651708907,0.6614843070562528,0.15714359152264082,0.03125,False,True
all isolates,MDK90 (60d),187,-0.028063244816076638,0.703009551554874,0.14349585630200515,0.03333333333333333,False,True
baseline only,MDK99 (15d),162,-0.02588832014765141,0.7436619889191668,0.15419824492891146,0.03541666666666667,False,True
INH-resistant,MDK90 (60d),64,-0.03958246148593267,0.7561501101913555,0.24581361512996794,0.0375,False,True
INH-resistant,MDK99 (60d),64,0.03457996784819986,0.786184520890008,0.24581361512996794,0.03958333333333334,False,True
INH-resistant,MDK99 (15d),67,-0.030905334986262276,0.8039257433315965,0.24021286468618025,0.041666666666666664,False,True
baseline only,MDK90 (15d),162,0.018549583676001936,0.814760180123618,0.15419824492891146,0.043750000000000004,False,True
INH-resistant,MDK99.99 (15d),67,-0.028827047095207073,0.8168742410030474,0.24021286468618025,0.04583333333333334,False,True
INH-resistant,MDK90 (15d),67,-0.02038503213645906,0.8699393356663028,0.24021286468618025,0.04791666666666667,False,True
INH-susceptible,MDK99 (15d),119,0.004465082938259376,0.9615613059834773,0.17999878354539486,0.05000000000000001,False,True
