arm,Condition,plating_volume_uL,loq_log10,n_points,fraction_below_limit
INH 10x MIC,3,2.5,2.6020599913279625,126,0.4444444444444444
INH 10x MIC,1,10.0,2.0,129,0.3798449612403101
INH 10x MIC,2,10.0,2.0,130,0.45384615384615384
INH 10x MIC,0,100.0,1.0,124,0.33064516129032256
INH 1x MIC,3,2.5,2.6020599913279625,127,0.31496062992125984
INH 1x MIC,1,10.0,2.0,128,0.203125
INH 1x MIC,2,10.0,2.0,131,0.32061068702290074
INH 1x MIC,0,100.0,1.0,121,0.18181818181818182
MXF 10x MIC,3,2.5,2.6020599913279625,128,0.328125
MXF 10x MIC,1,10.0,2.0,126,0.2619047619047619
MXF 10x MIC,2,10.0,2.0,126,0.3492063492063492
MXF 10x MIC,0,100.0,1.0,123,0.2032520325203252
MXF 1x MIC,3,2.5,2.6020599913279625,131,0.05343511450381679
MXF 1x MIC,1,10.0,2.0,127,0.023622047244094488
MXF 1x MIC,2,10.0,2.0,131,0.015267175572519083
MXF 1x MIC,0,100.0,1.0,118,0.01694915254237288
untreated,3,2.5,2.6020599913279625,143,0.013986013986013986
untreated,1,10.0,2.0,140,0.0
untreated,2,10.0,2.0,140,0.0
untreated,0,100.0,1.0,131,0.022900763358778626
