arm,institute,n_points,n_quantified,fraction_censored,intercept_log10,kill_rate_tobit,kill_rate_se,kill_rate_ci_low,kill_rate_ci_high,residual_sd,runs_z,theta_cov,kill_rate_mi,kill_rate_mi_se,kill_rate_mi_ci_low,kill_rate_mi_ci_high,fraction_missing_information,note
untreated,A,80.0,80.0,0.0,3.602836144639548,-0.18114935413401062,0.009989359050253534,-0.2009655408897263,-0.16133316705317882,0.4301097742087918,-6.729208911721301,"[[ 5.37229846e-03 -5.52572142e-04]
 [-5.52572142e-04  9.97872942e-05]]",-0.18114935397145107,0.010116617173866992,-0.20097792363223038,-0.16132078431067176,0.0,
untreated,B,80.0,78.0,0.025,3.4428476243930657,-0.16017605954531894,0.012435357441508492,-0.18488476559035913,-0.13551676959033657,0.5430149177428798,-2.8466952204372324,"[[ 0.00830876 -0.00084523]
 [-0.00084523  0.00015464]]",-0.1602591133450833,0.012655583096722293,-0.185064056214659,-0.13545417047550762,0.0007073302048350197,
untreated,C,84.0,83.0,0.011904761904761904,4.315877285422404,-0.20726984285816705,0.013134428045573517,-0.23332725677757857,-0.18123271393002094,0.5815911438939473,-4.568742807930718,"[[ 0.0088499  -0.00091206]
 [-0.00091206  0.00017251]]",-0.20726852251460035,0.01329204924387971,-0.2333209390326046,-0.1812161059965961,0.00023916111120923637,
untreated,D,78.0,76.0,0.02564102564102564,5.0368924970474,-0.07334015742440918,0.014453419439890895,-0.10202781530309905,-0.044628961936174015,0.6223987715633773,-4.180945022768505,"[[ 0.011496   -0.00116751]
 [-0.00116751  0.0002089 ]]",-0.07327517330839482,0.014647966206863827,-0.10198518707384792,-0.044565159542941726,0.0015560185117778566,
untreated,E,81.0,81.0,0.0,5.230431544250129,-0.170643500463206,0.007420278505390778,-0.18536112841654961,-0.155925874135692,0.3190261684623441,-5.473974953850967,"[[ 2.79381224e-03 -2.90937138e-04]
 [-2.90937138e-04  5.50605331e-05]]",-0.17064350127612093,0.007513619016044434,-0.18537019454756803,-0.15591680800467383,0.0,
untreated,F,69.0,69.0,0.0,5.99579559969578,-0.1989856041664736,0.025401756781889717,-0.2494731831139436,-0.14849802714016455,0.7579306357606685,-2.778973747870909,"[[ 0.01813244 -0.00251554]
 [-0.00251554  0.00064525]]",-0.19898560512705393,0.025778099365896916,-0.24951067988421188,-0.14846053036989598,1.2066262974988272e-30,
MXF 1x MIC,A,72.0,72.0,0.0,3.5103865435275554,-0.16617051740353936,0.009198638926520097,-0.1844426913580292,-0.1478983443463369,0.36447974437257075,-5.400555897976932,"[[ 5.06279499e-03 -5.21792242e-04]
 [-5.21792242e-04  8.46149581e-05]]",-0.16617051785218354,0.009329122586175676,-0.18445559812108786,-0.1478854375832792,0.0,
MXF 1x MIC,B,71.0,70.0,0.014084507042253521,3.292415632575539,-0.10698423421406766,0.012168793268333488,-0.13118331902840982,-0.08281137464638412,0.47790782693930745,-4.661121751957407,"[[ 0.00898637 -0.0009242 ]
 [-0.0009242   0.00014808]]",-0.1069394490379252,0.012309335664279813,-0.13106574693991363,-0.08281315113593676,0.0001970815940125035,
MXF 1x MIC,C,83.0,76.0,0.08433734939759036,4.19084765624113,0.002810816817745903,0.02299111012329117,-0.0014054084088729515,0.007027042044364757,1.0109232575963036,-6.157954436598098,"[[ 0.02675892 -0.0027527 ]
 [-0.0027527   0.00052859]]",0.0025728181633740328,0.023241494590367746,-0.04298051123374675,0.04812614756049482,0.0021008861008157778,
MXF 1x MIC,D,75.0,73.0,0.02666666666666667,5.0024844076866435,-0.04669830975400769,0.016290760500533925,-0.0789965020222953,-0.01425687055110459,0.6889121550808747,-4.749232537848439,"[[ 0.01408556 -0.00143422]
 [-0.00143422  0.00026539]]",-0.04665258705950081,0.01653015860285269,-0.07905169792109208,-0.014253476197909537,0.003441600973414008,
MXF 1x MIC,E,68.0,68.0,0.0,5.083248372278269,-0.14308090027509102,0.008186035381432963,-0.15935451865793573,-0.1268072818347299,0.3091037450116902,-4.630472273907658,"[[ 3.71222202e-03 -3.93197925e-04]
 [-3.93197925e-04  6.70111753e-05]]",-0.14308090024633524,0.008309140574881095,-0.1593668157731022,-0.1267949847195683,1.1613479565106846e-29,
MXF 1x MIC,F,59.0,56.0,0.05084745762711865,5.405303645461385,-0.21411663664875139,0.046977305089331546,-0.308305058444778,-0.12075499299000678,1.2156101319595352,-3.178103405386948,"[[ 0.07345095 -0.01032328]
 [-0.01032328  0.00220687]]",-0.21330949480846895,0.047492179495664,-0.3063941666199704,-0.12022482299696752,0.00484116737814702,
MXF 10x MIC,A,71.0,35.0,0.5070422535211268,2.5431806467262597,0.11899991767358431,0.01838892159092058,0.08394120768997486,0.15973151947175915,0.48145333949644487,-4.770619861780569,"[[ 0.01145318 -0.00149427]
 [-0.00149427  0.00033815]]",0.12527826458427066,0.023451810042069792,0.07931271690181387,0.17124381226672747,0.6980791261982854,
MXF 10x MIC,B,71.0,30.0,0.5774647887323944,2.604955845611378,0.1389423808124773,0.022038148023651626,0.09708788367901257,0.19117291093499858,0.5671378373007243,-3.2534067750302063,"[[ 0.01586662 -0.00207293]
 [-0.00207293  0.00048568]]",0.1398425347183207,0.02470981872651907,0.09141129001434332,0.18827377942229806,0.6517284804434309,
MXF 10x MIC,C,82.0,46.0,0.43902439024390244,4.175955328931156,0.46436684168711023,0.029533752107325763,0.40813609794032185,0.5279869122103507,0.30294350796258274,-4.292130970651509,"[[ 0.00463863 -0.00153939]
 [-0.00153939  0.00087224]]",0.4635788972244056,0.014912127777360562,0.4343511267807789,0.49280666766803227,0.7754763439301522,
MXF 10x MIC,D,70.0,68.0,0.02857142857142857,4.223653434105537,0.1044549691913066,0.01399336091014879,0.0767159498471982,0.1323780593999705,0.5027545055415473,-4.0619112030334845,"[[ 0.00748036 -0.00086833]
 [-0.00086833  0.00019581]]",0.103850753653167,0.014206936297395244,0.07600515851027231,0.13169634879606168,0.018384265965751437,
MXF 10x MIC,E,72.0,71.0,0.013888888888888888,4.7672159279861015,0.09002565465754225,0.008676597097481503,0.07277773235721234,0.10726087155727045,0.34376428077231863,-2.804397657847737,"[[ 4.50592866e-03 -4.64339172e-04]
 [-4.64339172e-04  7.52833372e-05]]",0.08999289945396391,0.008832937693762234,0.07268034157418993,0.10730545733373789,0.00020839434486476626,
MXF 10x MIC,F,58.0,58.0,0.0,5.502729723803208,0.2228372521083392,0.015766485502034286,0.19141670546865555,0.25425779766738954,0.4088398337103776,-5.820472964672951,"[[ 0.00834893 -0.00116576]
 [-0.00116576  0.00024858]]",0.22283725156826706,0.016045560024986034,0.19138795391929442,0.2542865492172397,0.0,
INH 1x MIC,A,67.0,32.0,0.5223880597014925,1.975748123374036,0.005996407964789675,0.02346615534026718,-0.002998203982394838,0.014991019911974188,0.8111687598943094,-4.88378144873311,"[[ 0.02987698 -0.00308211]
 [-0.00308211  0.00055066]]",0.005595861409971203,0.024521835903249696,-0.0424669369603982,0.05365865978034061,0.22230645023301535,
INH 1x MIC,B,70.0,28.0,0.6,1.355391011317444,-0.03380453797917657,0.036933593766216896,-0.08451134494794142,0.016902268989588284,1.2934627703764523,-3.566684586286415,"[[ 0.08983821 -0.00884207]
 [-0.00884207  0.00136409]]",-0.03214757763721833,0.03743607168950434,-0.10552227814864683,0.04122712287421017,0.19665979833468417,
