institute,arm,replicate,time_days,event,regrew,start_log10,last_visit
A,untreated,1,21.0,0,False,3.98677173426624,21.0
A,untreated,2,21.0,0,False,3.92941892571429,21.0
A,untreated,3,21.0,0,False,,21.0
A,MXF 1x MIC,1,21.0,0,False,3.73239375982297,21.0
A,MXF 1x MIC,2,21.0,0,False,3.70757017609794,21.0
A,MXF 1x MIC,3,21.0,0,False,3.55630250076729,21.0
A,MXF 10x MIC,1,7.0,1,True,,21.0
A,MXF 10x MIC,2,14.0,1,True,2.41497334797082,21.0
A,MXF 10x MIC,3,14.0,1,False,2.46239799789896,14.0
A,INH 1x MIC,1,7.0,1,True,2.54406804435028,21.0
A,INH 1x MIC,2,7.0,1,True,2.5910646070265,21.0
A,INH 1x MIC,3,7.0,1,True,2.44715803134222,21.0
A,INH 10x MIC,1,7.0,1,False,2.11394335230684,21.0
A,INH 10x MIC,2,10.0,1,False,2.38021124171161,21.0
A,INH 10x MIC,3,3.0,1,False,2.46239799789896,21.0
B,untreated,1,14.0,0,False,3.60874197210695,14.0
B,untreated,2,2.0,1,True,3.39794000867204,14.0
B,untreated,3,1.0,1,True,3.86332286012046,14.0
B,MXF 1x MIC,1,2.0,1,True,3.70757017609794,14.0
B,MXF 1x MIC,2,14.0,0,False,,14.0
B,MXF 1x MIC,3,14.0,0,False,3.25527250510331,14.0
B,MXF 10x MIC,1,10.0,1,False,2.90308998699194,14.0
B,MXF 10x MIC,2,10.0,1,False,2.95424250943932,14.0
B,MXF 10x MIC,3,10.0,1,False,2.77815125038364,14.0
B,INH 1x MIC,1,3.0,1,False,2.69897000433602,14.0
B,INH 1x MIC,2,3.0,1,True,,14.0
B,INH 1x MIC,3,2.0,1,True,,14.0
B,INH 10x MIC,1,3.0,1,False,,14.0
B,INH 10x MIC,2,7.0,1,True,2.30102999566398,14.0
B,INH 10x MIC,3,7.0,1,True,2.84509804001426,14.0
C,untreated,1,28.0,0,False,4.60953016622443,28.0
C,untreated,2,28.0,0,False,4.678490700496566,28.0
C,untreated,3,1.0,1,True,4.75587485567249,28.0
C,MXF 1x MIC,1,28.0,0,False,4.53777348069627,28.0
C,MXF 1x MIC,2,28.0,0,False,4.57460955632769,28.0
C,MXF 1x MIC,3,7.0,1,True,4.513470813979515,28.0
C,MXF 10x MIC,1,7.0,1,False,3.967249225621785,28.0
C,MXF 10x MIC,2,7.0,1,False,3.47712125471966,28.0
C,MXF 10x MIC,3,7.0,1,False,3.69897000433602,28.0
C,INH 1x MIC,1,7.0,1,True,4.397592294841215,28.0
C,INH 1x MIC,2,3.0,1,True,4.186915572536915,28.0
C,INH 1x MIC,3,3.0,1,True,4.120274624141301,28.0
C,INH 10x MIC,1,2.0,1,False,2.8266062568876698,28.0
C,INH 10x MIC,2,2.0,1,False,2.88907562519182,28.0
C,INH 10x MIC,3,2.0,1,False,2.98656392679985,28.0
D,untreated,1,21.0,0,False,4.56820172406699,21.0
D,untreated,2,21.0,0,False,5.052584713999665,21.0
D,untreated,3,21.0,0,False,4.69897000433602,21.0
D,MXF 1x MIC,1,21.0,0,False,4.79553230351325,21.0
D,MXF 1x MIC,2,21.0,0,False,4.818994890392339,21.0
D,MXF 1x MIC,3,21.0,0,False,4.91381385238372,21.0
D,MXF 10x MIC,1,21.0,0,False,4.65321251377534,21.0
D,MXF 10x MIC,2,21.0,0,False,4.42684910588809,21.0
D,MXF 10x MIC,3,21.0,0,False,4.58187876199098,21.0
