conc_ug_ml,day,log10_killed,cumulative_exposure_ug_d_ml,log10_per_unit_exposure
4,3.0,0.38827260766984484,12.0,0.032356050639153734
4,7.0,1.6321432018342295,28.0,0.05829082863693676
4,14.0,4.488577555263417,56.0,0.08015317062970387
8,3.0,0.5142964989549101,24.0,0.021429020789787923
8,7.0,2.478809868500896,56.0,0.044264461937516
8,14.0,4.7787707467969565,112.0,0.04266759595354425
32,3.0,1.0043352833385786,96.0,0.010461825868110194
32,7.0,2.946443969481117,224.0,0.013153767720897843
32,14.0,4.968345640114821,448.0,0.011090057232399154
128,3.0,1.2273834398136012,384.0,0.003196311041181253
128,7.0,3.3154765351675626,896.0,0.003700308632999512
128,14.0,5.202486533722222,1792.0,0.00290317328890749
