institute,arm,replicate,time,flagged_volume_ul,flagged_limit_log10,best_quantified_log10,contradicted
A,INH 10X MIC,1,2.0,10.0,2.0,2.60205999132796,True
A,INH 10X MIC,1,2.0,2.5,2.6020599913279625,2.60205999132796,False
A,INH 10X MIC,1,3.0,10.0,2.0,1.0,False
A,INH 10X MIC,1,3.0,10.0,2.0,1.0,False
A,INH 10X MIC,1,7.0,100.0,1.0,,False
A,INH 10X MIC,1,7.0,10.0,2.0,2.0,False
A,INH 10X MIC,1,7.0,2.5,2.6020599913279625,2.0,False
A,INH 10X MIC,1,10.0,100.0,1.0,,False
A,INH 10X MIC,1,10.0,10.0,2.0,,False
A,INH 10X MIC,1,10.0,10.0,2.0,,False
A,INH 10X MIC,1,10.0,2.5,2.6020599913279625,,False
A,INH 10X MIC,1,14.0,100.0,1.0,,False
A,INH 10X MIC,1,14.0,10.0,2.0,,False
A,INH 10X MIC,1,14.0,10.0,2.0,,False
A,INH 10X MIC,1,14.0,2.5,2.6020599913279625,,False
A,INH 10X MIC,1,21.0,100.0,1.0,,False
A,INH 10X MIC,1,21.0,10.0,2.0,,False
A,INH 10X MIC,1,21.0,10.0,2.0,,False
A,INH 10X MIC,1,21.0,2.5,2.6020599913279625,,False
A,INH 10X MIC,2,1.0,10.0,2.0,2.38021124171161,True
A,INH 10X MIC,2,2.0,10.0,2.0,1.60205999132796,False
A,INH 10X MIC,2,2.0,10.0,2.0,1.60205999132796,False
A,INH 10X MIC,2,2.0,2.5,2.6020599913279625,1.60205999132796,False
A,INH 10X MIC,2,3.0,10.0,2.0,1.30102999566398,False
A,INH 10X MIC,2,3.0,10.0,2.0,1.30102999566398,False
A,INH 10X MIC,2,7.0,10.0,2.0,1.0,False
A,INH 10X MIC,2,7.0,10.0,2.0,1.0,False
A,INH 10X MIC,2,7.0,2.5,2.6020599913279625,1.0,False
A,INH 10X MIC,2,10.0,100.0,1.0,,False
A,INH 10X MIC,2,10.0,10.0,2.0,,False
A,INH 10X MIC,2,10.0,10.0,2.0,,False
A,INH 10X MIC,2,10.0,2.5,2.6020599913279625,,False
A,INH 10X MIC,2,14.0,100.0,1.0,,False
A,INH 10X MIC,2,14.0,10.0,2.0,,False
A,INH 10X MIC,2,14.0,10.0,2.0,,False
A,INH 10X MIC,2,14.0,2.5,2.6020599913279625,,False
A,INH 10X MIC,2,21.0,100.0,1.0,,False
A,INH 10X MIC,2,21.0,10.0,2.0,,False
A,INH 10X MIC,2,21.0,10.0,2.0,,False
A,INH 10X MIC,2,21.0,2.5,2.6020599913279625,,False
A,INH 10X MIC,3,1.0,10.0,2.0,2.46239799789896,True
A,INH 10X MIC,3,2.0,10.0,2.0,2.69897000433602,True
A,INH 10X MIC,3,3.0,100.0,1.0,,False
A,INH 10X MIC,3,3.0,10.0,2.0,,False
A,INH 10X MIC,3,3.0,10.0,2.0,,False
A,INH 10X MIC,3,7.0,100.0,1.0,,False
A,INH 10X MIC,3,7.0,10.0,2.0,,False
A,INH 10X MIC,3,7.0,10.0,2.0,,False
A,INH 10X MIC,3,7.0,2.5,2.6020599913279625,,False
A,INH 10X MIC,3,10.0,100.0,1.0,,False
A,INH 10X MIC,3,10.0,10.0,2.0,,False
A,INH 10X MIC,3,10.0,10.0,2.0,,False
A,INH 10X MIC,3,10.0,2.5,2.6020599913279625,,False
A,INH 10X MIC,3,14.0,100.0,1.0,,False
A,INH 10X MIC,3,14.0,10.0,2.0,,False
A,INH 10X MIC,3,14.0,10.0,2.0,,False
A,INH 10X MIC,3,14.0,2.5,2.6020599913279625,,False
A,INH 10X MIC,3,21.0,100.0,1.0,,False
A,INH 10X MIC,3,21.0,10.0,2.0,,False
A,INH 10X MIC,3,21.0,10.0,2.0,,False
A,INH 10X MIC,3,21.0,2.5,2.6020599913279625,,False
A,INH 1X MIC,1,2.0,10.0,2.0,2.17609125905568,True
A,INH 1X MIC,1,2.0,10.0,2.0,2.17609125905568,True
A,INH 1X MIC,1,3.0,10.0,2.0,2.04139268515822,True
A,INH 1X MIC,1,3.0,10.0,2.0,2.04139268515822,True
A,INH 1X MIC,1,3.0,2.5,2.6020599913279625,2.04139268515822,False
A,INH 1X MIC,1,7.0,100.0,1.0,,False
A,INH 1X MIC,1,7.0,10.0,2.0,,False
A,INH 1X MIC,1,7.0,10.0,2.0,,False
A,INH 1X MIC,1,7.0,2.5,2.6020599913279625,,False
A,INH 1X MIC,1,14.0,10.0,2.0,3.47712125471966,True
A,INH 1X MIC,1,14.0,2.5,2.6020599913279625,3.47712125471966,True
A,INH 1X MIC,2,2.0,10.0,2.0,2.47712125471966,True
A,INH 1X MIC,2,2.0,2.5,2.6020599913279625,2.47712125471966,False
A,INH 1X MIC,2,3.0,10.0,2.0,1.84509804001426,False
A,INH 1X MIC,2,3.0,10.0,2.0,1.84509804001426,False
A,INH 1X MIC,2,7.0,100.0,1.0,,False
A,INH 1X MIC,2,7.0,10.0,2.0,,False
A,INH 1X MIC,2,7.0,10.0,2.0,,False
A,INH 1X MIC,2,7.0,2.5,2.6020599913279625,,False
A,INH 1X MIC,2,10.0,10.0,2.0,2.0,False
A,INH 1X MIC,2,10.0,2.5,2.6020599913279625,2.0,False
A,INH 1X MIC,2,14.0,10.0,2.0,3.0,True
A,INH 1X MIC,2,14.0,2.5,2.6020599913279625,3.0,True
A,INH 1X MIC,3,2.0,10.0,2.0,2.47712125471966,True
A,INH 1X MIC,3,2.0,2.5,2.6020599913279625,2.47712125471966,False
A,INH 1X MIC,3,3.0,10.0,2.0,1.84509804001426,False
A,INH 1X MIC,3,3.0,10.0,2.0,1.84509804001426,False
A,INH 1X MIC,3,3.0,2.5,2.6020599913279625,1.84509804001426,False
A,INH 1X MIC,3,7.0,100.0,1.0,,False
A,INH 1X MIC,3,7.0,10.0,2.0,,False
A,INH 1X MIC,3,7.0,10.0,2.0,,False
A,INH 1X MIC,3,7.0,2.5,2.6020599913279625,,False
A,INH 1X MIC,3,10.0,10.0,2.0,1.95424250943932,False
A,INH 1X MIC,3,10.0,10.0,2.0,1.95424250943932,False
A,INH 1X MIC,3,10.0,2.5,2.6020599913279625,1.95424250943932,False
A,MXF 10X MIC,1,1.0,2.5,2.6020599913279625,2.60205999132796,False
A,MXF 10X MIC,1,7.0,100.0,1.0,,False
A,MXF 10X MIC,1,10.0,10.0,2.0,1.60205999132796,False
A,MXF 10X MIC,1,10.0,10.0,2.0,1.60205999132796,False
A,MXF 10X MIC,1,10.0,2.5,2.6020599913279625,1.60205999132796,False
A,MXF 10X MIC,1,14.0,100.0,1.0,,False
A,MXF 10X MIC,1,14.0,10.0,2.0,,False
A,MXF 10X MIC,1,14.0,10.0,2.0,,False
A,MXF 10X MIC,1,14.0,2.5,2.6020599913279625,,False
A,MXF 10X MIC,2,1.0,2.5,2.6020599913279625,2.77815125038364,True
A,MXF 10X MIC,2,3.0,10.0,2.0,1.90308998699194,False
A,MXF 10X MIC,2,3.0,10.0,2.0,1.90308998699194,False
A,MXF 10X MIC,2,7.0,10.0,2.0,1.60205999132796,False
A,MXF 10X MIC,2,7.0,10.0,2.0,1.60205999132796,False
A,MXF 10X MIC,2,7.0,2.5,2.6020599913279625,1.60205999132796,False
A,MXF 10X MIC,2,10.0,10.0,2.0,1.30102999566398,False
A,MXF 10X MIC,2,10.0,10.0,2.0,1.30102999566398,False
A,MXF 10X MIC,2,10.0,2.5,2.6020599913279625,1.30102999566398,False
A,MXF 10X MIC,2,14.0,100.0,1.0,,False
A,MXF 10X MIC,2,14.0,10.0,2.0,,False
A,MXF 10X MIC,2,14.0,10.0,2.0,,False
A,MXF 10X MIC,2,14.0,2.5,2.6020599913279625,,False
A,MXF 10X MIC,3,2.0,10.0,2.0,2.0,False
A,MXF 10X MIC,3,2.0,10.0,2.0,2.0,False
A,MXF 10X MIC,3,2.0,2.5,2.6020599913279625,2.0,False
A,MXF 10X MIC,3,3.0,10.0,2.0,2.0,False
A,MXF 10X MIC,3,3.0,10.0,2.0,2.0,False
A,MXF 10X MIC,3,7.0,10.0,2.0,1.69897000433602,False
A,MXF 10X MIC,3,7.0,10.0,2.0,1.69897000433602,False
A,MXF 10X MIC,3,7.0,2.5,2.6020599913279625,1.69897000433602,False
A,MXF 10X MIC,3,10.0,10.0,2.0,1.60205999132796,False
A,MXF 10X MIC,3,10.0,10.0,2.0,1.60205999132796,False
A,MXF 10X MIC,3,10.0,2.5,2.6020599913279625,1.60205999132796,False
A,MXF 10X MIC,3,14.0,100.0,1.0,,False
