institute,arm,replicate,n_points,start_log10,nadir_log10,final_log10,terminal_step_log10,rebound_from_nadir_log10,terminal_step_is_decline,rebounds
A,INH 10X MIC,1,3,2.11394335230684,1.0,1.0,-0.90308998699194,0.0,True,False
A,INH 10X MIC,2,4,2.38021124171161,1.0,1.0,-0.3010299956639799,0.0,True,False
A,INH 1X MIC,1,5,2.54406804435028,2.04139268515822,4.6232492903979,2.32221929473392,2.58185660523968,False,True
A,INH 1X MIC,2,6,2.5910646070265,1.84509804001426,4.79239168949825,2.30102999566398,2.94729364948399,False,True
A,INH 1X MIC,3,5,2.44715803134222,1.84509804001426,4.8750612633917,2.92081875395238,3.02996322337744,False,True
A,MXF 10X MIC,1,4,2.07918124604762,1.60205999132796,3.75587485567249,2.15381486434453,2.15381486434453,False,True
A,MXF 10X MIC,2,6,2.41497334797082,1.30102999566398,3.95424250943932,2.65321251377534,2.65321251377534,False,True
A,MXF 10X MIC,3,5,2.46239799789896,1.60205999132796,1.60205999132796,-0.09691001300806001,0.0,True,False
A,MXF 1X MIC,1,7,3.73239375982297,3.73239375982297,6.69019608002851,0.19883438619423988,2.9578023202055403,False,True
A,MXF 1X MIC,2,7,3.70757017609794,3.70757017609794,6.60205999132796,0.13966199342899976,2.89448981523002,False,True
A,MXF 1X MIC,3,7,3.55630250076729,3.55630250076729,6.68124123737559,0.4507923159973206,3.1249387366083003,False,True
B,INH 10X MIC,2,4,2.30102999566398,2.0,2.0,-0.3010299956639799,0.0,True,False
B,INH 10X MIC,3,4,2.84509804001426,2.0,2.0,0.0,0.0,False,False
B,MXF 10X MIC,1,4,2.90308998699194,2.0,2.0,-0.47712125471965994,0.0,True,False
B,MXF 10X MIC,2,4,2.95424250943932,2.30102999566398,2.30102999566398,-0.17609125905568002,0.0,True,False
B,MXF 10X MIC,3,3,2.77815125038364,2.0,2.0,0.0,0.0,False,False
B,MXF 1X MIC,1,5,3.70757017609794,3.17609125905568,4.39794000867204,0.19382002601610981,1.2218487496163601,False,True
