culture_age_days,usable,start_log10,headroom_log10,day5_at_floor,recorded_class,observability,deep_endpoint_reachable,inh
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,6.361727836017593,5.0,False,Medium,measured,True,IR
15,True,4.361727836017593,3.0,False,High,measured,False,IR
15,True,4.361727836017593,3.0,False,Medium,measured,False,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,True,Low,single compatible class,True,IR
15,True,6.361727836017593,5.0,False,Low,measured,True,IR
15,True,5.361727836017593,4.0,False,High,measured,True,IR
15,True,5.361727836017593,4.0,False,High,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,4.361727836017593,3.0,False,High,measured,False,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,4.361727836017593,3.0,False,Medium,measured,False,IR
15,True,5.361727836017593,4.0,False,High,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,False,High,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.785329835010767,4.423601998993174,False,Medium,measured,True,IR
15,True,7.361727836017593,6.0,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,4.361727836017593,3.0,False,Medium,measured,False,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.785329835010767,4.423601998993174,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.785329835010767,4.423601998993174,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,4.361727836017593,3.0,False,Medium,measured,False,IR
15,True,4.361727836017593,3.0,False,Medium,measured,False,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,4.361727836017593,3.0,False,Medium,measured,False,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,6.785329835010767,5.423601998993174,False,Medium,measured,True,IR
15,True,6.361727836017593,5.0,False,Medium,measured,True,IR
15,True,6.785329835010767,5.423601998993174,False,Medium,measured,True,IR
15,True,4.361727836017593,3.0,True,Medium,multiple compatible classes,False,IR
15,True,5.361727836017593,4.0,False,High,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,4.361727836017593,3.0,False,High,measured,False,IR
15,True,5.785329835010767,4.423601998993174,False,Low,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,4.361727836017593,3.0,True,Medium,multiple compatible classes,False,IR
15,True,4.361727836017593,3.0,True,Medium,multiple compatible classes,False,IR
15,True,5.785329835010767,4.423601998993174,False,Low,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.785329835010767,4.423601998993174,False,High,measured,True,IR
15,True,5.785329835010767,4.423601998993174,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,4.361727836017593,3.0,False,Medium,measured,False,IR
15,True,5.361727836017593,4.0,False,High,measured,True,IR
15,True,5.361727836017593,4.0,False,High,measured,True,IR
15,True,5.785329835010767,4.423601998993174,False,High,measured,True,IR
15,True,5.785329835010767,4.423601998993174,False,Medium,measured,True,IR
15,True,5.785329835010767,4.423601998993174,True,Low,single compatible class,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,4.361727836017593,3.0,False,High,measured,False,IR
15,True,4.361727836017593,3.0,False,Medium,measured,False,IR
15,True,4.361727836017593,3.0,False,Medium,measured,False,IR
15,True,4.361727836017593,3.0,True,Medium,multiple compatible classes,False,IR
15,True,4.361727836017593,3.0,False,High,measured,False,IR
15,True,5.361727836017593,4.0,False,High,measured,True,IR
15,True,5.785329835010767,4.423601998993174,False,Low,measured,True,IR
15,True,5.361727836017593,4.0,False,High,measured,True,IR
15,True,5.361727836017593,4.0,False,High,measured,True,IR
15,True,3.785329835010767,2.423601998993174,False,High,measured,False,IR
15,True,3.361727836017593,2.0,False,High,measured,False,IR
15,True,4.361727836017593,3.0,False,High,measured,False,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
15,True,5.361727836017593,4.0,True,Low,single compatible class,True,IR
15,True,5.361727836017593,4.0,False,Medium,measured,True,IR
