group,what_varies,n,median_log10,min_log10,max_log10,range_log10,kill_depth_range_log10
"ERA4TB, all institutes pooled","LABORATORIES, one written protocol",56,4.1569061025591205,3.2875131115479377,5.972060831353569,2.6845477198056313,2.6845477198056313
"ERA4TB, institute A",flasks within one laboratory,9,3.2875131115479377,3.2875131115479377,3.2875131115479377,0.0,0.0
"ERA4TB, institute B",flasks within one laboratory,12,3.6297519821467574,3.6297519821467574,3.6297519821467574,0.0,0.0
"ERA4TB, institute C",flasks within one laboratory,12,4.1569061025591205,4.1569061025591205,4.1569061025591205,0.0,0.0
"ERA4TB, institute D",flasks within one laboratory,11,4.6954600970685645,4.6954600970685645,4.6954600970685645,0.0,0.0
"ERA4TB, institute F",flasks within one laboratory,12,5.972060831353569,5.972060831353569,5.972060831353569,0.0,0.0
"Vijay, 15-day culture",clinical isolates,217,5.785329835010767,3.361727836017593,7.785329835010767,4.423601998993174,4.423601998993174
"Vijay, 30-day culture",clinical isolates,217,7.361727836017593,3.361727836017593,8.792391689498254,5.430663853480661,5.430663853480661
"Vijay, 60-day culture",clinical isolates,210,7.361727836017593,3.361727836017593,8.792391689498254,5.430663853480661,5.430663853480661
"Kaur, planktonic",replicates of ONE preparation,3,7.033423755486949,6.963787827345556,7.049218022670182,0.08543019532462637,0.08543019532462637
"Kaur, intracellular",replicates of ONE preparation,3,5.944482672150168,5.924279286061882,5.982271233039568,0.05799194697768595,0.05799194697768595
"Dubey, hollow fibre",cultures within one laboratory,20,6.084576277934331,5.845098040014257,6.447158031342219,0.6020599913279625,0.6020599913279625
