dataset,scenario,floor_per_ml,metric,value
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_short_of_4_logs_15d,28.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,pct_short_of_4_logs_15d,12.903225806451612
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_calls_15d,203.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_at_floor_15d,0.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_determinable_15d,203.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_forced_by_inoculum_15d,0.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_undecidable_15d,0.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_at_floor_whose_bound_sits_exactly_on_a_class_cut_15d,0.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_short_of_4_logs_60d,3.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,pct_short_of_4_logs_60d,1.4285714285714286
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_calls_60d,197.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_at_floor_60d,0.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_determinable_60d,197.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_forced_by_inoculum_60d,0.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_undecidable_60d,0.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_at_floor_whose_bound_sits_exactly_on_a_class_cut_60d,0.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_short_of_4_logs_15d_baseline_only,17.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_baseline_only,174.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_mpn_rungs_between_this_floor_and_23,10.0
"Vijay 2024, clinical isolates",floor = 3 MPN/mL,3.0,n_readings_on_those_rungs,0.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_short_of_4_logs_15d,28.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,pct_short_of_4_logs_15d,12.903225806451612
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_calls_15d,203.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_at_floor_15d,0.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_determinable_15d,203.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_forced_by_inoculum_15d,0.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_undecidable_15d,0.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_at_floor_whose_bound_sits_exactly_on_a_class_cut_15d,0.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_short_of_4_logs_60d,3.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,pct_short_of_4_logs_60d,1.4285714285714286
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_calls_60d,197.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_at_floor_60d,0.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_determinable_60d,197.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_forced_by_inoculum_60d,0.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_undecidable_60d,0.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_at_floor_whose_bound_sits_exactly_on_a_class_cut_60d,0.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_short_of_4_logs_15d_baseline_only,17.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_baseline_only,174.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_mpn_rungs_between_this_floor_and_23,9.0
"Vijay 2024, clinical isolates",floor = 3.6 MPN/mL,3.6,n_readings_on_those_rungs,0.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_short_of_4_logs_15d,33.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,pct_short_of_4_logs_15d,15.2073732718894
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_calls_15d,203.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_at_floor_15d,0.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_determinable_15d,203.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_forced_by_inoculum_15d,0.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_undecidable_15d,0.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_at_floor_whose_bound_sits_exactly_on_a_class_cut_15d,0.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_short_of_4_logs_60d,7.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,pct_short_of_4_logs_60d,3.3333333333333335
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_calls_60d,197.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_at_floor_60d,0.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_determinable_60d,197.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_forced_by_inoculum_60d,0.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_undecidable_60d,0.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_at_floor_whose_bound_sits_exactly_on_a_class_cut_60d,0.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_short_of_4_logs_15d_baseline_only,21.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_baseline_only,174.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_mpn_rungs_between_this_floor_and_23,8.0
"Vijay 2024, clinical isolates",floor = 7.2 MPN/mL,7.2,n_readings_on_those_rungs,0.0
"Vijay 2024, clinical isolates",floor = 7.4 MPN/mL,7.4,n_short_of_4_logs_15d,33.0
"Vijay 2024, clinical isolates",floor = 7.4 MPN/mL,7.4,pct_short_of_4_logs_15d,15.2073732718894
"Vijay 2024, clinical isolates",floor = 7.4 MPN/mL,7.4,n_calls_15d,203.0
"Vijay 2024, clinical isolates",floor = 7.4 MPN/mL,7.4,n_at_floor_15d,0.0
"Vijay 2024, clinical isolates",floor = 7.4 MPN/mL,7.4,n_determinable_15d,203.0
