predictor,culture_age_days,endpoint_depth,adjusted_for_N0,in_bh_family,n_linear,beta_linear,p_linear,survives_bh_linear,n_ordinal,model_used,cut,odds_ratio,ci_low,ci_high,p_ordinal,proportional_odds_p,survives_bh_ordinal,p_ordinal_baseline_only,or_ordinal_baseline_only,n_ordinal_baseline_only,survives_bh_ordinal_baseline_only,same_direction,agreement
growth,15,D5,True,True,202,0.0265546430894651,0.0024620797245331,True,202,proportional odds,both (proportional),1.0959457375263557,1.0315500145630665,1.1643614392375694,0.0030233598905069665,0.152384912093151,True,0.002370031305592258,1.1159223906937485,167,True,True,agree: survives correction in both
resistance,15,D5,False,True,202,0.2588842766022072,0.0034652840068976,True,202,proportional odds,both (proportional),2.317482794104578,1.3043174112968738,4.1176529995338225,0.004158499623553276,0.4165864026902819,True,0.031083008396579733,2.1100384667804035,167,False,True,agree: survives correction in both; lost in baseline isolates only
growth,60,D2,True,True,196,-0.0194928317566249,0.0590396658051031,False,196,proportional odds,both (proportional),0.933356139607851,0.8719410533477981,0.9990969917047662,0.047035736066177045,0.6876823552023222,False,0.031643716344625816,0.9208128318670951,161,False,True,agree: survives in neither
growth,15,D2,True,True,202,0.0115947392892126,0.0811963574244833,False,202,proportional odds,both (proportional),1.0678968283792512,0.9967699820805931,1.1440990966462081,0.061766561648596306,0.2427194975609987,False,0.10763135414502718,1.067212671520555,167,False,True,agree: survives in neither
resistance,15,D2,False,True,202,0.0515338665586717,0.4446260231829673,False,202,proportional odds,both (proportional),1.29517348648077,0.6591547747591954,2.5448869132375984,0.4529399757923298,0.4790822061113834,False,0.875784385888982,1.0670876526308166,167,False,True,agree: survives in neither
growth,60,D5,True,True,196,-0.0041279250699666,0.6998776714646602,False,196,partial proportional odds (released: start_density),both (proportional),0.9758470046440404,0.9145023721305507,1.0413066225888392,0.4604607344284315,0.8750670691213077,False,0.703050275603977,0.9855531037592594,161,False,True,agree: survives in neither
resistance,60,D2,False,True,196,-0.0550687006383208,0.5486497034687539,False,196,proportional odds,both (proportional),0.8361785576795431,0.47180200563666447,1.4819661043609296,0.5400451481374909,0.07537657593098088,False,0.7738673311811325,1.1093897639338546,161,False,True,agree: survives in neither
resistance,60,D5,False,True,196,0.0389483933787731,0.6797443931773826,False,196,proportional odds,both (proportional),1.110746573374016,0.6320647251416733,1.9519487501625399,0.7150131797607038,0.06662643010011117,False,0.18643006877064106,1.6088445496741899,161,False,True,agree: survives in neither
resistance,15,D2,True,False,202,-0.1318175252218321,0.0782447770904968,,202,proportional odds,both (proportional),0.4552986690928586,0.2008482406655474,1.032107014683386,0.05952701323384948,0.8964479487061859,,0.040307676486269234,0.35775344311928386,167,,True,agree: neither significant
resistance,60,D2,True,False,196,-0.1072055922747188,0.2432301667264265,,196,proportional odds,both (proportional),0.7153434633962905,0.39847336424475976,1.2841919097746306,0.2618143662037653,0.0988505327585667,,0.17609862638840668,0.5450538282310845,161,,True,agree: neither significant
resistance,15,D5,True,False,202,0.0887097737243998,0.3739741086569761,,202,proportional odds,both (proportional),1.3137322457033966,0.6721669662374559,2.5676543181849625,0.4248156956357104,0.3328229113233135,,0.6808007051837067,1.1766245416496,167,,True,agree: neither significant
resistance,60,D5,True,False,196,-0.0039678145437736,0.9666933912275462,,196,partial proportional odds (released: start_density),both (proportional),0.9716208422467425,0.5434446971807584,1.7371538741397714,0.9226347958677644,0.17891892027857004,,,1.36854382045808,161,,True,agree: neither significant
