predictor,culture_age_days,endpoint_depth,analysis_sample,se_type,adjusted_for_N0,model_terms,model_used,cut,n,n_Low,n_Medium,n_High,odds_ratio,ci_low,ci_high,p,proportional_odds_p,brant_omnibus_p,lr_nonproportionality_p,ppo_vs_po_lr_p,in_bh_family,survives_bh,beta,unit
growth,15,D2,all IS/IR,cluster: maximal dependence,False,growth,proportional odds,both (proportional),202,28,157,17,1.110910285092272,1.0663043497608244,1.1573821881160014,4.895891257332383e-07,0.11696497215454356,0.11696497215454356,0.17675147708240696,,False,False,0.10517975590481125,per day of Time_to_0.4 (larger = slower)
start_density,15,D2,all IS/IR,cluster: maximal dependence,True,resistance + start_density,proportional odds,both (proportional),202,28,157,17,0.30108882645212776,0.18599365122868405,0.4874063217505067,1.038947378113536e-06,0.25521279509411976,0.3852065163288374,0.4651800340359118,,False,False,-1.2003499532759085,per log10 starting MPN per mL
start_density,15,D2,all IS/IR,cluster: maximal dependence,False,start_density,proportional odds,both (proportional),202,28,157,17,0.3876738120170075,0.25450628018797355,0.5905197483252513,1.0185552015541637e-05,0.15291925119146246,0.1529192511914624,0.19177209944453147,,False,False,-0.947590983615268,per log10 starting MPN per mL
start_density,15,D2,all IS/IR,cluster: maximal dependence,True,resistance + growth + start_density,proportional odds,both (proportional),202,28,157,17,0.3450385802876893,0.1942919387853324,0.612746069812402,0.00028169159746129743,0.6127848323091856,0.42576145758244854,0.6121260246608282,,False,False,-1.0640990412821028,per log10 starting MPN per mL
start_density,15,D2,all IS/IR,cluster: maximal dependence,True,growth + start_density,proportional odds,both (proportional),202,28,157,17,0.4425875113879657,0.266830508826396,0.7341128497567632,0.0015931431318917195,0.4504207274658636,0.2512041836815925,0.39628271514375296,,False,False,-0.8151170682387303,per log10 starting MPN per mL
resistance,15,D2,all IS/IR,cluster: maximal dependence,True,resistance + start_density,proportional odds,both (proportional),202,28,157,17,0.4552986690928586,0.24875385294640093,0.8333413759118525,0.010738906348891245,0.8964479487061859,0.3852065163288374,0.4651800340359118,,False,False,-0.7868016597889662,isoniazid resistant vs susceptible
resistance,15,D2,all IS/IR,cluster: maximal dependence,True,resistance + growth + start_density,proportional odds,both (proportional),202,28,157,17,0.47514454167080006,0.25243208093544056,0.8943488269911828,0.021111637114330326,0.8141656686605435,0.42576145758244854,0.6121260246608282,,False,False,-0.7441362229825035,isoniazid resistant vs susceptible
growth,15,D2,all IS/IR,cluster: maximal dependence,True,growth + start_density,proportional odds,both (proportional),202,28,157,17,1.0678968283792512,1.0043471505643462,1.135467587498672,0.03585792714884458,0.2427194975609987,0.2512041836815925,0.39628271514375296,,True,False,0.06569113323051674,per day of Time_to_0.4 (larger = slower)
growth,15,D2,all IS/IR,cluster: maximal dependence,True,resistance + growth + start_density,proportional odds,both (proportional),202,28,157,17,1.0637153785412128,0.9999579404237919,1.1315379985537581,0.05015610236375082,0.22717128849182436,0.42576145758244854,0.6121260246608282,,False,False,0.06176785376353846,per day of Time_to_0.4 (larger = slower)
resistance,15,D2,all IS/IR,cluster: maximal dependence,False,resistance,proportional odds,both (proportional),202,28,157,17,1.29517348648077,0.8581966550215382,1.9546503126846302,0.21805431222599514,0.4790822061113834,0.4790822061113834,0.48003884340399505,,True,False,0.25864465257322194,isoniazid resistant vs susceptible
start_density,15,D5,all IS/IR,cluster: maximal dependence,False,start_density,proportional odds,both (proportional),202,33,123,46,0.47966172000384805,0.3756362861687727,0.6124950493565403,3.855559492422651e-09,0.8581105259676758,0.8581105259676758,0.9270696673177025,,False,False,-0.7346741735251976,per log10 starting MPN per mL
growth,15,D5,all IS/IR,cluster: maximal dependence,False,growth,proportional odds,both (proportional),202,33,123,46,1.1255510831826316,1.066268560865479,1.1881296020069223,1.83354582847979e-05,0.18420697327233235,0.18420697327233235,0.18977214951330593,,False,False,0.11827276743609186,per day of Time_to_0.4 (larger = slower)
start_density,15,D5,all IS/IR,cluster: maximal dependence,True,growth + start_density,proportional odds,both (proportional),202,33,123,46,0.5626754165524175,0.4280236619846387,0.739687200759941,3.779050100203222e-05,0.8884715622392396,0.35809345477835103,0.34378480752349655,,False,False,-0.5750523418704381,per log10 starting MPN per mL
resistance,15,D5,all IS/IR,cluster: maximal dependence,False,resistance,proportional odds,both (proportional),202,33,123,46,2.317482794104578,1.5480966759658887,3.469244902047127,4.445546927004976e-05,0.4165864026902819,0.4165864026902819,0.4081107811725887,,True,True,0.8404815940957185,isoniazid resistant vs susceptible
start_density,15,D5,all IS/IR,cluster: maximal dependence,True,resistance + start_density,proportional odds,both (proportional),202,33,123,46,0.5210599217497578,0.3806194365534788,0.713319962092152,4.737639180274385e-05,0.5482227042856586,0.6147392484368707,0.6270544180462647,,False,False,-0.6518902308868637,per log10 starting MPN per mL
