model,analysis_role,duration_variable,term,coef,hazard_ratio_of_first_crossing,naive_model_ci_low,naive_model_ci_high,naive_model_p,lab_cluster_boot_ci_low,lab_cluster_boot_ci_high,lab_cluster_boot_replicates,flask_cluster_boot_ci_low,flask_cluster_boot_ci_high,flask_cluster_boot_replicates,concordance,n_series,n_treated_series_before_exclusions,n_series_dropped_total,n_series_dropped_no_early_quantified_reading,n_series_dropped_already_below_at_day_zero,n_series_start_from_a_day_zero_reading,n_flasks,n_laboratories,note
descriptive Cox: laboratory + plating format,descriptive only,"naive pinned time: the visit at which the crossing was noticed, the late end of the interval",institute_B,0.24859304757389616,1.282220124290613,-0.259528056535226,0.7567141516830183,0.3376041210106135,-0.17777136210577757,0.5056864869370964,161,-0.5076468682182192,1.1409993683618955,400,0.8420929251254161,261,288,27,26,1,92,72,6,
descriptive Cox: laboratory + plating format,descriptive only,"naive pinned time: the visit at which the crossing was noticed, the late end of the interval",institute_C,0.9037262487666383,2.4687853011538907,0.4702961878714454,1.3371563096618313,4.375313550334953e-05,0.45934769522999724,1.026307566151679,171,0.2556731889239388,1.7284023114586016,400,0.8420929251254161,261,288,27,26,1,92,72,6,
descriptive Cox: laboratory + plating format,descriptive only,"naive pinned time: the visit at which the crossing was noticed, the late end of the interval",institute_D,-1.2894280502222661,0.27542826918573277,-1.8577867114669822,-0.7210693889775501,8.72290988427527e-06,-1.6282596379703882,-0.9720859094053848,162,-1.8344242948933676,-0.7177463477555655,400,0.8420929251254161,261,288,27,26,1,92,72,6,
descriptive Cox: laboratory + plating format,descriptive only,"naive pinned time: the visit at which the crossing was noticed, the late end of the interval",institute_E,-1.7018523208905878,0.1823454487533993,-2.3202949567312685,-1.083409685049907,6.906088972311444e-08,-1.998427501571752,-1.5346247770957673,173,-2.162284270966858,-1.2538029596067013,400,0.8420929251254161,261,288,27,26,1,92,72,6,
descriptive Cox: laboratory + plating format,descriptive only,"naive pinned time: the visit at which the crossing was noticed, the late end of the interval",institute_F,-1.1231268860241237,0.3252611483187023,-1.6819873328134114,-0.564266439234836,8.18357228803242e-05,-1.4860554474645606,-0.8320331943549717,177,-1.625919379831296,-0.6009828561311236,400,0.8420929251254161,261,288,27,26,1,92,72,6,
descriptive Cox: laboratory + plating format,descriptive only,"naive pinned time: the visit at which the crossing was noticed, the late end of the interval",plating_format_10 uL single drop,0.1262240182984712,1.134536296707996,-0.30784381764120416,0.5602918542381465,0.5687083096269039,-0.2706294465017673,0.6244140902283694,269,-0.09871996301379218,0.3998869005294028,400,0.8420929251254161,261,288,27,26,1,92,72,6,
descriptive Cox: laboratory + plating format,descriptive only,"naive pinned time: the visit at which the crossing was noticed, the late end of the interval",plating_format_100 uL quadruplicate,-0.20784471519635542,0.812333169915185,-0.6439005342636864,0.22821110387097557,0.35018619348651636,-0.38392781186193475,-0.04848930913565077,269,-0.3870582647049448,-0.05093372578418078,400,0.8420929251254161,261,288,27,26,1,92,72,6,
descriptive Cox: laboratory + plating format,descriptive only,"naive pinned time: the visit at which the crossing was noticed, the late end of the interval",plating_format_2.5 uL single drop,0.1187224592306031,1.1260573480920983,-0.3156096999109037,0.5530546183721099,0.5921272590826733,-0.0811575643349365,0.41351552366533384,269,-0.08465677151884578,0.3799445405289667,400,0.8420929251254161,261,288,27,26,1,92,72,6,
descriptive Cox: laboratory + plating format + starting density,descriptive only,"naive pinned time: the visit at which the crossing was noticed, the late end of the interval",institute_B,0.011698368399713232,1.0117670619173418,-0.480793809840822,0.5041905466402484,0.9628665567830907,-0.2068330313325283,0.23019798176681933,175,-0.7197197722433591,0.6695539655296457,400,0.8782877772047447,261,288,27,26,1,92,72,6,
descriptive Cox: laboratory + plating format + starting density,descriptive only,"naive pinned time: the visit at which the crossing was noticed, the late end of the interval",institute_C,1.2489982813928024,3.4868483665664307,0.8144547510735161,1.6835418117120888,1.765044840540352e-08,1.011682423672889,1.4989351108234634,170,0.6208538658496721,1.8135988724089809,400,0.8782877772047447,261,288,27,26,1,92,72,6,
