institute,arm,replicate,plating,plated_volume_ul,boundary_log10,n_rows,n_visits_observed,n_visits_not_observed,last_visit_day,start_log10,start_uses_day_zero,start_n_early_readings,day_zero_log10,day_one_log10,ever_crossed_below,first_observed_visit_below,n_crossings_below,n_returns_above,oscillates_more_than_once,terminal_state,returned_under_loose_rule,first_crossing_day,last_day_above_before_crossing,returned_above,day_of_first_return,days_below_before_return,longest_run_below_days,trajectory_class
A,INH 10X MIC,1,100 uL quadruplicate,100.0,1.0,7,7,0,21.0,2.11394335230684,False,1,,2.11394335230684,True,False,1,0,False,below,False,7.0,3.0,False,,,14.0,"one crossing, no return"
A,INH 10X MIC,1,10 uL four drops,10.0,2.0,7,7,0,21.0,2.0,False,1,,2.0,True,False,1,0,False,below,False,2.0,1.0,False,,,19.0,"one crossing, no return"
A,INH 10X MIC,1,10 uL single drop,10.0,2.0,7,7,0,21.0,2.30102999566398,False,1,,2.30102999566398,True,False,2,1,False,below,True,3.0,2.0,True,7.0,4.0,11.0,crosses repeatedly
A,INH 10X MIC,1,2.5 uL single drop,2.5,2.6020599913279625,7,7,0,21.0,2.90308998699194,False,1,,2.90308998699194,True,False,2,1,False,below,True,2.0,1.0,True,3.0,1.0,14.0,crosses repeatedly
A,INH 10X MIC,2,100 uL quadruplicate,100.0,1.0,7,7,0,21.0,2.38021124171161,False,1,,2.38021124171161,True,False,1,0,False,below,False,10.0,7.0,False,,,11.0,"one crossing, no return"
A,INH 10X MIC,2,10 uL four drops,10.0,2.0,7,7,0,21.0,2.0,False,1,,2.0,True,False,1,0,False,below,False,2.0,1.0,False,,,19.0,"one crossing, no return"
A,INH 10X MIC,2,10 uL single drop,10.0,2.0,7,7,0,21.0,,False,0,,,True,True,0,0,False,below,False,1.0,,False,,,20.0,"one crossing, no return"
A,INH 10X MIC,2,2.5 uL single drop,2.5,2.6020599913279625,7,7,0,21.0,3.30102999566398,False,1,,3.30102999566398,True,False,2,1,False,below,True,2.0,1.0,True,3.0,1.0,14.0,crosses repeatedly
A,INH 10X MIC,3,100 uL quadruplicate,100.0,1.0,7,7,0,21.0,2.46239799789896,False,1,,2.46239799789896,True,False,1,0,False,below,False,3.0,2.0,False,,,18.0,"one crossing, no return"
A,INH 10X MIC,3,10 uL four drops,10.0,2.0,7,7,0,21.0,2.0,False,1,,2.0,True,False,1,0,False,below,False,2.0,1.0,False,,,19.0,"one crossing, no return"
