stratum_kind,stratum,n_series,n_visit_pairs,n_visits_not_observed,above_to_above,above_to_below,below_to_below,below_to_above,p_above_to_below,p_below_to_above,n_never_below,n_one_crossing_no_return,n_one_crossing_returns,n_crosses_repeatedly
overall,all series,360,2232,132,1660,144,333,95,0.07982261640798226,0.2219626168224299,220,56,65,19
arm,INH 10X MIC,72,441,24,234,37,159,11,0.13653136531365315,0.06470588235294118,34,27,6,5
arm,INH 1X MIC,72,440,25,267,47,79,47,0.14968152866242038,0.373015873015873,30,2,33,7
arm,MXF 10X MIC,72,433,32,274,45,94,20,0.14106583072100312,0.17543859649122806,30,26,9,7
arm,MXF 1X MIC,72,441,24,418,10,1,12,0.02336448598130841,0.9230769230769231,59,1,12,0
arm,untreated,72,477,27,467,5,0,5,0.01059322033898305,1.0,67,0,5,0
institute,A,60,362,10,203,42,86,31,0.17142857142857143,0.26495726495726496,24,10,17,9
institute,B,60,312,60,160,39,87,26,0.19597989949748743,0.23008849557522124,21,17,13,9
institute,C,60,476,4,250,46,158,22,0.1554054054054054,0.12222222222222222,16,24,19,1
institute,D,60,369,39,352,8,2,7,0.022222222222222223,0.7777777777777778,51,2,7,0
institute,E,60,351,9,349,1,0,1,0.002857142857142857,1.0,59,0,1,0
institute,F,60,362,10,346,8,0,8,0.022598870056497175,1.0,49,3,8,0
plating,10 uL four drops,90,557,37,429,31,79,18,0.06739130434782609,0.18556701030927836,60,12,17,1
plating,10 uL single drop,90,568,26,404,35,102,27,0.07972665148063782,0.20930232558139536,52,14,20,4
plating,100 uL quadruplicate,90,545,37,433,37,56,19,0.07872340425531915,0.25333333333333335,58,15,13,4
plating,2.5 uL single drop,90,562,32,394,41,96,31,0.09425287356321839,0.2440944881889764,50,15,15,10
