stratum,path,estimate,se_analytic,p_analytic,boot_ci_low,boot_ci_high
all_IS_IR,a (X→M),-0.8498503338923304,0.10296575813094919,2.009256701401058e-14,,
all_IS_IR,b (M→Y|X),-0.194748708434161,0.05814526456162065,0.0009680620558184669,,
all_IS_IR,c' ADE (X→Y|M),0.09079526612053111,0.09821623343094471,0.3563699636525096,-0.11586167733333236,0.2873838251716774
all_IS_IR,c total (X→Y),0.2563025210084025,0.08701072135328823,0.0036031345089847433,0.08651441594316411,0.4250781561307343
all_IS_IR,ACME = a·b,0.16550725488787185,,,0.0670303491673109,0.2789305646408524
baseline_0M,a (X→M),-0.8175014664888893,0.1256502770426564,8.713859096950782e-10,,
baseline_0M,b (M→Y|X),-0.1940667084779954,0.06146915589007353,0.0018946230738052996,,
baseline_0M,c' ADE (X→Y|M),0.06704045733301117,0.11147995915541405,0.5484203552284652,-0.15671188259881233,0.29369760533550854
baseline_0M,c total (X→Y),0.22569027611044415,0.10216436291745733,0.02853762430312589,0.03787695621593101,0.40949983846115606
baseline_0M,ACME = a·b,0.158649818777433,,,0.052947326531199435,0.29472898840697476
