arm,conc_xmic,flask,time_h,volume_ul,dilution,colonies,floor,cfu,at_floor
LOW,10,1,0.0,100.0,100.0,89.0,10.0,89000.0,False
LOW,10,1,0.0,100.0,100.0,67.0,10.0,67000.0,False
LOW,10,1,0.0,10.0,10.0,62.0,100.0,62000.0,False
LOW,10,1,0.0,10.0,10.0,54.0,100.0,54000.0,False
LOW,10,1,1.0,100.0,1.0,87.0,10.0,870.0,False
LOW,10,1,1.0,100.0,1.0,98.0,10.0,980.0,False
LOW,10,1,1.0,10.0,1.0,5.0,100.0,500.0,False
LOW,10,1,1.0,10.0,1.0,5.0,100.0,500.0,False
LOW,10,1,2.0,100.0,1.0,10.0,10.0,100.0,False
LOW,10,1,2.0,100.0,1.0,13.0,10.0,130.0,False
LOW,10,1,2.0,10.0,1.0,2.0,100.0,200.0,False
LOW,10,1,2.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,1,4.0,100.0,1.0,3.0,10.0,30.0,False
LOW,10,1,4.0,100.0,1.0,0.0,10.0,0.0,True
LOW,10,1,4.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,1,4.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,1,6.0,100.0,1.0,0.0,10.0,0.0,True
LOW,10,1,6.0,100.0,1.0,0.0,10.0,0.0,True
LOW,10,1,6.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,1,6.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,1,24.0,100.0,1.0,0.0,10.0,0.0,True
LOW,10,1,24.0,100.0,1.0,0.0,10.0,0.0,True
LOW,10,1,24.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,1,24.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,2,0.0,100.0,100.0,73.0,10.0,73000.0,False
LOW,10,2,0.0,100.0,100.0,57.0,10.0,57000.0,False
LOW,10,2,0.0,10.0,10.0,45.0,100.0,45000.0,False
LOW,10,2,0.0,10.0,10.0,40.0,100.0,40000.0,False
LOW,10,2,1.0,100.0,10.0,24.0,10.0,2400.0,False
LOW,10,2,1.0,100.0,10.0,35.0,10.0,3500.0,False
LOW,10,2,1.0,10.0,1.0,27.0,100.0,2700.0,False
LOW,10,2,1.0,10.0,1.0,22.0,100.0,2200.0,False
LOW,10,2,2.0,100.0,1.0,14.0,10.0,140.0,False
LOW,10,2,2.0,100.0,1.0,33.0,10.0,330.0,False
LOW,10,2,2.0,10.0,1.0,1.0,100.0,100.0,False
LOW,10,2,2.0,10.0,1.0,2.0,100.0,200.0,False
LOW,10,2,4.0,100.0,1.0,2.0,10.0,20.0,False
LOW,10,2,4.0,100.0,1.0,5.0,10.0,50.0,False
LOW,10,2,4.0,10.0,1.0,3.0,100.0,300.0,False
LOW,10,2,4.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,2,6.0,100.0,1.0,0.0,10.0,0.0,True
LOW,10,2,6.0,100.0,1.0,2.0,10.0,20.0,False
LOW,10,2,6.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,2,6.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,2,24.0,100.0,1.0,0.0,10.0,0.0,True
LOW,10,2,24.0,100.0,1.0,0.0,10.0,0.0,True
LOW,10,2,24.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,2,24.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,3,0.0,100.0,100.0,48.0,10.0,48000.0,False
LOW,10,3,0.0,100.0,100.0,52.0,10.0,52000.0,False
LOW,10,3,0.0,10.0,10.0,53.0,100.0,53000.0,False
LOW,10,3,0.0,10.0,10.0,38.0,100.0,38000.0,False
LOW,10,3,1.0,100.0,1.0,14.0,10.0,140.0,False
LOW,10,3,1.0,100.0,1.0,19.0,10.0,190.0,False
LOW,10,3,1.0,10.0,1.0,3.0,100.0,300.0,False
LOW,10,3,1.0,10.0,1.0,3.0,100.0,300.0,False
LOW,10,3,2.0,100.0,1.0,8.0,10.0,80.0,False
LOW,10,3,2.0,100.0,1.0,4.0,10.0,40.0,False
LOW,10,3,2.0,10.0,1.0,1.0,100.0,100.0,False
LOW,10,3,2.0,10.0,1.0,1.0,100.0,100.0,False
LOW,10,3,4.0,100.0,1.0,3.0,10.0,30.0,False
LOW,10,3,4.0,100.0,1.0,2.0,10.0,20.0,False
LOW,10,3,4.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,3,4.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,3,6.0,100.0,1.0,1.0,10.0,10.0,False
LOW,10,3,6.0,100.0,1.0,0.0,10.0,0.0,True
LOW,10,3,6.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,3,6.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,3,24.0,100.0,1.0,0.0,10.0,0.0,True
LOW,10,3,24.0,100.0,1.0,0.0,10.0,0.0,True
LOW,10,3,24.0,10.0,1.0,0.0,100.0,0.0,True
LOW,10,3,24.0,10.0,1.0,0.0,100.0,0.0,True
MID,10,1,0.0,100.0,1000.0,66.0,10.0,660000.0,False
MID,10,1,0.0,100.0,1000.0,47.0,10.0,470000.0,False
MID,10,1,0.0,10.0,100.0,46.0,100.0,460000.0,False
MID,10,1,0.0,10.0,100.0,39.0,100.0,390000.0,False
MID,10,1,1.0,100.0,10.0,186.0,10.0,18600.0,False
MID,10,1,1.0,100.0,10.0,139.0,10.0,13900.0,False
MID,10,1,1.0,10.0,1.0,182.0,100.0,18200.0,False
MID,10,1,1.0,10.0,1.0,182.0,100.0,18200.0,False
MID,10,1,2.0,100.0,10.0,22.0,10.0,2200.0,False
MID,10,1,2.0,100.0,10.0,31.0,10.0,3100.0,False
MID,10,1,2.0,10.0,1.0,32.0,100.0,3200.0,False
MID,10,1,2.0,10.0,1.0,22.0,100.0,2200.0,False
MID,10,1,4.0,100.0,1.0,24.0,10.0,240.0,False
MID,10,1,4.0,100.0,1.0,21.0,10.0,210.0,False
MID,10,1,4.0,10.0,1.0,5.0,100.0,500.0,False
MID,10,1,4.0,10.0,1.0,4.0,100.0,400.0,False
MID,10,1,6.0,100.0,1.0,6.0,10.0,60.0,False
MID,10,1,6.0,100.0,1.0,10.0,10.0,100.0,False
MID,10,1,6.0,10.0,1.0,1.0,100.0,100.0,False
MID,10,1,6.0,10.0,1.0,0.0,100.0,0.0,True
MID,10,1,24.0,100.0,1.0,1.0,10.0,10.0,False
MID,10,1,24.0,100.0,1.0,1.0,10.0,10.0,False
MID,10,1,24.0,10.0,1.0,0.0,100.0,0.0,True
MID,10,1,24.0,10.0,1.0,0.0,100.0,0.0,True
MID,10,2,0.0,100.0,1000.0,39.0,10.0,390000.0,False
MID,10,2,0.0,100.0,1000.0,37.0,10.0,370000.0,False
MID,10,2,0.0,10.0,100.0,29.0,100.0,290000.0,False
MID,10,2,0.0,10.0,100.0,39.0,100.0,390000.0,False
MID,10,2,1.0,100.0,10.0,255.0,10.0,25500.0,False
MID,10,2,1.0,100.0,10.0,296.0,10.0,29600.0,False
MID,10,2,1.0,10.0,1.0,263.0,100.0,26300.0,False
MID,10,2,1.0,10.0,1.0,176.0,100.0,17600.0,False
MID,10,2,2.0,100.0,1.0,132.0,10.0,1320.0,False
MID,10,2,2.0,100.0,1.0,165.0,10.0,1650.0,False
MID,10,2,2.0,10.0,1.0,20.0,100.0,2000.0,False
MID,10,2,2.0,10.0,1.0,8.0,100.0,800.0,False
MID,10,2,4.0,100.0,1.0,17.0,10.0,170.0,False
MID,10,2,4.0,100.0,1.0,16.0,10.0,160.0,False
MID,10,2,4.0,10.0,1.0,6.0,100.0,600.0,False
MID,10,2,4.0,10.0,1.0,2.0,100.0,200.0,False
MID,10,2,6.0,100.0,1.0,7.0,10.0,70.0,False
MID,10,2,6.0,100.0,1.0,5.0,10.0,50.0,False
MID,10,2,6.0,10.0,1.0,2.0,100.0,200.0,False
MID,10,2,6.0,10.0,1.0,1.0,100.0,100.0,False
MID,10,2,24.0,100.0,1.0,0.0,10.0,0.0,True
MID,10,2,24.0,100.0,1.0,0.0,10.0,0.0,True
MID,10,2,24.0,10.0,1.0,0.0,100.0,0.0,True
MID,10,2,24.0,10.0,1.0,0.0,100.0,0.0,True
MID,10,3,0.0,100.0,1000.0,31.0,10.0,310000.0,False
MID,10,3,0.0,100.0,1000.0,44.0,10.0,440000.0,False
MID,10,3,0.0,10.0,100.0,23.0,100.0,230000.0,False
MID,10,3,0.0,10.0,100.0,28.0,100.0,280000.0,False
MID,10,3,1.0,100.0,10.0,275.0,10.0,27500.0,False
MID,10,3,1.0,100.0,10.0,247.0,10.0,24700.0,False
MID,10,3,1.0,10.0,1.0,216.0,100.0,21600.0,False
MID,10,3,1.0,10.0,1.0,175.0,100.0,17500.0,False
MID,10,3,2.0,100.0,10.0,30.0,10.0,3000.0,False
MID,10,3,2.0,100.0,10.0,18.0,10.0,1800.0,False
MID,10,3,2.0,10.0,1.0,28.0,100.0,2800.0,False
MID,10,3,2.0,10.0,1.0,8.0,100.0,800.0,False
MID,10,3,4.0,100.0,1.0,65.0,10.0,650.0,False
MID,10,3,4.0,100.0,1.0,59.0,10.0,590.0,False
MID,10,3,4.0,10.0,1.0,15.0,100.0,1500.0,False
MID,10,3,4.0,10.0,1.0,6.0,100.0,600.0,False
MID,10,3,6.0,100.0,1.0,39.0,10.0,390.0,False
MID,10,3,6.0,100.0,1.0,36.0,10.0,360.0,False
MID,10,3,6.0,10.0,1.0,0.0,100.0,0.0,True
MID,10,3,6.0,10.0,1.0,2.0,100.0,200.0,False
MID,10,3,24.0,100.0,1.0,0.0,10.0,0.0,True
MID,10,3,24.0,100.0,1.0,1.0,10.0,10.0,False
MID,10,3,24.0,10.0,1.0,0.0,100.0,0.0,True
MID,10,3,24.0,10.0,1.0,0.0,100.0,0.0,True
HIGH,10,1,0.0,100.0,10000.0,49.0,10.0,4900000.0,False
HIGH,10,1,0.0,100.0,10000.0,32.0,10.0,3200000.0,False
HIGH,10,1,0.0,10.0,1000.0,36.0,100.0,3600000.0,False
HIGH,10,1,0.0,10.0,1000.0,36.0,100.0,3600000.0,False
HIGH,10,1,1.0,100.0,1000.0,19.0,10.0,190000.0,False
HIGH,10,1,1.0,100.0,1000.0,37.0,10.0,370000.0,False
HIGH,10,1,1.0,10.0,100.0,16.0,100.0,160000.0,False
HIGH,10,1,1.0,10.0,100.0,21.0,100.0,210000.0,False
HIGH,10,1,2.0,100.0,100.0,19.0,10.0,19000.0,False
HIGH,10,1,2.0,100.0,100.0,32.0,10.0,32000.0,False
HIGH,10,1,2.0,10.0,10.0,19.0,100.0,19000.0,False
HIGH,10,1,2.0,10.0,10.0,28.0,100.0,28000.0,False
HIGH,10,1,4.0,100.0,1.0,101.0,10.0,1010.0,False
HIGH,10,1,4.0,100.0,1.0,90.0,10.0,900.0,False
HIGH,10,1,4.0,10.0,1.0,6.0,100.0,600.0,False
HIGH,10,1,4.0,10.0,1.0,11.0,100.0,1100.0,False
HIGH,10,1,6.0,100.0,1.0,31.0,10.0,310.0,False
HIGH,10,1,6.0,100.0,1.0,32.0,10.0,320.0,False
HIGH,10,1,6.0,10.0,1.0,8.0,100.0,800.0,False
HIGH,10,1,6.0,10.0,1.0,7.0,100.0,700.0,False
HIGH,10,1,24.0,100.0,1.0,1.0,10.0,10.0,False
HIGH,10,1,24.0,100.0,1.0,2.0,10.0,20.0,False
HIGH,10,1,24.0,10.0,1.0,1.0,100.0,100.0,False
HIGH,10,1,24.0,10.0,1.0,1.0,100.0,100.0,False
HIGH,10,2,0.0,100.0,10000.0,37.0,10.0,3700000.0,False
HIGH,10,2,0.0,100.0,10000.0,29.0,10.0,2900000.0,False
HIGH,10,2,0.0,10.0,1000.0,55.0,100.0,5500000.0,False
HIGH,10,2,0.0,10.0,1000.0,34.0,100.0,3400000.0,False
HIGH,10,2,1.0,100.0,100.0,186.0,10.0,186000.0,False
HIGH,10,2,1.0,100.0,100.0,179.0,10.0,179000.0,False
HIGH,10,2,1.0,10.0,10.0,139.0,100.0,139000.0,False
HIGH,10,2,1.0,10.0,10.0,192.0,100.0,192000.0,False
HIGH,10,2,2.0,100.0,10.0,108.0,10.0,10800.0,False
HIGH,10,2,2.0,100.0,10.0,108.0,10.0,10800.0,False
HIGH,10,2,2.0,10.0,1.0,115.0,100.0,11500.0,False
HIGH,10,2,2.0,10.0,1.0,147.0,100.0,14700.0,False
HIGH,10,2,4.0,100.0,1.0,78.0,10.0,780.0,False
HIGH,10,2,4.0,100.0,1.0,65.0,10.0,650.0,False
HIGH,10,2,4.0,10.0,1.0,12.0,100.0,1200.0,False
HIGH,10,2,4.0,10.0,1.0,7.0,100.0,700.0,False
HIGH,10,2,6.0,100.0,1.0,43.0,10.0,430.0,False
HIGH,10,2,6.0,100.0,1.0,34.0,10.0,340.0,False
HIGH,10,2,6.0,10.0,1.0,0.0,100.0,0.0,True
HIGH,10,2,6.0,10.0,1.0,6.0,100.0,600.0,False
HIGH,10,2,24.0,100.0,1.0,2.0,10.0,20.0,False
HIGH,10,2,24.0,100.0,1.0,4.0,10.0,40.0,False
HIGH,10,2,24.0,10.0,1.0,1.0,100.0,100.0,False
HIGH,10,2,24.0,10.0,1.0,0.0,100.0,0.0,True
HIGH,10,3,0.0,100.0,10000.0,40.0,10.0,4000000.0,False
HIGH,10,3,0.0,100.0,10000.0,39.0,10.0,3900000.0,False
HIGH,10,3,0.0,10.0,1000.0,32.0,100.0,3200000.0,False
HIGH,10,3,0.0,10.0,1000.0,57.0,100.0,5700000.0,False
HIGH,10,3,1.0,100.0,100.0,45.0,10.0,45000.0,False
HIGH,10,3,1.0,100.0,100.0,51.0,10.0,51000.0,False
HIGH,10,3,1.0,10.0,10.0,52.0,100.0,52000.0,False
HIGH,10,3,1.0,10.0,10.0,59.0,100.0,59000.0,False
HIGH,10,3,2.0,100.0,10.0,82.0,10.0,8200.0,False
HIGH,10,3,2.0,100.0,10.0,78.0,10.0,7800.0,False
HIGH,10,3,2.0,10.0,1.0,83.0,100.0,8300.0,False
HIGH,10,3,2.0,10.0,1.0,102.0,100.0,10200.0,False
HIGH,10,3,4.0,100.0,1.0,117.0,10.0,1170.0,False
HIGH,10,3,4.0,100.0,1.0,97.0,10.0,970.0,False
HIGH,10,3,4.0,10.0,1.0,14.0,100.0,1400.0,False
HIGH,10,3,4.0,10.0,1.0,8.0,100.0,800.0,False
HIGH,10,3,6.0,100.0,1.0,33.0,10.0,330.0,False
HIGH,10,3,6.0,100.0,1.0,31.0,10.0,310.0,False
HIGH,10,3,6.0,10.0,1.0,4.0,100.0,400.0,False
HIGH,10,3,6.0,10.0,1.0,4.0,100.0,400.0,False
HIGH,10,3,24.0,100.0,1.0,0.0,10.0,0.0,True
HIGH,10,3,24.0,100.0,1.0,0.0,10.0,0.0,True
HIGH,10,3,24.0,10.0,1.0,0.0,100.0,0.0,True
HIGH,10,3,24.0,10.0,1.0,0.0,100.0,0.0,True
