n,lowest,n_at_lowest,share_at_lowest,log_gap_above_lowest,distinct_values,study_id,declares_a_floor,pile_up_at_lowest,lowest_is_plate_plausible,reading
756,1.0,269,0.3558201058201058,0.30102999999999996,285,AGUILAR2025,False,True,False,pile-up on a value no plate can give
300,50.0,8,0.02666666666666667,0.3010299956639812,44,ALEXANDER2020,True,False,True,declares a floor
3327,40.0,1,0.00030057108506161706,0.09691001300805642,1669,BUCHHOLZ2026,False,False,True,no pile-up
288,100.0,84,0.2916666666666667,0.14999999999999988,134,EDOO2026,False,True,True,pile-up on a plate-plausible value
2554,1.0,113,0.044244322631166795,0.3979400086720376,548,GEERTS2022,False,False,False,no pile-up
108,500.0,1,0.009259259259259259,0.146128035678238,86,GOORMAGHTIGH2021,False,False,True,no pile-up
216,21200.00678873684,1,0.004629629629629629,0.16502599999999934,204,HAO2026,False,False,True,no pile-up
390,19.99999999999994,41,0.10512820512820513,0.050171665944000146,220,JOVANOVIC2026,False,True,True,pile-up on a plate-plausible value
361,200.0,1,0.002770083102493075,0.7781512503836436,111,KOLLEROVA2024,True,False,True,declares a floor
262,10.0,1,0.003816793893129771,0.6020599913279624,187,MIYAHARA2026,False,False,True,no pile-up
394,1.0,69,0.1751269035532995,1.0,220,MOLECULAR2026,False,True,False,pile-up on a value no plate can give
544,10.0,1,0.001838235294117647,0.6989700043360189,297,NOREL2023,False,False,True,no pile-up
90,5.0,2,0.022222222222222223,0.3010299956639812,76,PIRANFAR2026,True,False,True,declares a floor
294,20.0,1,0.003401360544217687,0.3010299956639812,83,PRETOMANID,True,False,True,declares a floor
252,16.595869074375607,3,0.011904761904761904,0.30000000000000004,54,RIVANI2022,False,False,True,no pile-up
745,2.0,1,0.0013422818791946308,0.12413468699865467,542,SEBASTIAN2025,False,False,True,no pile-up
2257,10.0,91,0.04031900753212229,0.060000000000000026,726,SOEORG2026,True,False,True,declares a floor
348,1.07,1,0.0028735632183908046,0.31892108536295094,281,STEPANYAN2015,False,False,False,no pile-up
658,1.0,16,0.0243161094224924,1.0,416,STEWART2012,False,False,False,no pile-up
659,1.8134140656955693,1,0.0015174506828528073,0.01777450099999998,481,STRYDOM2024,False,False,False,no pile-up
234,31.0,1,0.004273504273504274,0.2162084822636637,220,WALTER2025,False,False,True,no pile-up
1022,10.0,4,0.003913894324853229,0.3010299956639812,431,XU2026,False,False,True,no pile-up
252,0.1,32,0.12698412698412698,1.0,164,ZHU2022,False,True,False,pile-up on a value no plate can give
