study_id,arm,replicate,t0_h,n0,floor,headroom,deepest_reported_drop,n_timepoints,n_censored,violates_headroom,excess_log10
ALEXANDER2020,[Strep] 0x (col11),A-col11-1,0.1166666666666666,650.0,50.0,1.1139433523068367,0.414973347970818,7,0,False,0.0
ALEXANDER2020,[Strep] 0x (col11),A-col11-2,0.1166666666666666,300.0,50.0,0.7781512503836436,0.0,7,0,False,0.0
ALEXANDER2020,[Strep] 0x (col11),A-col11-3,0.1166666666666666,450.0,50.0,0.9542425094393249,0.17609125905568124,7,0,False,0.0
ALEXANDER2020,[Strep] 0x (col11),A-col11-4,0.1166666666666666,450.0,50.0,0.9542425094393249,0.07918124604762482,7,0,False,0.0
ALEXANDER2020,[Strep] 0x (col11),A-col11-5,0.1166666666666666,350.0,50.0,0.8450980400142568,0.0,7,0,False,0.0
ALEXANDER2020,[Strep] 0x (col11),A-col11-6,0.1166666666666666,700.0,50.0,1.146128035678238,0.4471580313422192,7,0,False,0.0
ALEXANDER2020,[Strep] 0x (col11),B-col11-1,0.2916666666666667,450.0,50.0,0.9542425094393249,0.25527250510330607,4,0,False,0.0
ALEXANDER2020,[Strep] 0x (col11),B-col11-2,0.2916666666666667,550.0,50.0,1.0413926851582251,0.1962946451439682,4,0,False,0.0
ALEXANDER2020,[Strep] 0x (col11),B-col11-3,0.2916666666666667,500.0,50.0,1.0,0.09691001300805642,4,0,False,0.0
ALEXANDER2020,[Strep] 0x (col11),B-col11-4,0.2916666666666667,450.0,50.0,0.9542425094393249,0.10914446942506807,4,0,False,0.0
ALEXANDER2020,[Strep] 0x (col11),B-col11-5,0.2916666666666667,550.0,50.0,1.0413926851582251,0.13830269816628146,4,0,False,0.0
ALEXANDER2020,[Strep] 0x (col11),B-col11-6,0.2916666666666667,350.0,50.0,0.8450980400142568,0.0,4,0,False,0.0
ALEXANDER2020,[Strep] 0x (col2),A-col2-1,0.1166666666666666,650.0,50.0,1.1139433523068367,0.26884531229257996,7,0,False,0.0
ALEXANDER2020,[Strep] 0x (col2),A-col2-2,0.1166666666666666,550.0,50.0,1.0413926851582251,0.3424226808222063,7,0,False,0.0
ALEXANDER2020,[Strep] 0x (col2),A-col2-3,0.1166666666666666,350.0,50.0,0.8450980400142568,0.146128035678238,7,0,False,0.0
ALEXANDER2020,[Strep] 0x (col2),A-col2-4,0.1166666666666666,550.0,50.0,1.0413926851582251,0.43933269383026263,7,0,False,0.0
ALEXANDER2020,[Strep] 0x (col2),A-col2-5,0.1166666666666666,450.0,50.0,0.9542425094393249,0.25527250510330607,7,0,False,0.0
ALEXANDER2020,[Strep] 0x (col2),A-col2-6,0.1166666666666666,450.0,50.0,0.9542425094393249,0.25527250510330607,7,0,False,0.0
