sheet,arm,n_animals,n_cfu_zero,cfu_max,n_mpn,mpn_min,mpn_max,n_mbl,mbl_min,mbl_max
Figure 2,EC,3,0,5754.399373371567,0,,,3,21106.197611408305,39036.42161715369
Figure 2,EMB,3,0,10000.0,0,,,3,4274.7429033835915,15321.80744170142
Figure 2,INH,3,0,119999.65570481167,0,,,3,8082.393672812272,179386.60059674171
Figure 2,LC,6,0,419999719.1604267,0,,,6,3795508.7765117097,71660527.38035585
Figure 2,RIF,3,0,3981.071705534977,0,,,3,303696.64905356,1177334.8509401423
Figure 2,U480,3,0,140000.63322395334,0,,,3,457109.23978860176,844714.5988930837
Figure 3,LC,3,0,419999719.1604267,0,,,3,8428106.211972388,71660527.38035585
Figure 3,RZL300,6,5,4.0,0,,,6,743.8802014322083,239728.68327348007
Figure 3,RZL300(8wk PT),6,3,1163.3328719599099,6,1869.993082533118,5520.011722323084,6,108.7877513618792,12144.510088921968
Figure 3,RZL60,6,5,2.0,0,,,6,89.44457400397154,85932.80734073026
Figure 3,RZL60(8wk PT),6,6,0.0,6,2490.0037433882003,18699.930825331186,6,169.52743848821703,52175.90611550422
Figure 4,RZL60,6,6,0.0,6,1450.0066700500922,9040.032670293891,6,567.0482310953454,13738.521572108399
Figure 4,RZL60/MXF300/PZA450,6,6,0.0,6,1869.993082533118,10699.906927079144,6,5473.939586745953,9656.28332699611
