design,culture_age_days,sample_day,isolate_index,n0_mpn_ml,floor_mpn_ml,recorded_class,plate_sweep,mpn_pattern_95,mpn_pattern_99,mpn_censor_95,mpn_censor_99
duplicate,15,5,8,230000.0,23.0,Low,single,single,single,single,single
duplicate,15,5,43,23000.0,23.0,Medium,multiple,multiple,multiple,multiple,multiple
duplicate,15,5,49,23000.0,23.0,Medium,multiple,multiple,multiple,multiple,multiple
duplicate,15,5,50,23000.0,23.0,Medium,multiple,multiple,multiple,multiple,multiple
duplicate,15,5,61,610000.0,23.0,Low,single,single,single,single,single
duplicate,15,5,66,23000.0,23.0,Medium,multiple,multiple,multiple,multiple,multiple
duplicate,15,5,76,230000.0,23.0,Low,single,single,single,single,single
duplicate,15,5,103,23000.0,23.0,Medium,multiple,multiple,multiple,multiple,multiple
duplicate,15,5,104,230000.0,23.0,Low,single,single,single,single,single
duplicate,15,5,118,230000.0,23.0,Low,single,single,single,single,single
duplicate,15,5,128,6100000.0,23.0,Low,single,single,single,single,single
duplicate,15,5,135,230000.0,23.0,Low,single,single,single,single,single
duplicate,15,5,137,2300000.0,23.0,Low,single,single,single,single,single
duplicate,15,5,138,230000.0,23.0,Low,single,single,single,single,single
duplicate,15,5,148,230000.0,23.0,Low,single,single,single,single,single
duplicate,15,5,161,230000.0,23.0,Low,single,single,single,single,single
duplicate,15,5,167,23000.0,23.0,Medium,multiple,multiple,multiple,multiple,multiple
duplicate,15,5,186,6100000.0,23.0,Low,single,single,single,single,single
duplicate,15,2,1,230000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,2,230000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,6,23000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,12,230000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,17,230000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,33,23000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,34,230000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,43,23000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,45,230000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,49,23000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,61,610000.0,230.0,,single,multiple,multiple,multiple,multiple
duplicate,15,2,62,230000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,64,23000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,65,23000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,82,230000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,89,23000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,94,230000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,15,2,102,2300000.0,230.0,,single,single,single,single,single
duplicate,60,5,43,610000.0,23.0,Low,single,single,single,single,single
duplicate,60,5,49,230000.0,23.0,Low,single,single,single,single,single
duplicate,60,5,50,230000.0,23.0,Low,single,single,single,single,single
duplicate,60,5,66,6100000.0,23.0,Low,single,single,single,single,single
duplicate,60,5,76,23000000.0,23.0,Low,single,single,single,single,single
duplicate,60,5,103,230000.0,23.0,Low,single,single,single,single,single
duplicate,60,2,45,61000000.0,230.0,,single,single,single,single,single
duplicate,60,2,49,230000.0,230.0,,multiple,multiple,multiple,multiple,multiple
duplicate,60,2,64,23000.0,230.0,,multiple,multiple,multiple,multiple,multiple
triplicate,15,5,8,230000.0,23.0,Low,single,single,single,single,single
triplicate,15,5,43,23000.0,23.0,Medium,multiple,multiple,multiple,multiple,multiple
triplicate,15,5,49,23000.0,23.0,Medium,multiple,multiple,multiple,multiple,multiple
triplicate,15,5,50,23000.0,23.0,Medium,multiple,multiple,multiple,multiple,multiple
triplicate,15,5,61,610000.0,23.0,Low,single,single,single,single,single
triplicate,15,5,66,23000.0,23.0,Medium,multiple,multiple,multiple,multiple,multiple
triplicate,15,5,76,230000.0,23.0,Low,single,single,single,single,single
triplicate,15,5,103,23000.0,23.0,Medium,multiple,multiple,multiple,multiple,multiple
triplicate,15,5,104,230000.0,23.0,Low,single,single,single,single,single
triplicate,15,5,118,230000.0,23.0,Low,single,single,single,single,single
triplicate,15,5,128,6100000.0,23.0,Low,single,single,single,single,single
triplicate,15,5,135,230000.0,23.0,Low,single,single,single,single,single
triplicate,15,5,137,2300000.0,23.0,Low,single,single,single,single,single
triplicate,15,5,138,230000.0,23.0,Low,single,single,single,single,single
triplicate,15,5,148,230000.0,23.0,Low,single,single,single,single,single
