design,culture_age_days,sample_day,method,n_floored,single,multiple,count_interval_low,count_interval_high
duplicate,15,5,plate_sweep,18,12,6,0.0,23.0
duplicate,15,5,mpn_pattern_95,18,12,6,3.245106112719663,119.90894201811595
duplicate,15,5,mpn_pattern_99,18,12,6,1.4519568520322668,183.39672698838962
duplicate,15,5,mpn_censor_95,18,12,6,0.0,136.17144898115552
duplicate,15,5,mpn_censor_99,18,12,6,0.0,209.3259228494619
duplicate,15,2,plate_sweep,18,2,16,0.0,230.0
duplicate,15,2,mpn_pattern_95,18,1,17,32.45106112719663,1199.0894201811595
duplicate,15,2,mpn_pattern_99,18,1,17,14.51956852032266,1833.9672698838963
duplicate,15,2,mpn_censor_95,18,1,17,0.0,1361.7144898149006
duplicate,15,2,mpn_censor_99,18,1,17,0.0,2093.259228494565
duplicate,60,5,plate_sweep,6,6,0,0.0,23.0
duplicate,60,5,mpn_pattern_95,6,6,0,3.245106112719663,119.90894201811595
duplicate,60,5,mpn_pattern_99,6,6,0,1.4519568520322668,183.39672698838962
duplicate,60,5,mpn_censor_95,6,6,0,0.0,136.17144898115552
duplicate,60,5,mpn_censor_99,6,6,0,0.0,209.3259228494619
duplicate,60,2,plate_sweep,3,1,2,0.0,230.0
duplicate,60,2,mpn_pattern_95,3,1,2,32.45106112719663,1199.0894201811595
duplicate,60,2,mpn_pattern_99,3,1,2,14.51956852032266,1833.9672698838963
duplicate,60,2,mpn_censor_95,3,1,2,0.0,1361.7144898149006
duplicate,60,2,mpn_censor_99,3,1,2,0.0,2093.259228494565
triplicate,15,5,plate_sweep,18,12,6,0.0,23.0
triplicate,15,5,mpn_pattern_95,18,12,6,4.923061631118901,90.79718491527723
triplicate,15,5,mpn_pattern_99,18,12,6,2.7210895258091394,133.13220955718435
triplicate,15,5,mpn_censor_95,18,12,6,0.0,90.90874613053278
triplicate,15,5,mpn_censor_99,18,12,6,0.0,139.55388343088404
triplicate,15,2,plate_sweep,18,2,16,0.0,230.0
triplicate,15,2,mpn_pattern_95,18,1,17,49.230616311189,907.9718491527725
triplicate,15,2,mpn_pattern_99,18,1,17,27.210895258091394,1331.322095571913
triplicate,15,2,mpn_censor_95,18,1,17,0.0,909.0874613053744
triplicate,15,2,mpn_censor_99,18,1,17,0.0,1395.538834309608
triplicate,60,5,plate_sweep,6,6,0,0.0,23.0
triplicate,60,5,mpn_pattern_95,6,6,0,4.923061631118901,90.79718491527723
triplicate,60,5,mpn_pattern_99,6,6,0,2.7210895258091394,133.13220955718435
triplicate,60,5,mpn_censor_95,6,6,0,0.0,90.90874613053278
triplicate,60,5,mpn_censor_99,6,6,0,0.0,139.55388343088404
triplicate,60,2,plate_sweep,3,1,2,0.0,230.0
triplicate,60,2,mpn_pattern_95,3,1,2,49.230616311189,907.9718491527725
triplicate,60,2,mpn_pattern_99,3,1,2,27.210895258091394,1331.322095571913
triplicate,60,2,mpn_censor_95,3,1,2,0.0,909.0874613053744
triplicate,60,2,mpn_censor_99,3,1,2,0.0,1395.538834309608
