design,reading,prior,culture_age_days,sample_day,isolate_index,n0_mpn_ml,recorded_class,p_low,p_medium,p_high,dominant_class,p_dominant,verdict
duplicate,pattern,logflat,15,5,8,230000.0,Low,0.999,0.001,0.0,Low,0.999,confirmed
duplicate,pattern,flat,15,5,8,230000.0,Low,0.9914,0.0086,0.0,Low,0.9914,confirmed
duplicate,censor,logflat,15,5,8,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
duplicate,censor,flat,15,5,8,230000.0,Low,0.994,0.0059,0.0,Low,0.994,confirmed
duplicate,pattern,logflat,15,5,43,23000.0,Medium,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,5,43,23000.0,Medium,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,5,43,23000.0,Medium,0.9283,0.0715,0.0001,Low,0.9283,refused
duplicate,censor,flat,15,5,43,23000.0,Medium,0.4152,0.5786,0.0059,Medium,0.5786,refused
duplicate,pattern,logflat,15,5,49,23000.0,Medium,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,5,49,23000.0,Medium,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,5,49,23000.0,Medium,0.9283,0.0715,0.0001,Low,0.9283,refused
duplicate,censor,flat,15,5,49,23000.0,Medium,0.4152,0.5786,0.0059,Medium,0.5786,refused
duplicate,pattern,logflat,15,5,50,23000.0,Medium,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,5,50,23000.0,Medium,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,5,50,23000.0,Medium,0.9283,0.0715,0.0001,Low,0.9283,refused
duplicate,censor,flat,15,5,50,23000.0,Medium,0.4152,0.5786,0.0059,Medium,0.5786,refused
duplicate,pattern,logflat,15,5,61,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,flat,15,5,61,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,logflat,15,5,61,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,flat,15,5,61,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,logflat,15,5,66,23000.0,Medium,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,5,66,23000.0,Medium,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,5,66,23000.0,Medium,0.9283,0.0715,0.0001,Low,0.9283,refused
duplicate,censor,flat,15,5,66,23000.0,Medium,0.4152,0.5786,0.0059,Medium,0.5786,refused
duplicate,pattern,logflat,15,5,76,230000.0,Low,0.999,0.001,0.0,Low,0.999,confirmed
duplicate,pattern,flat,15,5,76,230000.0,Low,0.9914,0.0086,0.0,Low,0.9914,confirmed
duplicate,censor,logflat,15,5,76,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
duplicate,censor,flat,15,5,76,230000.0,Low,0.994,0.0059,0.0,Low,0.994,confirmed
duplicate,pattern,logflat,15,5,103,23000.0,Medium,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,5,103,23000.0,Medium,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,5,103,23000.0,Medium,0.9283,0.0715,0.0001,Low,0.9283,refused
duplicate,censor,flat,15,5,103,23000.0,Medium,0.4152,0.5786,0.0059,Medium,0.5786,refused
duplicate,pattern,logflat,15,5,104,230000.0,Low,0.999,0.001,0.0,Low,0.999,confirmed
duplicate,pattern,flat,15,5,104,230000.0,Low,0.9914,0.0086,0.0,Low,0.9914,confirmed
duplicate,censor,logflat,15,5,104,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
duplicate,censor,flat,15,5,104,230000.0,Low,0.994,0.0059,0.0,Low,0.994,confirmed
duplicate,pattern,logflat,15,5,118,230000.0,Low,0.999,0.001,0.0,Low,0.999,confirmed
duplicate,pattern,flat,15,5,118,230000.0,Low,0.9914,0.0086,0.0,Low,0.9914,confirmed
duplicate,censor,logflat,15,5,118,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
duplicate,censor,flat,15,5,118,230000.0,Low,0.994,0.0059,0.0,Low,0.994,confirmed
duplicate,pattern,logflat,15,5,128,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,flat,15,5,128,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,logflat,15,5,128,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,flat,15,5,128,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,logflat,15,5,135,230000.0,Low,0.999,0.001,0.0,Low,0.999,confirmed
duplicate,pattern,flat,15,5,135,230000.0,Low,0.9914,0.0086,0.0,Low,0.9914,confirmed
duplicate,censor,logflat,15,5,135,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
duplicate,censor,flat,15,5,135,230000.0,Low,0.994,0.0059,0.0,Low,0.994,confirmed
duplicate,pattern,logflat,15,5,137,2300000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,flat,15,5,137,2300000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,logflat,15,5,137,2300000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,flat,15,5,137,2300000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,logflat,15,5,138,230000.0,Low,0.999,0.001,0.0,Low,0.999,confirmed
duplicate,pattern,flat,15,5,138,230000.0,Low,0.9914,0.0086,0.0,Low,0.9914,confirmed
duplicate,censor,logflat,15,5,138,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
duplicate,censor,flat,15,5,138,230000.0,Low,0.994,0.0059,0.0,Low,0.994,confirmed
duplicate,pattern,logflat,15,5,148,230000.0,Low,0.999,0.001,0.0,Low,0.999,confirmed
duplicate,pattern,flat,15,5,148,230000.0,Low,0.9914,0.0086,0.0,Low,0.9914,confirmed
duplicate,censor,logflat,15,5,148,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
duplicate,censor,flat,15,5,148,230000.0,Low,0.994,0.0059,0.0,Low,0.994,confirmed
duplicate,pattern,logflat,15,5,161,230000.0,Low,0.999,0.001,0.0,Low,0.999,confirmed
duplicate,pattern,flat,15,5,161,230000.0,Low,0.9914,0.0086,0.0,Low,0.9914,confirmed
duplicate,censor,logflat,15,5,161,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
duplicate,censor,flat,15,5,161,230000.0,Low,0.994,0.0059,0.0,Low,0.994,confirmed
duplicate,pattern,logflat,15,5,167,23000.0,Medium,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,5,167,23000.0,Medium,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,5,167,23000.0,Medium,0.9283,0.0715,0.0001,Low,0.9283,refused
duplicate,censor,flat,15,5,167,23000.0,Medium,0.4152,0.5786,0.0059,Medium,0.5786,refused
