design,reading,prior,culture_age_days,sample_day,recorded_class,verdict,n
duplicate,censor,flat,15,5,Low,confirmed,12
duplicate,censor,flat,15,5,Medium,refused,6
duplicate,censor,flat,60,5,Low,confirmed,6
duplicate,censor,logflat,15,5,Low,confirmed,12
duplicate,censor,logflat,15,5,Medium,refused,6
duplicate,censor,logflat,60,5,Low,confirmed,6
duplicate,pattern,flat,15,5,Low,confirmed,12
duplicate,pattern,flat,15,5,Medium,refused,6
duplicate,pattern,flat,60,5,Low,confirmed,6
duplicate,pattern,logflat,15,5,Low,confirmed,12
duplicate,pattern,logflat,15,5,Medium,refused,6
duplicate,pattern,logflat,60,5,Low,confirmed,6
triplicate,censor,flat,15,5,Low,confirmed,12
triplicate,censor,flat,15,5,Medium,refused,6
triplicate,censor,flat,60,5,Low,confirmed,6
triplicate,censor,logflat,15,5,Low,confirmed,12
triplicate,censor,logflat,15,5,Medium,contradicted,6
triplicate,censor,logflat,60,5,Low,confirmed,6
triplicate,pattern,flat,15,5,Low,confirmed,12
triplicate,pattern,flat,15,5,Medium,refused,6
triplicate,pattern,flat,60,5,Low,confirmed,6
triplicate,pattern,logflat,15,5,Low,confirmed,12
triplicate,pattern,logflat,15,5,Medium,refused,6
triplicate,pattern,logflat,60,5,Low,confirmed,6
