scenario,arm,alpha,replicate,simulation_id,final_mic,average_mic_day_12,extinct,seed
authors,low,5e-05,0,1,2.0,2.000018971601038,False,20260904
authors,low,5e-05,3,13,9.2852876745769,9.690741507520862,False,20260916
implied,low,0.0009576114603262,0,3,2.0,2.058479285484867,False,20260906
authors,low,5e-05,1,5,15.288476227944862,15.292324139519058,False,20260908
implied,low,0.0009576114603262,1,7,19.017745727808386,18.064361092881665,False,20260910
authors,low,5e-05,2,9,13.611907174665546,18.115649916165395,False,20260912
implied,low,0.0009576114603262,3,15,20.835119386136405,20.82868112513719,False,20260918
implied,low,0.0009576114603262,2,11,16.654550838321214,16.7184244822401,False,20260914
implied,low,0.0009576114603262,4,19,13.11000688597426,12.088314280080866,False,20260922
authors,high,0.8,0,0,6.119804364250812,6.380159214944613,False,20260903
authors,high,0.8,2,8,9.165819015609324,9.084044766977776,False,20260911
authors,high,0.8,1,4,9.512964074644247,8.089452535953056,False,20260907
implied,high,0.9999999999452872,2,10,16.863948050860444,13.975003353470669,False,20260913
authors,high,0.8,3,12,10.183430613128264,8.93711386228621,False,20260915
implied,high,0.9999999999452872,0,2,8.725784520748764,7.21157595990893,False,20260905
implied,high,0.9999999999452872,1,6,12.690773021072436,12.106905906110944,False,20260909
authors,low,5e-05,7,29,2.0,2.0407628944124503,False,20260932
authors,high,0.8,4,16,7.673930443495177,6.694946814013033,False,20260919
implied,high,0.9999999999452872,3,14,2.0,6.547149999405247,False,20260917
authors,low,5e-05,4,17,21.86039553346997,21.774749658345595,False,20260920
implied,low,0.0009576114603262,5,23,16.9915837633793,15.51203062640164,False,20260926
implied,high,0.9999999999452872,4,18,9.279808855625827,8.694280253096943,False,20260921
authors,low,5e-05,5,21,17.209277741049547,17.388992411271186,False,20260924
authors,low,5e-05,6,25,20.062871149970526,19.898366121210962,False,20260928
authors,low,5e-05,8,33,16.071073301685825,16.148401185910256,False,20260936
implied,low,0.0009576114603262,7,31,12.860915951322669,13.261255658166052,False,20260934
authors,high,0.8,5,20,10.80969914783401,9.705095983850892,False,20260923
implied,low,0.0009576114603262,6,27,20.034077562096527,19.459764728459596,False,20260930
implied,high,0.9999999999452872,5,22,8.933894152366427,8.382398292294798,False,20260925
implied,low,0.0009576114603262,9,39,4.093108674816593,3.3498781700338087,False,20260942
authors,high,0.8,6,24,8.366341100847173,7.317847828041359,False,20260927
authors,high,0.8,7,28,13.2648107071371,11.045589259332846,False,20260931
implied,high,0.9999999999452872,6,26,16.711973309952512,12.251228294458134,False,20260929
implied,high,0.9999999999452872,7,30,9.293900255944498,8.897232975331836,False,20260933
authors,high,0.8,8,32,9.17108887732293,8.270730021442136,False,20260935
implied,low,0.0009576114603262,8,35,21.63761639519346,21.391470072152412,False,20260938
authors,low,5e-05,9,37,16.248132890218038,16.269258002582223,False,20260940
implied,high,0.9999999999452872,8,34,6.482109835749254,6.45428307462172,False,20260937
authors,low,5e-05,11,45,17.845381140764403,17.85327679336931,False,20260948
authors,high,0.8,9,36,8.914051478224543,8.662328553158632,False,20260939
implied,low,0.0009576114603262,10,43,24.882981172031215,22.76349936302512,False,20260946
authors,low,5e-05,10,41,19.37172782964619,19.652384649800247,False,20260944
authors,high,0.8,10,40,9.326666106747263,9.621340174857172,False,20260943
implied,high,0.9999999999452872,9,38,7.531746293083769,7.52734719610547,False,20260941
implied,low,0.0009576114603262,11,47,20.534028375667173,20.354897431718687,False,20260950
implied,low,0.0009576114603262,12,51,15.427118550862394,15.535472291907459,False,20260954
authors,high,0.8,11,44,10.372834385310885,8.746777689354053,False,20260947
implied,high,0.9999999999452872,10,42,6.441035399777525,6.316575200280421,False,20260945
authors,low,5e-05,12,49,21.354980963508915,22.165298364168343,False,20260952
implied,high,0.9999999999452872,11,46,12.299656374391782,11.732555410868773,False,20260949
authors,low,5e-05,13,53,14.321476428914982,14.61689758887322,False,20260956
implied,low,0.0009576114603262,13,55,15.81722894388607,15.836963103447342,False,20260958
authors,high,0.8,12,48,6.229461204764783,6.53257572519549,False,20260951
authors,low,5e-05,14,57,22.46884381618146,22.46911741512656,False,20260960
implied,high,0.9999999999452872,12,50,6.901316434734361,6.309530476493605,False,20260953
authors,high,0.8,13,52,9.113585886023863,9.60181647370349,False,20260955
authors,low,5e-05,15,61,23.884844967377624,20.35578920752477,False,20260964
implied,high,0.9999999999452872,13,54,8.61099302196074,8.163172580268517,False,20260957
authors,high,0.8,14,56,7.499352887168402,7.151140830680716,False,20260959
implied,low,0.0009576114603262,15,63,16.774853264588323,17.67662855850637,False,20260966
implied,low,0.0009576114603262,14,59,22.13329053486346,21.688722813436307,False,20260962
authors,high,0.8,15,60,9.235141647384346,8.879886836521065,False,20260963
authors,low,5e-05,16,65,16.347781848245386,16.365221697358,False,20260968
implied,high,0.9999999999452872,14,58,8.620630377842238,7.692766068514715,False,20260961
authors,low,5e-05,17,69,12.149972786834885,15.87466268882387,False,20260972
implied,high,0.9999999999452872,15,62,7.986252740781602,6.983457878413175,False,20260965
authors,low,5e-05,19,77,9.910255592257048,9.912909522402021,False,20260980
authors,high,0.8,16,64,9.986300245805076,9.65002160965477,False,20260967
implied,low,0.0009576114603262,16,67,33.779050227138725,30.445646910767724,False,20260970
authors,low,5e-05,20,80,2.0,2.0000161135412213,False,20260983
implied,high,0.9999999999452872,16,66,7.821316933176536,7.7013830367432226,False,20260969
authors,high,0.8,17,68,14.095468526774077,11.395871979752712,False,20260971
implied,low,0.0009576114603262,17,71,19.728817161145972,19.044033600782427,False,20260974
authors,low,5e-05,18,73,13.773035119957667,16.37313200047769,False,20260976
implied,high,0.9999999999452872,17,70,12.69735365535717,8.380344921262475,False,20260973
implied,low,0.0009576114603262,18,75,17.511123060859596,17.37537082652626,False,20260978
implied,low,0.0009576114603262,20,81,15.912916257056345,16.472881709146222,False,20260984
implied,low,0.0009576114603262,21,83,13.115547970132774,12.889179304789435,False,20260986
