arm,alpha,simulation_id,final_mic,extinct
high,0.8,10,23.26693076818609,False
high,0.8,13,6.803476465374958,False
high,0.8,3,16.65333795396505,False
high,0.8,1,12.785572768305823,False
high,0.8,5,12.734548189193042,False
high,0.8,8,9.893314663565558,False
high,0.8,2,9.690019700779008,False
high,0.8,6,8.155050092168128,False
high,0.8,9,8.12031052086897,False
high,0.8,4,8.255509172678375,False
high,0.8,7,16.246489924319043,False
high,0.8,0,13.610731079499534,False
high,0.8,12,12.98979255391476,False
high,0.8,11,9.88061251882037,False
low,5e-05,21,2.0,False
low,5e-05,17,10.110174383182956,False
low,5e-05,22,15.592419832488003,False
low,5e-05,20,12.892796622487435,False
low,5e-05,26,17.120385151050925,False
low,5e-05,19,18.060653605962948,False
low,5e-05,29,12.630174379860293,False
low,5e-05,16,14.864230345603861,False
low,5e-05,18,13.852570810286382,False
low,5e-05,33,2.0,False
low,5e-05,34,2.0,False
low,5e-05,24,35.12596857302924,False
low,5e-05,28,18.675292197087103,False
low,5e-05,25,17.52570516386904,False
low,5e-05,23,16.933292674147083,False
low,5e-05,31,19.97153507197187,False
low,5e-05,27,23.233165888861848,False
high,0.8,14,11.296656525686043,False
low,5e-05,32,13.218453146798504,False
low,5e-05,35,16.099785198169023,False
high,0.8,15,7.713753162829967,False
low,5e-05,44,9.006412331923407,False
low,5e-05,45,2.0,False
low,5e-05,48,2.0,False
low,5e-05,30,21.081139027581806,False
low,5e-05,40,20.511952572991056,False
low,5e-05,53,2.0,False
low,5e-05,46,13.851601081446494,False
low,5e-05,36,24.181790086849787,False
low,5e-05,37,27.056146160732776,False
low,5e-05,54,7.680592008442524,False
low,5e-05,38,20.139091836281445,False
low,5e-05,39,27.582012935688986,False
low,5e-05,41,24.94885179563971,False
low,5e-05,56,10.152842021235323,False
low,5e-05,52,28.951608371236926,False
low,5e-05,43,23.361134734806797,False
low,5e-05,59,2.0,False
low,5e-05,60,2.0,False
low,5e-05,42,23.063779035517815,False
low,5e-05,47,17.010600726080888,False
low,5e-05,49,19.62675506841363,False
low,5e-05,63,11.219446928406374,False
low,5e-05,50,16.795844908260527,False
low,5e-05,61,17.610316877004305,False
low,5e-05,51,16.96555319358197,False
low,5e-05,55,21.13620663430772,False
low,5e-05,62,19.79464206535816,False
low,5e-05,58,21.09722761307161,False
low,5e-05,57,22.69578470682873,False
