alpha,replicate,simulation_id,final_mic,extinct
0.0009576,0,3,8.090548479459148,False
0.0001,0,2,14.334286776062871,False
0.003,0,4,10.980241844992406,False
1e-05,1,10,15.799814353234384,False
0.0001,1,12,12.927870489502611,False
0.0009576,1,13,9.872830823880488,False
0.01,0,5,11.387203739964155,False
5e-05,0,1,16.531452431114502,False
0.01,1,15,14.13452768348277,False
0.03,1,16,12.117427313642366,False
0.003,1,14,16.37586622965381,False
0.03,0,6,19.003321245748154,False
0.3,0,8,17.435429584088418,False
0.1,0,7,21.126531641580776,False
1e-05,0,0,23.80709718524384,False
0.0001,2,22,16.692545798720943,False
1e-05,2,20,15.714602559897944,False
0.8,0,9,14.891681486501678,False
5e-05,1,11,17.832405538907793,False
0.3,1,18,11.462114423363118,False
5e-05,2,21,11.939192174293805,False
0.1,1,17,19.011049893734285,False
0.003,2,24,17.33057598142878,False
0.03,2,26,7.54340955602812,False
0.8,1,19,7.988597694890383,False
1e-05,3,30,21.637630625778385,False
0.0009576,3,33,14.962880367557018,False
0.0009576,2,23,27.549161892709463,False
5e-05,4,41,2.0,False
0.1,2,27,11.517778185333212,False
0.01,3,35,17.00711090997646,False
1e-05,4,40,15.581793551651934,False
0.03,3,36,16.08591858168733,False
5e-05,3,31,17.593448562484227,False
0.0001,3,32,16.561209903532692,False
0.01,2,25,21.56319889426112,False
0.3,2,28,30.75534553334566,False
0.1,3,37,7.364030231928774,False
0.003,3,34,16.78569615946366,False
0.0009576,4,43,15.23880855612099,False
0.8,2,29,10.596841542090953,False
0.003,4,44,15.086611658707962,False
0.3,3,38,12.611557853191847,False
0.0009576,5,53,13.376622765661427,False
0.03,4,46,21.552600966124427,False
0.8,3,39,18.314554160591022,False
0.0001,4,42,21.44802344931304,False
0.01,4,45,17.69842896739268,False
0.0001,5,52,17.182033002970456,False
0.3,4,48,18.30330032957997,False
1e-05,6,60,2.0,False
1e-05,5,50,22.86037290042914,False
5e-05,5,51,16.453172760034512,False
0.003,5,54,20.55574688005209,False
0.1,4,47,18.52585566890974,False
0.8,4,49,6.492011289318671,False
0.003,6,64,2.0,False
0.03,5,56,17.459274124840142,False
0.01,5,55,19.660622975087332,False
0.0009576,6,63,11.852888951604635,False
0.1,5,57,17.612985092220107,False
0.01,6,65,15.395963193778597,False
5e-05,6,61,11.960456243505934,False
0.3,5,58,8.749002689935548,False
1e-05,7,70,13.071583518087081,False
