alpha,n,median_all,median_evolved,frac_never_evolved,q25,q75,expected_survivors_per_pulse,doublings_to_refill,hours_to_refill_at_r1,fits_in_19h_regrowth
1e-05,22,17.989389290934213,18.398314894397462,0.09090909090909091,14.27890807413768,20.764310760253778,155.72807362744877,20.29253952193874,14.065716556033097,True
5e-05,22,16.492312595574507,17.359691158440032,0.18181818181818182,11.944508191596837,20.24165339991833,778.6403681372437,17.970611427051377,12.456278643598997,True
0.0001,22,16.626877851126817,16.692545798720943,0.045454545454545456,13.760405783975152,21.062824439428727,1557.2807362744875,16.970611427051377,11.763131463039052,True
0.0009576,22,13.770649394995507,14.23007582534604,0.09090909090909091,11.114502130328614,15.316032886788605,14912.520330564492,13.711188274769963,9.50387149478338,True
0.003,22,16.408203946897885,16.61311891180281,0.09090909090909091,12.493072323929768,19.969224544853706,46718.42208823463,12.06372083144286,8.361934081376896,True
0.01,22,15.318429709806383,15.395963193778597,0.045454545454545456,12.810043731554273,18.727585143758557,155728.07362744876,10.326755237276654,7.157961277050961,True
0.03,22,15.955865904619396,16.018428715412895,0.045454545454545456,14.248066094659025,18.871413045796853,467184.2208823463,8.741792736555498,6.059348988382852,True
0.1,22,13.83322517580501,13.83322517580501,0.0,11.707762372354551,18.21509487494265,1557280.7362744876,7.004827142389291,4.855376184056915,True
0.3,22,11.545269660949419,11.545269660949419,0.0,10.502318170325712,15.462787445971866,4671842.208823463,5.419864641668135,3.756763895388806,True
0.8,22,9.478611723770069,9.478611723770069,0.0,7.891002806691642,12.972892628670266,12458245.8901959,4.004827142389291,2.77593464237708,True
