conc,replicate,pulse,cfu_before,cfu_after,censored,ln_survival
128.0,1,pulse 1,2600000.0,6000.0,False,-6.071507254781518
128.0,2,pulse 1,6000000.0,2200.0,False,-7.911057387845922
128.0,3,pulse 1,4000000.0,4000.0,False,-6.907755278982137
128.0,4,pulse 1,12000000.0,2000.0,False,-8.699514748210191
128.0,5,pulse 1,10000000.0,1200.0,False,-9.028018815182229
128.0,6,pulse 1,8000000.0,6000.0,False,-7.195437351433918
128.0,7,pulse 1,6000000.0,8000.0,False,-6.620073206530356
128.0,8,pulse 1,8000000.0,4000.0,False,-7.600902459542082
64.0,1,pulse 1,3200000.0,40000.0,False,-4.382026634673881
64.0,2,pulse 1,2600000.0,100000.0,False,-3.258096538021482
64.0,3,pulse 1,4000000.0,80000.0,False,-3.912023005428146
64.0,4,pulse 1,1800000.0,100000.0,False,-2.890371757896165
64.0,5,pulse 1,2800000.0,100000.0,False,-3.332204510175204
64.0,6,pulse 1,1600000.0,40000.0,False,-3.6888794541139363
64.0,7,pulse 1,1200000.0,20000.0,False,-4.0943445622221
64.0,8,pulse 1,2000000.0,40000.0,False,-3.912023005428146
32.0,1,pulse 1,1600000.0,200000.0,False,-2.0794415416798357
32.0,2,pulse 1,2200000.0,600000.0,False,-1.2992829841302609
32.0,3,pulse 1,2600000.0,400000.0,False,-1.8718021769015913
32.0,4,pulse 1,2800000.0,340000.0,False,-2.108429078553088
32.0,5,pulse 1,2600000.0,260000.0,False,-2.3025850929940455
32.0,6,pulse 1,1600000.0,400000.0,False,-1.3862943611198906
32.0,7,pulse 1,2200000.0,200000.0,False,-2.3978952727983707
32.0,8,pulse 1,8000000.0,200000.0,False,-3.6888794541139363
16.0,1,pulse 1,2400000.0,800000.0,False,-1.0986122886681098
16.0,2,pulse 1,2200000.0,1800000.0,False,-0.2006706954621511
16.0,3,pulse 1,2000000.0,1200000.0,False,-0.5108256237659907
16.0,4,pulse 1,2400000.0,400000.0,False,-1.791759469228055
16.0,5,pulse 1,3200000.0,200000.0,False,-2.772588722239781
16.0,6,pulse 1,2600000.0,1200000.0,False,-0.7731898882334817
16.0,7,pulse 1,6000000.0,800000.0,False,-2.0149030205422647
16.0,8,pulse 1,2000000.0,200000.0,False,-2.3025850929940455
8.0,1,pulse 1,8000000.0,1000000.0,False,-2.0794415416798357
8.0,2,pulse 1,4000000.0,1400000.0,False,-1.0498221244986778
8.0,3,pulse 1,4600000.0,800000.0,False,-1.749199854809259
8.0,4,pulse 1,4400000.0,1600000.0,False,-1.0116009116784799
8.0,5,pulse 1,3800000.0,1000000.0,False,-1.3350010667323402
8.0,6,pulse 1,6000000.0,1400000.0,False,-1.455287232606842
8.0,7,pulse 1,10000000.0,1200000.0,False,-2.120263536200091
8.0,8,pulse 1,3200000.0,1200000.0,False,-0.9808292530117262
4.0,1,pulse 1,6000000.0,700000.0,False,-2.1484344131667874
4.0,2,pulse 1,6000000.0,2800000.0,False,-0.7621400520468967
4.0,3,pulse 1,2000000.0,1200000.0,False,-0.5108256237659907
4.0,4,pulse 1,2800000.0,800000.0,False,-1.252762968495368
4.0,5,pulse 1,3400000.0,6000000.0,False,0.5679840376059393
4.0,6,pulse 1,2400000.0,8000000.0,False,1.2039728043259361
4.0,7,pulse 1,4000000.0,26000000.0,False,1.8718021769015913
4.0,8,pulse 1,8000000.0,18000000.0,False,0.8109302162163288
2.0,1,pulse 1,2200000.0,2800000.0,False,0.24116205681688804
2.0,2,pulse 1,3000000.0,2600000.0,False,-0.1431008436406733
2.0,3,pulse 1,2000000.0,6000000.0,False,1.0986122886681098
2.0,4,pulse 1,4000000.0,4000000.0,False,0.0
2.0,5,pulse 1,2000000.0,2000000.0,False,0.0
2.0,6,pulse 1,20000000.0,4000000.0,False,-1.6094379124341003
2.0,8,pulse 1,2400000.0,4000000.0,False,0.5108256237659907
0.0,1,pulse 1,3000000.0,12000000.0,False,1.3862943611198906
0.0,2,pulse 1,3200000.0,10000000.0,False,1.1394342831883648
0.0,3,pulse 1,2000000.0,6000000.0,False,1.0986122886681098
0.0,4,pulse 1,2000000.0,6000000.0,False,1.0986122886681098
0.0,5,pulse 1,6000000.0,5400000.0,False,-0.10536051565782628
0.0,6,pulse 1,4000000.0,10000000.0,False,0.9162907318741551
0.0,7,pulse 1,4400000.0,8000000.0,False,0.5978370007556204
0.0,8,pulse 1,2000000.0,4000000.0,False,0.6931471805599453
128.0,1,pulse 2,10000.0,0.0,True,
128.0,2,pulse 2,6000.0,0.0,True,
128.0,3,pulse 2,8000.0,0.0,True,
128.0,4,pulse 2,10000.0,0.0,True,
128.0,5,pulse 2,4000.0,200.0,False,-2.995732273553991
128.0,6,pulse 2,14000.0,0.0,True,
128.0,7,pulse 2,8000.0,0.0,True,
128.0,8,pulse 2,4200.0,0.0,True,
64.0,1,pulse 2,100000.0,10000.0,False,-2.3025850929940455
64.0,2,pulse 2,200000.0,14000.0,False,-2.659260036932778
64.0,3,pulse 2,40000.0,10000.0,False,-1.3862943611198906
64.0,4,pulse 2,100000.0,20000.0,False,-1.6094379124341003
64.0,5,pulse 2,220000.0,12000.0,False,-2.908720896564361
64.0,6,pulse 2,140000.0,8000.0,False,-2.8622008809294686
64.0,7,pulse 2,140000.0,6000.0,False,-3.1498829533812494
64.0,8,pulse 2,80000.0,6000.0,False,-2.5902671654458267
32.0,1,pulse 2,4000000.0,1200000.0,False,-1.2039728043259361
32.0,2,pulse 2,12000000.0,1200000.0,False,-2.3025850929940455
32.0,3,pulse 2,2000000.0,1400000.0,False,-0.35667494393873245
32.0,4,pulse 2,2000000.0,1800000.0,False,-0.10536051565782628
32.0,5,pulse 2,4000000.0,1200000.0,False,-1.2039728043259361
32.0,6,pulse 2,6000000.0,2000000.0,False,-1.0986122886681098
