model,parameter,estimate,std_error,ci95_low,ci95_high,rel_se_pct,species,design,tag
Eq. 4 as printed (4 rate parameters + N0),log10_N0,6.264728875099403,0.25956614392529226,5.75597923300583,6.7734785171929754,4.143294132919259,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_fast,0.6330722999385401,0.0,0.6330722999385401,0.6330722999385401,0.0,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_slow,0.10425215956146068,0.024595413824573795,0.05604514846529604,0.15245917065762532,23.59223437484175,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),logit_f,-8.094085561962578,0.6712496558050084,-9.409734887340393,-6.778436236584761,8.293088214430119,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),t_c,1.0000000000001468,10.079739094483418,-18.756288625187356,20.756288625187647,1007.9739094481939,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),log10_N0,6.434376583857848,0.04130766336938489,6.353413563653853,6.515339604061842,0.6419839254204505,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),k_fast,0.1294079664357129,0.0040108190191725755,0.12154676115813465,0.13726917171329114,3.099360209145288,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),k_slow,0.014163494728404068,0.0007855423083814024,0.01262383180397652,0.015703157652831617,5.546246342762022,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),logit_f,-6.067157180169996,0.1514120455689891,-6.363924789485215,-5.770389570854777,2.495601169916397,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),log10_N0,6.114928449115206,0.19185952094898523,5.738883788055195,6.490973110175218,3.1375595404840126,Mtb,"dense (14-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_fast,0.07535109372376764,3.47061176476211e-13,0.0753510937230874,0.07535109372444787,4.6059208874726543e-10,Mtb,"dense (14-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_slow,0.104297985471956,0.010750065526709929,0.08322785703960453,0.12536811390430747,10.307069190325295,Mtb,"dense (14-point, 240 h)",SYNTHETIC (no experimental data in project)
