exposure_mode,species,model,parameter,perturbation,endpoint,baseline,perturbed,abs_change,pct_change,elasticity,censored
per_mic,Mtb,two-compartment mechanistic,r,+10%,log10_drop_240h,3.5056378092199543,3.541221144638057,0.035583335418102546,1.0150317104783924,0.10150317104783917,False
per_mic,Mtb,two-compartment mechanistic,r,+10%,time_to_LOD_h,346.56187531073283,338.29196939390715,-8.269905916825678,-2.3862711123116904,-0.23862711123116884,False
per_mic,Mtb,two-compartment mechanistic,r,+10%,MDK99_h,48.54654805819832,46.64555607530682,-1.9009919828914974,-3.9158128825401968,-0.3915812882540193,False
per_mic,Mtb,two-compartment mechanistic,r,-10%,log10_drop_240h,3.5056378092199543,3.4664698652383814,-0.03916794398157286,-1.1172843891219952,0.11172843891219955,False
per_mic,Mtb,two-compartment mechanistic,r,-10%,time_to_LOD_h,346.56187531073283,355.720752154783,9.158876844050155,2.6427825726179957,-0.2642782572617996,False
per_mic,Mtb,two-compartment mechanistic,r,-10%,MDK99_h,48.54654805819832,50.960230396537405,2.413682338339086,4.971892822215759,-0.49718928222157605,False
per_mic,Mtb,two-compartment mechanistic,Emax_S,+10%,log10_drop_240h,3.5056378092199543,3.5101508692877164,0.004513060067762087,0.12873720313868636,0.012873720313868624,False
per_mic,Mtb,two-compartment mechanistic,Emax_S,+10%,time_to_LOD_h,346.56187531073283,346.17414486770923,-0.3877304430235995,-0.11187913923767705,-0.011187913923767695,False
per_mic,Mtb,two-compartment mechanistic,Emax_S,+10%,MDK99_h,48.54654805819832,45.97708819916348,-2.5694598590348363,-5.292775618061515,-0.529277561806151,False
per_mic,Mtb,two-compartment mechanistic,Emax_S,-10%,log10_drop_240h,3.5056378092199543,3.499674598496185,-0.005963210723769485,-0.17010344617136502,0.017010344617136505,False
per_mic,Mtb,two-compartment mechanistic,Emax_S,-10%,time_to_LOD_h,346.56187531073283,347.1349476811611,0.5730723704282923,0.16535932289564934,-0.016535932289564934,False
per_mic,Mtb,two-compartment mechanistic,Emax_S,-10%,MDK99_h,48.54654805819832,51.75785332235435,3.2113052641560316,6.614899292749449,-0.661489929274945,False
per_mic,Mtb,two-compartment mechanistic,Emax_P,+10%,log10_drop_240h,3.5056378092199543,3.5127273862618327,0.007089577041878403,0.2022335856611473,0.02022335856611471,False
per_mic,Mtb,two-compartment mechanistic,Emax_P,+10%,time_to_LOD_h,346.56187531073283,344.35637116954393,-2.2055041411888965,-0.6363954890339298,-0.06363954890339293,False
per_mic,Mtb,two-compartment mechanistic,Emax_P,+10%,MDK99_h,48.54654805819832,48.537126257050026,-0.009421801148292275,-0.019407767442079053,-0.0019407767442079038,False
per_mic,Mtb,two-compartment mechanistic,Emax_P,-10%,log10_drop_240h,3.5056378092199543,3.498548035047932,-0.007089774172022167,-0.20223920889305236,0.02022392088930524,False
per_mic,Mtb,two-compartment mechanistic,Emax_P,-10%,time_to_LOD_h,346.56187531073283,348.796239559119,2.234364248386157,0.6447230372304487,-0.06447230372304488,False
per_mic,Mtb,two-compartment mechanistic,Emax_P,-10%,MDK99_h,48.54654805819832,48.55600972699909,0.009461668800774703,0.01948988996999728,-0.0019489889969997285,False
per_mic,Mtb,two-compartment mechanistic,EC50,+10%,log10_drop_240h,3.5056378092199543,3.5056378092199494,-4.884981308350689e-15,-1.3934643491985999e-13,-1.3934643491985985e-14,False
per_mic,Mtb,two-compartment mechanistic,EC50,+10%,time_to_LOD_h,346.56187531073283,346.5618753104412,-2.916067387559451e-10,-8.414276339383434e-11,-8.414276339383426e-12,False
per_mic,Mtb,two-compartment mechanistic,EC50,+10%,MDK99_h,48.54654805819832,48.546548058198574,2.5579538487363607e-13,5.269074632597663e-13,5.269074632597658e-14,False
per_mic,Mtb,two-compartment mechanistic,EC50,-10%,log10_drop_240h,3.5056378092199543,3.505637809219979,2.4868995751603507e-14,7.094000323192872e-13,-7.094000323192873e-14,False
per_mic,Mtb,two-compartment mechanistic,EC50,-10%,time_to_LOD_h,346.56187531073283,346.56187530957123,-1.1615952644206118e-09,-3.3517687523450385e-10,3.351768752345039e-11,False
per_mic,Mtb,two-compartment mechanistic,EC50,-10%,MDK99_h,48.54654805819832,48.546548058191334,-6.984635092521785e-12,-1.4387501010676394e-11,1.4387501010676397e-12,False
per_mic,Mtb,two-compartment mechanistic,H,+10%,log10_drop_240h,3.5056378092199543,3.530913517419207,0.025275708199252733,0.7210016999695948,0.07210016999695942,False
per_mic,Mtb,two-compartment mechanistic,H,+10%,time_to_LOD_h,346.56187531073283,340.8634407309756,-5.698434579757247,-1.6442762420557486,-0.16442762420557472,False
per_mic,Mtb,two-compartment mechanistic,H,+10%,MDK99_h,48.54654805819832,43.05753761959815,-5.489010438600168,-11.30669565222199,-1.130669565222198,False
per_mic,Mtb,two-compartment mechanistic,H,-10%,log10_drop_240h,3.5056378092199543,3.473673551570961,-0.03196425764899313,-0.9117957812106539,0.09117957812106539,False
per_mic,Mtb,two-compartment mechanistic,H,-10%,time_to_LOD_h,346.56187531073283,353.73157045350104,7.169695142768205,2.068806655763778,-0.20688066557637783,False
per_mic,Mtb,two-compartment mechanistic,H,-10%,MDK99_h,48.54654805819832,55.71269981953736,7.166151761339044,14.761403329332822,-1.4761403329332823,False
per_mic,Mtb,two-compartment mechanistic,k_SP,+10%,log10_drop_240h,3.5056378092199543,3.464208299407228,-0.041429509812726195,-1.181796639223969,-0.11817966392239679,False
per_mic,Mtb,two-compartment mechanistic,k_SP,+10%,time_to_LOD_h,346.56187531073283,355.5043380851471,8.942462774414253,2.580336560793451,0.2580336560793449,False
per_mic,Mtb,two-compartment mechanistic,k_SP,+10%,MDK99_h,48.54654805819832,48.849304660391965,0.30275660219364653,0.6236418742496325,0.06236418742496319,False
per_mic,Mtb,two-compartment mechanistic,k_SP,-10%,log10_drop_240h,3.5056378092199543,3.551432147009717,0.04579433778976272,1.3063054508746441,-0.13063054508746444,False
per_mic,Mtb,two-compartment mechanistic,k_SP,-10%,time_to_LOD_h,346.56187531073283,336.6805332054057,-9.881342105327121,-2.8512490291863046,0.2851249029186305,False
per_mic,Mtb,two-compartment mechanistic,k_SP,-10%,MDK99_h,48.54654805819832,48.24960194507124,-0.29694611312707764,-0.611672971621163,0.06116729716211631,False
per_mic,Mtb,two-compartment mechanistic,k_PS,+10%,log10_drop_240h,3.5056378092199543,3.6107566361191914,0.10511882689923713,2.9985649579306455,0.2998564957930643,False
per_mic,Mtb,two-compartment mechanistic,k_PS,+10%,time_to_LOD_h,346.56187531073283,316.7292086923433,-29.83266661838951,-8.60817901324001,-0.860817901324,False
per_mic,Mtb,two-compartment mechanistic,k_PS,+10%,MDK99_h,48.54654805819832,48.3936726833336,-0.15287537486472047,-0.3149047274822737,-0.03149047274822735,False
per_mic,Mtb,two-compartment mechanistic,k_PS,-10%,log10_drop_240h,3.5056378092199543,3.4001356043109032,-0.10550220490905104,-3.0095009995492528,0.30095009995492533,False
per_mic,Mtb,two-compartment mechanistic,k_PS,-10%,time_to_LOD_h,346.56187531073283,382.63992118811893,36.0780458773861,10.410275465250747,-1.041027546525075,False
