exposure_mode,species,endpoint,parameter,S1_first_order,S1_boot_lo,S1_boot_hi,ST_boot_lo,ST_boot_hi,ST_total,interaction_ST_minus_S1,output_variance,n_base_samples
per_mic,Mtb,log10_drop_240h,r,0.14764526786055476,-0.0024741872047780605,0.29735365989627416,0.16410129736567144,0.18829795720414855,0.17611226853075085,0.028467000670196085,0.1511158937298438,4096
per_mic,Mtb,log10_drop_240h,Emax_S,0.01624270434858938,-0.03855014758797146,0.06998388171119227,0.020564308277392945,0.025419721714713107,0.02283573904688928,0.006593034698299902,0.1511158937298438,4096
per_mic,Mtb,log10_drop_240h,Emax_P,0.0026439261430039524,-0.019127779729861134,0.023672995313806736,0.0030101930795412707,0.0034139347097205852,0.003206264809149059,0.0005623386661451064,0.1511158937298438,4096
per_mic,Mtb,log10_drop_240h,EC50,-5.304100980916285e-13,-1.3211303904053068e-12,2.741792463491085e-13,2.2920318030331533e-24,7.934916690903682e-24,4.679461813044688e-24,5.30410098096308e-13,0.1511158937298438,4096
per_mic,Mtb,log10_drop_240h,H,0.19118435364369718,0.01342283047389259,0.3628264184675763,0.22123648923178638,0.2533630993356784,0.23679279602008843,0.04560844237639125,0.1511158937298438,4096
per_mic,Mtb,log10_drop_240h,k_SP,0.11245366809449688,-0.012024197784787643,0.24177415666411256,0.10978117559920407,0.12062101358214924,0.11513876768001764,0.002685099585520767,0.1511158937298438,4096
per_mic,Mtb,log10_drop_240h,k_PS,0.47909313460775754,0.21613213265857387,0.7579085383783899,0.47874038342317504,0.5220593398114567,0.49984833858072925,0.020755203972971703,0.1511158937298438,4096
per_mic,Mtb,time_to_LOD_h,r,0.07336607886063434,0.03459129060386548,0.11331847427612722,0.07899960868332466,0.0878975236031453,0.08333300698806068,0.009966928127426333,19386.061220907537,4096
per_mic,Mtb,time_to_LOD_h,Emax_S,0.00020258700018320835,-0.006303778420124848,0.0070683658518543085,0.001998041051031246,0.0023681679367559758,0.0021795421460411427,0.0019769551458579345,19386.061220907537,4096
per_mic,Mtb,time_to_LOD_h,Emax_P,0.005043586470779569,-0.00759738540451079,0.017877807096977373,0.0072142552096725624,0.008415376411345274,0.007783806236181347,0.002740219765401778,19386.061220907537,4096
per_mic,Mtb,time_to_LOD_h,EC50,-1.8824952501653552e-11,-6.131412581984173e-11,1.3716927066941422e-11,3.2922946548151844e-21,1.9948207164943146e-19,8.067451026019593e-20,1.8824952582328064e-11,19386.061220907537,4096
per_mic,Mtb,time_to_LOD_h,H,0.05419942754160518,0.02071989102238774,0.08799062100596819,0.054487787516606545,0.06032923407568353,0.05730619887300979,0.0031067713314046133,19386.061220907537,4096
per_mic,Mtb,time_to_LOD_h,k_SP,0.06450552936950954,0.025999517099074495,0.10345643738534241,0.06697821731513137,0.07415504072373874,0.0705752546155233,0.006069725246013763,19386.061220907537,4096
per_mic,Mtb,time_to_LOD_h,k_PS,0.7797307539452264,0.6396975323900921,0.9158067044722158,0.769148112988421,0.8302369164398242,0.7992678610795596,0.01953710713433321,19386.061220907537,4096
per_mic,Mtb,MDK99_h,r,0.1196735120593453,0.07806163849467498,0.1620561085648321,0.16208017880307046,0.18434321419731522,0.17291859628003647,0.05324508422069117,1440.2074457207932,4096
per_mic,Mtb,MDK99_h,Emax_S,0.10623000076481366,0.07291403684361104,0.14234147480365947,0.10319239591216199,0.11430822678152314,0.10874133450647117,0.0025113337416575038,1440.2074457207932,4096
per_mic,Mtb,MDK99_h,Emax_P,3.168782294975345e-05,-0.0002665406499505482,0.000340467278217971,7.888306525091645e-06,1.0087930585315836e-05,8.918560777685117e-06,-2.2769262172068335e-05,1440.2074457207932,4096
per_mic,Mtb,MDK99_h,EC50,7.675815875442768e-14,-9.497410098964733e-14,2.495746899896783e-13,1.6847698302287145e-24,3.716165207776736e-24,2.527077795892021e-24,-7.67581587519006e-14,1440.2074457207932,4096
per_mic,Mtb,MDK99_h,H,0.7167547112755364,0.6227100029373007,0.812998656764489,0.7381190970399755,0.8054889651567714,0.7703577391518937,0.05360302787635729,1440.2074457207932,4096
per_mic,Mtb,MDK99_h,k_SP,0.001902734518409432,-0.0029435605958436,0.0066064392701844,0.0020737236927375613,0.002411719908323758,0.0022362443077094643,0.0003335097893000323,1440.2074457207932,4096
per_mic,Mtb,MDK99_h,k_PS,0.001038430714600893,-0.0029924981525793304,0.004975230515751712,0.0013996498068229825,0.0016974194216050446,0.0015402950675079696,0.0005018643529070767,1440.2074457207932,4096
per_mic,S. aureus,log10_drop_240h,r,,,,,,,,,4096
per_mic,S. aureus,log10_drop_240h,Emax_S,,,,,,,,,4096
per_mic,S. aureus,log10_drop_240h,Emax_P,,,,,,,,,4096
per_mic,S. aureus,log10_drop_240h,EC50,,,,,,,,,4096
per_mic,S. aureus,log10_drop_240h,H,,,,,,,,,4096
per_mic,S. aureus,log10_drop_240h,k_SP,,,,,,,,,4096
per_mic,S. aureus,log10_drop_240h,k_PS,,,,,,,,,4096
per_mic,S. aureus,time_to_LOD_h,r,0.1358593751663496,0.06945588276285228,0.20862648576193735,0.7134024158661053,0.9421719957174121,0.8209708521311297,0.6851114769647801,91026.41966840584,4096
per_mic,S. aureus,time_to_LOD_h,Emax_S,0.1686361965261646,0.1038497333206066,0.23857848461327624,0.7056684644308931,0.934763629971173,0.818783320946108,0.6501471244199434,91026.41966840584,4096
per_mic,S. aureus,time_to_LOD_h,Emax_P,-9.246721201143582e-06,-6.905168385888236e-05,5.3834883495418934e-05,1.8370329789075646e-06,2.615058270381588e-06,2.192127993472378e-06,1.143884919461596e-05,91026.41966840584,4096
per_mic,S. aureus,time_to_LOD_h,EC50,-1.7907189805223141e-13,-5.191814945429664e-13,6.819277604162933e-14,2.1095921649062882e-23,1.8642654898272055e-20,7.876194798721113e-21,1.7907190592842622e-13,91026.41966840584,4096
per_mic,S. aureus,time_to_LOD_h,H,6.335676349624634e-05,-0.0022181395474665648,0.001822398529944478,0.0011281297563272563,0.0032179780301863493,0.001991388844833947,0.0019280320813377006,91026.41966840584,4096
per_mic,S. aureus,time_to_LOD_h,k_SP,1.3536665774529908e-05,-0.00023906549729183749,0.0002712220511042117,1.2108668580351672e-05,1.7045740134438814e-05,1.4342053648039749e-05,8.053878735098405e-07,91026.41966840584,4096
per_mic,S. aureus,time_to_LOD_h,k_PS,2.24038526676599e-05,-0.00021433889515302086,0.00024049244695197123,1.9312116432201327e-05,2.7462736348974663e-05,2.301833392361151e-05,6.144812559516086e-07,91026.41966840584,4096
per_mic,S. aureus,MDK99_h,r,0.12680373263266445,0.06236255515220766,0.1999021718895855,0.7438379620190234,0.9908345337975001,0.8587909015359223,0.7319871689032579,85688.44122617009,4096
per_mic,S. aureus,MDK99_h,Emax_S,0.14589031788252338,0.08064277702915806,0.21703353719915378,0.713622460319544,0.961967388395576,0.8336879761828823,0.6877976583003589,85688.44122617009,4096
